Starting Node,Average Spreading Ability,Rank
43,7.61,1.0
32,7.32,2.0
31,6.5,3.0
38,6.45,4.0
48,6.22,5.0
35,5.93,6.0
49,5.72,7.0
34,5.5,8.0
42,5.27,9.0
36,5.26,10.0
44,4.97,11.0
55,4.91,12.0
41,4.8,13.0
39,4.76,14.0
47,4.74,15.0
45,4.66,16.0
46,4.24,17.0
52,3.74,18.0
67,3.65,19.0
33,3.53,20.0
50,3.3,21.0
57,3.15,22.0
58,3.15,22.0
37,3.06,23.0
56,2.83,24.0
53,2.79,25.0
54,2.73,26.0
40,2.66,27.0
51,2.51,28.0
61,2.21,29.0
60,2.09,30.0
69,1.94,31.0
65,1.84,32.0
68,1.81,33.0
59,1.8,34.0
70,1.75,35.0
64,1.54,36.0
63,1.49,37.0
66,1.48,38.0
72,1.43,39.0
62,1.39,40.0
71,1.36,41.0
