Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.625,0.42857142857142855,0.6666666666666666,0.5,0.6666666666666666
10,0.35714285714285715,0.5,0.6666666666666666,0.5555555555555556,0.8333333333333334
15,0.35714285714285715,0.391304347826087,0.6190476190476191,0.5555555555555556,0.7894736842105263
20,0.47619047619047616,0.47619047619047616,0.6129032258064516,0.5555555555555556,0.7142857142857143
25,0.6190476190476191,0.6190476190476191,0.6,0.6190476190476191,0.7027027027027027
30,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381
35,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
40,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
45,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
