Lambda,Kendall_Tau,P_Value
0.0674,0.7397602397602396,9.102628215468414e-18
0.0824,0.7155333758728603,9.010729897686785e-17
0.0974,0.728860631722889,2.4938175077413913e-17
0.1123,0.6973874243081809,4.91191088086076e-16
0.1273,0.6739751322064061,4.460162564949916e-15
0.1423,0.6507244907072269,3.7608474756488976e-14
0.1573,0.664675704903094,1.0646727971439794e-14
0.1723,0.6497279754075221,4.111523543435751e-14
0.1872,0.6716490237929621,5.374330190597939e-15
0.2022,0.6407800545749015,8.750028062462275e-14
