Isolating Centrality,Clustering Coefficient,Constraint Coefficients,H-GSM_1,Eccentricity Centrality,Second order centrality,Leverage Centrality,Volume Centrality,Betweenness Centrality,K-Shell Value,Global Relative Change in Avg Clustering,GSM,P Value,Closeness Centrality,Subgraph centrality,HVGc Index,Gravity Index Centrality,H Values,Improved Gravity Index Values,Global Relative Change in Avg Degree,PageRank Centrality,Local Gravity Model Centrality,GIN Values,HCC Value,DIL Centrality,Average Spreading Ability
0.0,0.268617021,0.9760216183395818,0.0005720689705020724,1.0,0.9166715209056718,0.5214644654564562,0.9533807732893207,0.022347491219649063,0.9393939393939394,0.011401326883672422,0.6079317451656383,0.7426900584795322,0.6561158160927343,0.044302324625697685,0.07715925536099576,0.4780738796564583,0.036215810679090424,0.49636849656623355,0.09556165993868265,0.13091901150454843,0.033644959307456326,0.42364379607750907,0.48735883273368236,0.04139731729430217,0.19164882226980728
0.0,0.235540335,0.9851357612795809,0.0015791792875249086,1.0,0.941474665108453,0.6203208588355796,0.9530560891799021,0.022766548927061914,1.0,0.03180802754866622,0.6563255676324771,0.839766081871345,0.6803431713650483,0.10058139444941862,0.16457438380189227,0.5663799488065694,0.08601747409606418,0.5900745342028436,0.18088603890350202,0.1870940959283808,0.07639197448719924,0.4783972631403826,0.5912504027997847,0.07617967627779036,0.26311563169164887
0.0,0.332225914,0.9722633480291405,3.27304592796992e-05,1.0,0.9100871989095936,0.4471291527282109,0.9325739332774156,0.005128546641440478,0.9696969696969697,0.007212635281253312,0.5938213464821092,0.7438596491228071,0.6222512629905581,0.0413372083436628,0.07294180563543803,0.47432012785364397,0.03329738130564561,0.49674333136927884,0.07849680980097486,0.1076311359977668,0.028509901151904823,0.41128803844934253,0.4818887510035599,0.02525020079620795,0.09475374732334046
0.0,0.149658003,0.9909080972835074,0.0024965051386684448,1.0,0.9500123527031681,0.6721333875559037,0.9757298628209639,0.05073690056403693,1.0,0.07413536838492574,0.6836319984059229,0.8690058479532164,0.7293579538704367,0.12499999912500004,0.20339176148690405,0.600639268219794,0.1092284093703828,0.6239048731853302,0.22525468774442642,0.22908815815292574,0.10151274472724556,0.5086153063355365,0.627359874799089,0.20038062112217336,0.406049250535332
0.0,0.805555556,0.8635920481112105,1.6442272230252376e-06,0.39999999760000016,0.7535766107817407,0.16950330316326617,0.5552098271057118,2.2202023998057832e-05,0.2424242424242424,0.07799432336426469,0.3631479445672251,0.2280701754385965,0.38767445675848444,0.0011511617918488364,0.0019980087398567725,0.05981900393695672,0.0011738646912194447,0.0669409685118792,0.03450420287612096,0.020416789642076175,0.0009693370127050386,0.24903343484479507,0.1326373462582726,0.0002133320237735773,0.03667023554603855
0.0,0.28018648,0.9815607569399263,0.0012234450170100287,1.0,0.9359682906779779,0.5943565216655182,0.9480775995021511,0.01395595048095739,1.0,0.01645789813715713,0.6394624029210083,0.8175438596491229,0.6671390505931671,0.08139534791860467,0.13604548792292015,0.5449098917661733,0.06931651412830113,0.5686037570031858,0.15699522305545505,0.16949695010654703,0.06202804353611901,0.46069182920767676,0.5631309164272145,0.05863702468628654,0.29764453961456105
0.0,0.391304348,0.9533974620550758,4.11811339902529e-06,0.39999999760000016,0.8618509549303401,0.26579834198540186,0.7970453746042914,0.0006440785179634599,0.6666666666666667,0.001423759394362119,0.4931745851626641,0.512280701754386,0.5047775835440675,0.013255812966744187,0.023549496594603137,0.253473747125242,0.010609159187778073,0.2705957742868651,0.010237280973863257,0.054078232317479,0.008281574659027768,0.3364388103152363,0.31657247854179477,0.007824178147623997,0.17317987152034262
0.0,0.333333333,0.7406734411618725,1.5312782838727274e-06,0.39999999760000016,0.608888218256753,0.11267024473896553,0.3699775426824319,0.00025389443284907717,0.09090909090909091,0.010259304126579842,0.29459896228392757,0.09590643274853802,0.34753879488354467,0.0001465106280534874,0.00026042203651000174,0.016797682003040423,0.00013802783894914847,0.01935226149221535,0.051569053013828754,0.010978723942280298,0.00019442771295297595,0.19978950437746573,0.056249733909605824,0.00011708592437476012,0.0024089935760171315
0.0,0.167567239,0.9961161494559261,0.07914646534243665,1.0,0.9816977705173299,0.8441333012842704,0.9903677047539166,0.12678650454587542,1.0,0.22702330471366508,0.8580013133972981,0.9614035087719299,0.8370388599424088,0.6279069763720931,0.7661973560104343,0.8207073528838533,0.5460199842019279,0.8741973175676351,0.5529002721830256,0.4651802436270435,0.4592675809064889,0.7531078452634972,0.8866403245127269,0.36651838831481737,0.6523019271948609
0.0,0.332309043,0.9825111599890896,9.916511674653731e-05,1.0,0.9379435175170242,0.5616995997523071,0.9503233312589627,0.010133663218772942,1.0,0.024976953355542654,0.6504479504098186,0.9415204678362573,0.6651816273767701,0.11453488283546515,0.1771312346975569,0.5587152267972922,0.09011889661225253,0.5870638717172827,0.16382118876579424,0.1665985937604395,0.07046108877651552,0.4726631107418707,0.6411088230340106,0.05705631411938421,0.3616167023554604
0.0,0.164679912,0.9946623322523483,0.0033104842389720876,1.0,0.9744967601777559,0.8212283419710574,0.9798966422251685,0.10718994301949461,1.0,0.06331331153786635,0.7947819409172279,0.9309941520467837,0.7874046039046634,0.3813953482186047,0.49240462951791053,0.7409235606720113,0.34343008749826887,0.7659832422877573,0.44709806022532883,0.3926922051419485,0.2947979847502183,0.6531238428556394,0.7811720135788559,0.3028651810884662,0.654710920770878
