Gravity Index Centrality,Laplacian Centrality,Constraint Coefficients,Second order centrality,HVGc Index,K-Shell Value,PE Values,Global Relative Change in Avg Clustering,DIL Centrality,PageRank Centrality,Semi local centrality,Extended Coreness,P Value,Societal Capital Scores,Extended Degree,Coreness Centrality,I-GSM Values,MDD Value,LGC Scores,EIGSM Values,EHCC Value,HCC Value,Degree Centrality,Leverage Centrality,Clustered Local Degree
183984.0,9858,-0.031317056,-3404.13528,710380028.2,32,0.446582225,0.000206412,6111.317161,0.00123221,2680859,113366,636,3801,1530.0,1433,4467.025739,42.9,26503592817.0,324438.6531,52.7955535,0.961200655,0.049947971,-0.100067626,4761.119681
217965.5,16608,-0.022271442,-2696.269203,1515182398.0,34,0.680571466,0.000574583,11245.25479,0.001685393,4003308,169328,719,5676,2285.0,2257,6549.051647,60.7,50331889248.0,487118.4571,80.89346732,1.165804353,0.075962539,0.069329171,6922.732496
182539.5,8992,-0.035047068,-3592.047673,671551354.1,33,0.417406013,0.000130841,3727.974242,0.001044339,2537423,107687,637,3593,1445.8,1364,4223.45117,40.9,23226322512.0,307302.1891,51.28136011,0.950427895,0.044745057,-0.227445972,4729.401993
231149.0,20122,-0.016542508,-2452.608989,1872561242.0,34,0.812726911,0.001338239,29577.53365,0.002024173,4472961,188880,744,6406,2579.6,2573,7423.024867,68.6,63565548915.0,546099.718,91.75655772,1.236918222,0.089490114,0.158113276,7265.838577
23033.25,1244,-0.142901272,-8058.761051,18395122.65,9,0.084676521,0.001407861,32.48818356,0.000340752,416713,17760,196,586,236.2,288,921.866794,9.0,1670148372.0,51698.23112,9.729438743,0.262613389,0.009365245,-0.703175746,1041.805556
209703.5,14486,-0.025819566,-2853.417653,1252526226.0,34,0.621027905,0.000297641,8655.928426,0.001543431,3581613,151114,700,5098,2052.4,2021,5896.802918,56.4,42161814449.0,437952.4846,73.55215911,1.110425934,0.06867846,0.024837607,6441.898368
97554.5,4408,-0.053771102,-4968.679624,216812591.2,23,0.230448715,2.64e-05,1155.862516,0.00061231,1392259,59384,439,1951,785.0,768,2428.119372,23.0,9056804632.0,170916.5763,29.05669291,0.624854601,0.023933403,-0.538167995,2682.434783
6478.0,542,-0.264895658,-12188.07643,2397732.707,4,0.033281083,0.000185808,18.28208927,0.000264612,170108,7140,83,265,106.8,95,506.7079371,4.0,469687986.0,19775.04004,3.275170844,0.11217589,0.004162331,-0.800562852,348.0
315834.5,60328,-0.011373615,-1548.327168,7054127457.0,34,1.734537655,0.004096593,54099.76157,0.003928806,9695924,411944,823,13693,5513.6,5742,16764.08305,128.3,271521000000.0,1205637.607,204.2126955,1.747544241,0.189386056,0.452846206,15775.00097
215016.0,15788,-0.024876309,-2797.045926,1630789199.0,34,0.66517167,0.000451339,8422.612754,0.001520049,4018664,171462,806,5616,2260.0,2216,6455.490124,59.0,47395102360.0,502301.0973,83.29519497,1.263995353,0.070759625,-0.031122132,7391.650571
285132.5,43858,-0.012816501,-1753.839457,4533407771.0,34,1.413611371,0.001142991,44704.43574,0.003344021,7501102,319205,797,10604,4271.8,4630,12704.25239,108.4,171225000000.0,944317.4624,161.8794425,1.539835315,0.157127992,0.413597083,12174.39912
252518.0,28480,-0.017262373,-2140.948442,3107902359.0,34,1.022697847,0.000773388,21569.85951,0.002393519,5915761,251491,812,8354,3363.4,3452,9722.873587,82.6,100924000000.0,733492.9971,124.0049478,1.428189382,0.113423517,0.241601454,10088.42847
258893.0,31766,-0.013735185,-2058.258193,3605713164.0,34,1.119813454,0.00074579,38240.00576,0.002582161,6472074,273856,807,9213,3708.4,3596,10746.25657,87.8,117558000000.0,789804.0683,129.9241529,1.471662228,0.120707596,0.251863205,10616.34903
224442.5,18756,-0.019941166,-2507.624976,1620741916.0,34,0.755082769,0.001327775,15315.29578,0.002053044,4143276,175983,720,5892,2373.6,2483,6846.589111,66.9,57386851668.0,514021.4865,87.23075921,1.17937283,0.087408949,0.188448683,6952.605852
282497.5,44538,-0.013208206,-1735.781359,4409270207.0,34,1.406803622,0.002085405,43906.4828,0.003441824,7397357,314696,791,10488,4226.0,4596,12600.49005,110.2,171961000000.0,930627.5978,159.9932202,1.526166574,0.16024974,0.43684953,11990.10661
171802.0,8774,-0.029989645,-3545.214966,615314439.0,31,0.418493116,0.000937629,6370.583334,0.001099678,2418064,102705,592,3441,1385.2,1353,4069.77563,40.4,22360508291.0,294831.6814,49.29971931,0.889131698,0.04578564,-0.175274444,4197.772727
269050.5,35246,-0.015877486,-1960.341536,4125750708.0,34,1.203272282,0.001850956,25899.69939,0.002763222,6896050,292303,820,9748,3924.4,3945,11451.63776,93.0,134318000000.0,855715.8525,143.692627,1.517562732,0.131113424,0.297136553,11733.34171
216224.25,16810,-0.019310999,-2581.866827,1281657624.0,33,0.717688425,0.001057439,19886.74374,0.001903522,3700360,156922,697,5324,2145.4,2289,6220.625167,62.8,48740275610.0,447095.3135,77.37754201,1.1198956,0.082206035,0.173022405,6111.506005
191647.5,10898,-0.029948039,-3212.737931,845212070.9,33,0.500443298,0.000162774,6369.088646,0.001237694,2886212,122523,640,4071,1639.0,1694,4752.507246,46.1,29356879828.0,351674.134,60.13784946,0.981373868,0.055150884,-0.082157038,5230.981132
121931.25,5598,-0.047256669,-4589.934677,302230013.1,25,0.260930564,0.000339315,1489.037492,0.000732814,1720580,72432,503,2448,984.6,850,2988.591212,26.4,13169289402.0,207173.3318,32.9033697,0.728153019,0.028095734,-0.422919232,3296.974359
208063.0,13804,-0.025846857,-2948.100988,1267768588.0,34,0.597308668,4.75e-05,7747.824376,0.001421607,3556586,151059,714,5011,2016.8,1977,5785.649022,53.9,39958459506.0,434129.1271,72.29220416,1.121786528,0.064516129,-0.041863984,6362.252247
172664.0,9022,-0.0312987,-3505.243163,663404676.8,32,0.429956261,0.000553359,4853.906708,0.001083028,2492664,106667,606,3521,1417.4,1430,4139.712609,41.7,22628583432.0,301255.5862,51.62929967,0.910079524,0.046826223,-0.190372033,4455.6
288277.5,46556,-0.011610623,-1729.947921,5376007632.0,34,1.453319853,0.000335927,53036.00154,0.00344652,8134575,345801,849,11497,4629.6,4686,13777.96064,110.2,190117000000.0,1006087.761,170.2207733,1.651848838,0.16024974,0.395991564,13109.77744
