Lambda,Kendall_Tau,P_Value
0.0693,0.6420961179765284,2.2596593698646603e-151
0.0847,0.6611850343867327,1.7706936768393475e-161
0.1001,0.6632246974447704,4.033408850064493e-163
0.1155,0.656475944992773,2.852384500873447e-160
0.1309,0.6593895947836432,5.266180481544698e-162
0.1463,0.6557148117631936,2.0054435169872373e-160
0.1617,0.6515749439390556,1.2438557672848513e-158
0.1771,0.6596157992368328,1.299337498274196e-162
0.1925,0.6574097181438855,1.2689310194507349e-161
0.2079,0.6591602424635313,1.6444798142436688e-162
