Node,Spreading Ability,Rank
504,37.68,1
363,32.55,2
419,33.68,3
219,26.55,4
1343,20.5,5
433,27.11,6
412,30.46,7
431,30.45,8
658,24.9,9
537,21.58,10
1155,20.16,11
1292,19.99,12
541,27.09,13
189,28.41,14
561,23.13,15
610,22.66,16
327,18.26,17
109,17.04,18
754,25.51,19
545,25.49,20
1151,16.83,21
82,18.52,22
534,24.64,23
470,16.54,24
1234,16.49,25
357,20.03,26
1312,19.29,27
435,23.38,28
729,28.46,29
359,19.55,30
512,16.39,31
121,16.88,32
346,16.18,33
1167,15.78,34
104,24.0,35
675,26.13,36
244,17.26,37
1173,16.72,38
502,22.98,39
1340,17.5,40
498,23.01,41
748,21.64,42
311,15.64,43
106,15.43,44
544,19.32,45
608,16.5,46
456,15.29,47
1174,15.25,48
161,16.59,49
681,19.74,50
574,15.07,51
232,15.05,52
462,14.42,53
615,20.25,54
666,14.33,55
505,17.63,56
1105,13.75,57
1131,13.25,58
506,17.47,59
746,18.86,60
719,15.36,61
188,14.85,62
540,19.3,63
677,14.63,64
425,13.1,65
235,18.58,66
236,17.57,67
501,16.47,68
1360,12.94,69
86,12.89,70
689,12.55,71
260,18.72,72
240,15.85,73
107,12.18,74
718,18.92,75
616,14.06,76
678,16.95,77
92,12.37,78
100,12.13,79
151,15.35,80
252,12.27,81
62,11.68,82
1185,15.41,83
1150,15.93,84
246,17.6,85
251,14.29,86
499,21.0,87
674,22.63,88
659,15.71,89
243,14.77,90
1186,12.76,91
1135,15.15,92
716,15.82,93
1290,11.75,94
1200,12.35,95
1198,13.41,96
315,11.49,97
1121,11.46,98
871,13.99,99
684,15.21,100
134,11.59,101
676,16.89,102
1331,11.33,103
482,11.69,104
193,11.49,105
532,15.84,106
624,13.01,107
1293,11.26,108
1192,11.19,109
840,14.14,110
496,17.48,111
375,13.54,112
626,11.15,113
1337,11.01,114
1339,10.82,115
724,12.32,116
1410,11.18,117
1289,10.74,118
1166,10.74,118
319,10.37,119
197,10.22,120
619,16.03,121
761,11.96,122
1411,10.34,123
1095,10.09,124
533,10.07,125
625,9.78,126
1317,9.72,127
256,10.73,128
336,9.62,129
546,14.35,130
201,9.53,131
55,9.53,131
138,9.35,132
402,15.24,133
500,16.72,134
751,11.72,135
740,14.28,136
1412,9.38,137
233,11.97,138
1172,14.63,139
603,10.65,140
1187,10.09,141
338,17.48,142
1287,13.34,143
335,15.06,144
686,10.19,145
103,9.79,146
218,9.33,147
44,10.27,148
1179,9.27,149
1224,10.46,150
1182,9.23,151
752,16.4,152
274,9.22,153
727,15.37,154
839,15.39,155
254,11.16,156
762,13.0,157
98,9.65,158
518,9.21,159
543,13.78,160
503,13.34,161
691,10.2,162
320,10.11,163
1322,9.48,164
560,11.48,165
768,10.58,166
362,17.69,167
629,10.55,168
1400,9.2,169
339,9.06,170
622,9.06,170
99,10.8,171
279,8.94,172
1152,8.82,173
387,8.73,174
597,17.76,175
575,10.27,176
536,11.12,177
383,8.74,178
1315,14.35,179
733,11.25,180
461,12.29,181
1437,9.2,182
538,9.13,183
230,8.69,184
1225,8.63,185
623,8.61,186
736,16.62,187
725,12.89,188
298,11.24,189
241,9.83,190
1169,9.17,191
1115,8.6,192
59,8.59,193
627,8.59,193
605,9.52,194
1229,8.55,195
108,8.53,196
1364,12.34,197
1482,8.51,198
1170,10.92,199
793,9.62,200
1298,8.49,201
436,15.86,202
1389,8.45,203
790,8.44,204
1193,8.44,204
245,10.51,205
1149,8.36,206
661,11.06,207
738,8.29,208
380,8.68,209
1414,8.21,210
508,13.33,211
701,10.51,212
234,9.65,213
102,10.47,214
1183,9.51,215
1334,8.13,216
802,8.3,217
1460,10.37,218
737,10.98,219
632,8.79,220
1181,8.09,221
1443,8.07,222
805,8.07,222
930,11.87,223
894,8.92,224
164,17.05,225
714,12.19,226
213,8.23,227
1421,8.06,228
552,15.2,229
238,8.01,230
1153,8.0,231
933,8.65,232
1162,9.64,233
720,8.6,234
717,8.14,235
434,10.54,236
824,8.4,237
638,8.05,238
744,11.5,239
1199,9.22,240
361,8.38,241
1409,7.98,242
187,7.98,242
636,7.98,242
49,7.94,243
1545,7.84,244
441,10.23,245
739,7.81,246
1158,11.49,247
170,7.74,248
1419,7.72,249
507,13.11,250
268,13.55,251
1503,8.0,252
1159,7.69,253
884,7.64,254
130,7.58,255
1386,7.58,255
190,7.55,256
1423,7.52,257
667,7.5,258
307,10.78,259
788,9.47,260
127,8.98,261
105,9.92,262
611,7.88,263
43,7.44,264
656,7.42,265
316,7.42,265
345,7.42,265
1160,7.83,266
845,9.91,267
749,12.8,268
747,8.61,269
1178,8.36,270
163,7.65,271
705,8.64,272
655,8.31,273
460,8.2,274
1420,7.41,275
723,7.4,276
1161,7.34,277
1148,7.32,278
1390,7.29,279
175,7.28,280
836,9.97,281
318,7.27,282
576,7.27,282
480,11.4,283
162,9.89,284
750,10.77,285
803,9.06,286
182,8.41,287
620,10.87,288
1341,7.68,289
637,7.72,290
866,7.56,291
1350,7.35,292
1120,9.18,293
1372,7.24,294
186,7.19,295
1228,9.12,296
563,9.36,297
353,8.83,298
203,7.16,299
612,7.14,300
535,12.32,301
877,7.13,302
1194,7.11,303
323,7.86,304
1189,7.39,305
226,7.1,306
391,7.09,307
696,7.06,308
734,8.57,309
1145,7.36,310
101,10.24,311
1342,7.03,312
1475,7.06,313
799,7.01,314
1141,7.01,314
687,7.57,315
838,8.49,316
849,6.98,317
