MCGM Values,Extended Coreness,PE Values,Extended Improved Gravity Index Values,Societal Capital Scores,P Value,Closeness Centrality,Volume Centrality,Constraint Coefficients,Gravity Model Centrality,Extended Degree,Leverage Centrality,DNC Scores,CLC Values,H-GSM_1,Density Centrality,GGC Values,EIGSM Values,EHCC Value,GIN Values,Coreness Centrality,DIL Centrality,Isolating Centrality,Node H-Index,Second order centrality
4.786802032,5273,0.132348074,279303.0,178,83,9.22e-05,2788,-0.08108816,22038.16818,75.0,0.596703297,27.22472456,11789.37973,53.25101784,222.1704545,2977.433624,7313.71239,10.74952627,3632.901834,133,573.1619433,19,6,-9548.525519
0.029284884,133,0.017759218,2448.75,20,41,8.32e-05,177,-1.0,596.7762104,8.2,-0.9,1.040935673,755.0,4.585638634,1.75,31.55894852,342.9747099,1.176927218,2787.462966,3,1.0,0,1,-18996.21614
86.28246752,126076,0.572786791,6811386.25,2674,105,0.000100735,3026,-0.073089121,160411.9631,1079.8,-0.000596867,97.80991576,94352.52441,4107.507358,1050.715909,3558.00016,140048.6354,70.2463286,5379.213927,2503,461.2579661,0,50,-6116.974989
86.28246752,126076,0.572786791,6811386.25,2674,105,0.000100735,3026,-0.073089121,160411.9631,1079.8,-0.000596867,97.80991576,94352.52441,4107.507358,1050.715909,3558.00016,140048.6354,70.2463286,5379.213927,2503,461.2579661,0,50,-6116.974989
0.041818803,134,0.01843743,2455.5,22,41,8.32e-05,177,-0.5,1194.830199,9.2,-0.238095238,2.040935673,775.0,5.587952474,4.136363636,64.61789704,361.5507409,1.186913221,2790.005258,4,2.947368421,2,1,-18984.09912
2.299668777,2831,0.044204824,141143.0,100,67,9.25e-05,2921,-0.208491153,7922.40571,41.4,0.091203815,10.74457713,5988.613489,32.17393327,59.02272727,880.7257467,3619.221459,4.69921404,3593.281162,73,82.62857143,0,3,-11028.09479
0.084730934,206,0.033997781,4848.75,28,43,8.38e-05,246,-0.603538922,1241.688254,11.6,-0.682539683,2.136173768,379.6515833,5.96688213,4.613636364,10.77156138,627.1952752,1.831513781,2822.22677,6,2.0,0,2,-14920.46904
0.132236994,307,0.022150335,5237.25,36,46,8.43e-05,368,-0.5,1293.802789,14.8,-0.787114846,2.783792815,1196.0,6.273860698,6.204545455,84.11544778,578.0201565,2.097356804,2853.569803,16,3.880701754,0,2,-14865.49353
0.067615467,150,0.025113969,2605.75,30,42,8.33e-05,194,-0.585650286,1212.569643,12.4,-0.722943723,2.096491228,349.1175897,5.795324468,5.090909091,11.28429318,430.7788072,1.583505599,2797.735082,5,2.0,0,2,-16390.88847
0.194607383,171,0.041071601,2854.0,48,42,8.34e-05,197,-0.147088342,5528.000893,21.0,0.487337662,11.08855472,1130.421565,12.93528317,42.23863636,387.6443543,631.1860174,2.672986649,2818.245327,17,75.18803419,9,2,-16325.24388
0.084730934,206,0.033997781,4848.75,28,43,8.38e-05,246,-0.603538922,1241.688254,11.6,-0.682539683,2.136173768,379.6515833,5.96688213,4.613636364,10.77156138,627.1952752,1.831513781,2822.22677,6,2.0,0,2,-14920.46904
0.060847452,138,0.020078383,2512.25,23,41,8.32e-05,178,-0.5,1196.607976,9.6,-0.404761905,2.040935673,860.0,5.599985522,4.136363636,66.61789704,398.2727137,1.32711025,2790.673062,5,3.447368421,0,2,-16260.6414
0.041818803,134,0.01843743,2455.5,22,41,8.32e-05,177,-0.5,1194.830199,9.2,-0.238095238,2.040935673,775.0,5.587952474,4.136363636,64.61789704,361.5507409,1.186913221,2790.005258,4,2.947368421,2,1,-18984.09912
2.299668777,2831,0.044204824,141143.0,100,67,9.25e-05,2921,-0.208491153,7922.40571,41.4,0.091203815,10.74457713,5988.613489,32.17393327,59.02272727,880.7257467,3619.221459,4.69921404,3593.281162,73,82.62857143,0,3,-11028.09479
0.084730934,206,0.033997781,4848.75,28,43,8.38e-05,246,-0.603538922,1241.688254,11.6,-0.682539683,2.136173768,379.6515833,5.96688213,4.613636364,10.77156138,627.1952752,1.831513781,2822.22677,6,2.0,0,2,-14920.46904
0.132236994,307,0.022150335,5237.25,36,46,8.43e-05,368,-0.5,1293.802789,14.8,-0.787114846,2.783792815,1196.0,6.273860698,6.204545455,84.11544778,578.0201565,2.097356804,2853.569803,16,3.880701754,0,2,-14865.49353
0.067615467,150,0.025113969,2605.75,30,42,8.33e-05,194,-0.585650286,1212.569643,12.4,-0.722943723,2.096491228,349.1175897,5.795324468,5.090909091,11.28429318,430.7788072,1.583505599,2797.735082,5,2.0,0,2,-16390.88847
0.194607383,171,0.041071601,2854.0,48,42,8.34e-05,197,-0.147088342,5528.000893,21.0,0.487337662,11.08855472,1130.421565,12.93528317,42.23863636,387.6443543,631.1860174,2.672986649,2818.245327,17,75.18803419,9,2,-16325.24388
0.084730934,206,0.033997781,4848.75,28,43,8.38e-05,246,-0.603538922,1241.688254,11.6,-0.682539683,2.136173768,379.6515833,5.96688213,4.613636364,10.77156138,627.1952752,1.831513781,2822.22677,6,2.0,0,2,-14920.46904
0.060847452,138,0.020078383,2512.25,23,41,8.32e-05,178,-0.5,1196.607976,9.6,-0.404761905,2.040935673,860.0,5.599985522,4.136363636,66.61789704,398.2727137,1.32711025,2790.673062,5,3.447368421,0,2,-16260.6414
92.83121121,128086,0.615908046,6888123.5,2747,105,0.000102859,2984,-0.065722345,184903.4474,1110.4,0.140373773,112.4451934,116417.6252,5583.402436,1231.840909,5733.682728,143490.6804,77.01619294,5441.440133,2588,95.65314956,0,50,-6081.708486
86.06435222,126016,0.572222451,6812037.5,2662,105,0.000101061,3006,-0.072994191,160130.0393,1075.0,0.005314463,97.86500249,94241.76314,4104.807314,1010.147727,3455.334445,140001.6613,70.08684324,5382.086024,2503,320.8013835,0,50,-6118.801507
92.83121121,128086,0.615908046,6888123.5,2747,105,0.000102859,2984,-0.065722345,184903.4474,1110.4,0.140373773,112.4451934,116417.6252,5583.402436,1231.840909,5733.682728,143490.6804,77.01619294,5441.440133,2588,95.65314956,0,50,-6081.708486
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
92.83121121,128086,0.615908046,6888123.5,2747,105,0.000102859,2984,-0.065722345,184903.4474,1110.4,0.140373773,112.4451934,116417.6252,5583.402436,1231.840909,5733.682728,143490.6804,77.01619294,5441.440133,2588,95.65314956,0,50,-6081.708486
86.06435222,126016,0.572222451,6812037.5,2662,105,0.000101061,3006,-0.072994191,160130.0393,1075.0,0.005314463,97.86500249,94241.76314,4104.807314,1010.147727,3455.334445,140001.6613,70.08684324,5382.086024,2503,320.8013835,0,50,-6118.801507
92.83121121,128086,0.615908046,6888123.5,2747,105,0.000102859,2984,-0.065722345,184903.4474,1110.4,0.140373773,112.4451934,116417.6252,5583.402436,1231.840909,5733.682728,143490.6804,77.01619294,5441.440133,2588,95.65314956,0,50,-6081.708486
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
91.98390766,126486,0.666639287,6821674.5,2684,105,0.000100654,3015,-0.058041038,185752.0009,1085.4,0.191823877,108.1636334,120516.7443,5825.673626,1314.090909,6656.331559,141964.8631,74.75593239,5419.131828,2517,639.5958354,59,50,-6105.139934
88.74479489,126633,0.59100841,6828536.5,2690,105,0.000101194,3014,-0.069179949,170250.3846,1086.8,0.07169161,103.7447572,104340.2406,4683.375946,1121.113636,4455.794967,141182.2406,72.98129307,5397.622231,2524,185.004735,0,50,-6098.584514
86.04795325,126063,0.571041531,6812118.75,2662,105,0.000100422,3004,-0.073228923,159971.2664,1075.0,0.005314463,97.86421818,94184.69789,4104.445666,1006.090909,3452.723816,140036.4697,70.26858312,5374.966706,2503,198.6141753,0,50,-6133.07419
88.74479489,126633,0.59100841,6828536.5,2690,105,0.000101194,3014,-0.069179949,170250.3846,1086.8,0.07169161,103.7447572,104340.2406,4683.375946,1121.113636,4455.794967,141182.2406,72.98129307,5397.622231,2524,185.004735,0,50,-6098.584514
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
86.0282731,126009,0.570205869,6811067.5,2664,105,0.000100503,3004,-0.072994191,159814.4273,1075.8,0.004165038,97.82531995,94249.0324,4105.04473,1018.261364,3484.18988,139977.3809,69.97398794,5367.951829,2502,397.7718269,0,50,-6126.829374
86.04959257,126016,0.571504681,6811204.0,2662,105,0.000100432,3006,-0.072994191,159985.4331,1075.0,0.005314463,97.81738345,94228.3724,4104.633168,1010.147727,3461.798854,139989.8273,70.06687123,5375.314839,2502,320.8013835,0,50,-6128.517391
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
86.73913097,126058,0.582575347,6812489.0,2666,105,0.000100513,3002,-0.070610102,162966.8213,1076.8,0.031501307,98.8622732,97843.43877,4289.057249,1050.636364,3829.266082,140212.5639,70.510632,5372.351923,2504,458.5871418,0,50,-6121.647784
88.74479489,126633,0.59100841,6828536.5,2690,105,0.000101194,3014,-0.069179949,170250.3846,1086.8,0.07169161,103.7447572,104340.2406,4683.375946,1121.113636,4455.794967,141182.2406,72.98129307,5397.622231,2524,185.004735,0,50,-6098.584514
86.03319298,126016,0.571601723,6811228.5,2662,105,0.000100422,3004,-0.072994191,159971.2664,1075.0,0.005314463,97.81738345,94246.35426,4104.39421,1006.090909,3458.066237,139989.8561,70.06687123,5374.966706,2502,320.8013835,0,50,-6129.605063
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
85.1096089,125946,0.556646052,6810137.5,2655,105,0.000100271,2984,-0.075513283,156189.436,1072.0,-0.019841881,96.73054871,90545.06322,3926.835962,958.5227273,3093.978413,139728.2112,69.45193798,5353.868088,2500,50.0,0,50,-6142.660796
