feature,score,rank
Constraint Coefficients,0.00010093625434248743,1
K-Shell Value,0.0004445594814659337,2
Clustering Coefficient,0.0004922711821212511,3
Degree Centrality,0.0005102002226985425,4
Global Relative Change in Avg Degree,0.0006680441989792563,5
Subgraph centrality,0.001199016730327851,6
DNC Scores,0.0012015621203901317,7
Density Centrality,0.0012332640723580202,8
DIL Centrality,0.001259449774724919,9
Local-Global Centrality,0.0018963079791065596,10
Gravity Model Centrality,0.0019875573884780007,11
HVGc Index,0.002192531719265589,12
MCGM Values,0.0024042492698379547,13
LGC Scores,0.0024573823713893717,14
Local Gravity Model Centrality,0.0025865488113759882,15
MDD Value,0.0030882485304499774,16
H Values,0.003483574070373252,17
GGC Values,0.003612015864761897,18
PageRank Centrality,0.004163411230477698,19
Gravity Index Centrality,0.004573540861301573,20
Laplacian Centrality,0.0046619723027974125,21
EIGSM Values,0.004981954041694325,22
Improved Gravity Index Values,0.007342881080044661,23
Node H-Index,0.007961504993409307,24
Extended Degree,0.0087201230751357,25
Semi local centrality,0.01040762764069425,26
Societal Capital Scores,0.010550863335340499,27
Coreness Centrality,0.010853339469316436,28
CLC Values,0.011476972508239092,29
I-GSM Values,0.012532911886027343,30
Extended Coreness,0.01273040054131569,31
PE Values,0.013022560264721261,32
Clustered Local Degree,0.013047359734788211,33
Extended Improved Gravity Index Values,0.01400123908069062,34
Leverage Centrality,0.01410711837858436,35
Centrality Values,0.014215922328155273,36
EHCC Value,0.015621826362940294,37
HCC Value,0.01600198972187361,38
GSM,0.01992016315089018,39
GIN Values,0.02047951861190722,40
H-GSM_1,0.020520939286890916,41
Isolating Centrality,0.02132087426807938,42
Volume Centrality,0.022888326836148498,43
Eigenvector Centrality,0.02310509014951756,44
P Value,0.0239165523995295,45
Global Relative Change in Avg Clustering,0.026553318227633294,46
Second order centrality,0.031124609449549645,47
Closeness Centrality,0.033361630284774346,48
Betweenness Centrality,0.04351709785171998,49
Eccentricity Centrality,0.05900071976320731,50
