Starting Node,Average Spreading Ability,Rank
186,11.21,1.0
147,7.04,2.0
145,6.66,3.0
408,6.51,4.0
153,5.36,5.0
155,5.08,6.0
227,4.74,7.0
205,4.64,8.0
231,4.42,9.0
146,4.21,10.0
230,4.14,11.0
426,4.12,12.0
89,4.07,13.0
229,3.94,14.0
228,3.94,14.0
295,3.6,15.0
427,3.49,16.0
220,3.39,17.0
176,3.27,18.0
285,3.07,19.0
208,3.07,19.0
198,3.0,20.0
233,2.83,21.0
298,2.82,22.0
435,2.81,23.0
409,2.74,24.0
238,2.74,24.0
173,2.67,25.0
174,2.59,26.0
246,2.56,27.0
154,2.52,28.0
202,2.47,29.0
273,2.41,30.0
215,2.38,31.0
6,2.38,31.0
311,2.37,32.0
183,2.34,33.0
211,2.34,33.0
449,2.31,34.0
302,2.31,34.0
128,2.3,35.0
368,2.3,35.0
184,2.3,35.0
7,2.29,36.0
92,2.29,36.0
130,2.28,37.0
293,2.28,37.0
335,2.25,38.0
135,2.22,39.0
365,2.21,40.0
269,2.16,41.0
382,2.16,41.0
88,2.15,42.0
83,2.14,43.0
376,2.13,44.0
392,2.12,45.0
82,2.12,45.0
167,2.11,46.0
14,2.1,47.0
342,2.08,48.0
61,2.07,49.0
410,2.06,50.0
199,2.05,51.0
58,2.05,51.0
63,2.04,52.0
243,2.04,52.0
85,2.04,52.0
387,2.03,53.0
164,2.03,53.0
370,2.03,53.0
116,2.02,54.0
159,2.0,55.0
349,1.99,56.0
436,1.99,56.0
106,1.99,56.0
300,1.98,57.0
43,1.98,57.0
374,1.98,57.0
348,1.98,57.0
422,1.97,58.0
383,1.96,59.0
384,1.96,59.0
39,1.94,60.0
182,1.94,60.0
162,1.93,61.0
107,1.93,61.0
417,1.92,62.0
143,1.91,63.0
451,1.9,64.0
197,1.9,64.0
125,1.9,64.0
187,1.9,64.0
309,1.89,65.0
306,1.88,66.0
271,1.87,67.0
26,1.87,67.0
136,1.87,67.0
108,1.86,68.0
29,1.85,69.0
68,1.84,70.0
188,1.84,70.0
95,1.84,70.0
157,1.83,71.0
239,1.83,71.0
185,1.83,71.0
111,1.83,71.0
446,1.82,72.0
425,1.82,72.0
137,1.82,72.0
221,1.82,72.0
166,1.82,72.0
59,1.81,73.0
317,1.81,73.0
341,1.81,73.0
45,1.8,74.0
439,1.8,74.0
429,1.79,75.0
48,1.78,76.0
401,1.77,77.0
431,1.76,78.0
129,1.76,78.0
389,1.76,78.0
444,1.76,78.0
100,1.76,78.0
347,1.75,79.0
204,1.75,79.0
77,1.74,80.0
28,1.74,80.0
206,1.74,80.0
191,1.73,81.0
126,1.73,81.0
109,1.73,81.0
160,1.73,81.0
122,1.72,82.0
60,1.72,82.0
413,1.71,83.0
324,1.71,83.0
346,1.7,84.0
200,1.7,84.0
287,1.7,84.0
390,1.7,84.0
438,1.7,84.0
81,1.7,84.0
149,1.7,84.0
32,1.69,85.0
282,1.69,85.0
305,1.69,85.0
416,1.69,85.0
127,1.68,86.0
280,1.68,86.0
336,1.67,87.0
27,1.66,88.0
4,1.65,89.0
124,1.65,89.0
388,1.64,90.0
57,1.64,90.0
414,1.64,90.0
76,1.63,91.0
452,1.63,91.0
323,1.63,91.0
381,1.63,91.0
297,1.62,92.0
345,1.62,92.0
319,1.62,92.0
203,1.61,93.0
212,1.61,93.0
84,1.61,93.0
54,1.61,93.0
272,1.61,93.0
49,1.61,93.0
371,1.6,94.0
66,1.6,94.0
47,1.6,94.0
158,1.6,94.0
395,1.6,94.0
112,1.6,94.0
445,1.6,94.0
98,1.59,95.0
291,1.59,95.0
284,1.59,95.0
168,1.58,96.0
110,1.58,96.0
248,1.58,96.0
304,1.58,96.0
443,1.58,96.0
105,1.58,96.0
245,1.57,97.0
386,1.57,97.0
394,1.57,97.0
450,1.57,97.0
119,1.57,97.0
430,1.57,97.0
46,1.57,97.0
93,1.56,98.0
283,1.56,98.0
132,1.56,98.0
196,1.55,99.0
339,1.54,100.0
103,1.54,100.0
222,1.54,100.0
288,1.54,100.0
161,1.54,100.0
78,1.53,101.0
193,1.53,101.0
216,1.53,101.0
286,1.52,102.0
70,1.52,102.0
442,1.52,102.0
62,1.52,102.0
144,1.52,102.0
363,1.52,102.0
312,1.51,103.0
290,1.51,103.0
375,1.51,103.0
299,1.5,104.0
87,1.5,104.0
406,1.5,104.0
440,1.5,104.0
407,1.49,105.0
90,1.49,105.0
118,1.49,105.0
67,1.49,105.0
24,1.49,105.0
219,1.49,105.0
277,1.49,105.0
207,1.49,105.0
441,1.48,106.0
40,1.48,106.0
303,1.48,106.0
5,1.48,106.0
316,1.47,107.0
142,1.47,107.0
133,1.47,107.0
