Node,Spreading Ability,Rank
54,9.93,1
8,6.22,2
72,8.82,3
93,7.37,4
6,7.1,5
89,7.25,6
45,6.53,7
1,6.67,8
56,6.65,9
51,6.49,10
61,5.57,11
38,5.36,12
29,5.2,13
28,5.01,14
9,4.86,15
74,4.56,16
64,4.45,17
43,4.3,18
19,3.81,19
10,4.32,20
31,3.82,21
47,3.75,22
92,3.75,22
5,3.66,23
40,3.99,24
67,3.56,25
95,3.49,26
75,3.36,27
36,3.34,28
11,3.29,29
48,3.11,30
39,3.06,31
37,2.95,32
79,3.0,33
15,2.93,34
53,2.88,35
86,2.84,36
62,3.71,37
42,3.88,38
83,2.92,39
84,2.75,40
69,2.67,41
68,2.6,42
34,2.58,43
58,2.56,44
90,3.27,45
2,3.05,46
52,2.88,47
85,2.73,48
80,2.57,49
26,2.51,50
44,2.47,51
7,2.41,52
41,2.33,53
25,2.88,54
78,2.58,55
76,2.32,56
82,2.31,57
13,2.3,58
16,2.38,59
20,2.35,60
81,2.27,61
66,2.25,62
21,2.23,63
22,2.16,64
46,2.09,65
63,2.07,66
23,2.04,67
55,1.96,68
60,1.95,69
3,1.92,70
70,1.89,71
35,1.89,71
65,1.88,72
73,1.86,73
94,1.86,73
32,1.85,74
50,1.84,75
14,1.83,76
59,1.72,77
30,1.71,78
33,1.7,79
4,1.7,79
71,1.67,80
17,1.66,81
12,1.63,82
57,1.63,82
24,1.53,83
27,1.51,84
88,1.48,85
91,1.47,86
77,1.47,86
49,1.44,87
18,1.39,88
96,1.27,89
87,1.26,90
