Global Relative Change in Avg Clustering,Clustering Coefficient,Leverage Centrality,Closeness Centrality,Volume Centrality,DIL Centrality,P Value,Betweenness Centrality,PageRank Centrality,HCC Value,Global Relative Change in Avg Degree,Clustered Local Degree,Node H-Index,DNC Scores,Degree Centrality,Eigenvector Centrality,Centrality Values,PE Values,K-Shell Value,MDD Value,CLC Values,EIGSM Values,Extended Coreness,Local-Global Centrality,Improved Gravity Index Values,Average Spreading Ability
0.03713415761028798,0.742857143,0.41209292269000664,0.5662379800979812,0.9163860830527496,0.03158447925006168,0.8493150684931506,0.0038157730402695145,0.17263573205007973,0.5697997709165101,0.08139645913008743,0.39117562450401333,0.5,0.1926618889657853,0.20202020276390162,0.296321445260235,0.21321043426274053,0.2199515832769397,0.6071428571428571,0.2855072463768116,0.18505937378739837,0.3051413476812297,0.2993365878082363,0.14370970415741777,0.31843308957510463,0.42716981132075466
0.06331774103640131,0.656126482,0.5108644393306878,0.4914973756032267,0.7828282828282828,0.045524103344732454,0.8287671232876712,0.005635930595717405,0.19976054033471438,0.5483848274488384,0.10465224136092215,0.3420782015057037,0.5,0.21252678755035737,0.2222222224433221,0.2778400967551612,0.21748710961657336,0.22617873824739104,0.6071428571428571,0.2971014492753623,0.18230552171681258,0.2766744435047768,0.28024784078107395,0.15047480892134465,0.2803329530792885,0.4264150943396226
0.18364831576147955,0.635658915,0.7069896248369822,0.5662379800979812,0.8054620276842498,0.0862905654132168,1.0,0.01461676298206295,0.3733900159354311,0.7387011080491885,0.3372100953919229,0.598731176145127,0.7894736842105263,0.4351266098384095,0.4242424252072237,0.5091364985125549,0.3977023522032075,0.3962297401277044,0.9999999999999999,0.49565217391304356,0.3265134966968815,0.4870646818875786,0.5228188759544373,0.32182459134833996,0.6011662589376187,0.5524528301886793
0.07133447674339985,0.648221344,0.4982434220011456,0.4958622148205861,0.7890011223344556,0.04858383430078667,0.8424657534246575,0.005328534976469745,0.19760548003968073,0.5574216895053726,0.10465224136092215,0.346117805114006,0.5,0.21416221630646634,0.2222222224433221,0.28367816339753077,0.21692335816304903,0.2247267623069713,0.6071428571428571,0.2971014492753623,0.1867639951524123,0.2799926338768145,0.28737013393415944,0.1511665484772986,0.28353763745744126,0.41283018867924526
0.7589793750460142,0.311622807,0.9655988499404642,0.8647462900011077,0.9421997755331087,0.441455602516861,1.0,0.38091078368114684,0.870416518447687,1.0,0.9534884038156769,1.0000000000000002,0.9999999999999999,0.9677343011606963,0.9595959606411592,0.9999999999999999,0.941950780061104,0.9391889812656327,0.9999999999999999,0.963768115942029,0.9704144357200932,1.0,1.0,0.946077284976348,1.0,0.9999999999999999
0.1000014273844457,0.683823529,0.35517383156011956,0.6134194429668639,0.9827908716797604,0.036317875926795896,0.6095890410958904,0.003918873771935171,0.14209714720378372,0.42227210402718157,0.034884862945764344,0.30576960076002935,0.42105263157894735,0.14977528992509404,0.1616161614151617,0.21846505794590773,0.18010932340961688,0.18824976691976314,0.5714285714285714,0.2318840579710145,0.16193546036141926,0.24150074081940848,0.22086619101264238,0.11565419211955949,0.29169002041942244,0.43396226415094336
0.19074626663841948,0.512820513,0.6508558146397865,0.6649446876221675,0.9521137298915076,0.18167151064755974,0.9863013698630136,0.028558598148871184,0.34636132896407434,0.7409711107863279,0.30232640618434403,0.5761707183712426,0.7105263157894737,0.3838852966977683,0.39393939369819403,0.49979637038680325,0.40275409434141873,0.4094998163132457,0.7142857142857143,0.49130434782608695,0.39644266391145777,0.5117262273912621,0.499574414820378,0.3115249530333401,0.4810213667605213,0.6158490566037735
0.18190953613010533,0.64057971,0.6849652656135213,0.6831904937601337,0.9537972315750093,0.10184329404202003,1.0,0.02262540061757431,0.3907632402954862,0.7864105630857361,0.37209375287684815,0.721661758086473,0.8684210526315789,0.4606518850852144,0.45454545472635444,0.6034642447249583,0.44763572354517445,0.44668772065674484,0.9999999999999999,0.5260869565217391,0.39713270417848545,0.5924564168325018,0.6128301414444861,0.37134633661105343,0.7173041966418953,0.7358490566037735
0.2055027924147288,0.464971751,0.8072643619196367,0.7415072176633392,0.9687616909839131,0.27876966140793313,1.0,0.09320425303559629,0.5320058409036325,0.8415660016914245,0.5348842602153449,0.7660436780268794,0.9210526315789473,0.6032969287915065,0.5959595964620957,0.704255535015237,0.585050341897155,0.5843127054775964,0.9999999999999999,0.6202898550724638,0.5647645531754976,0.6996833637681926,0.713819001126549,0.515561782296738,0.7962168019535827,0.7569811320754717
0.16929774939035658,0.595238095,0.7189748558219577,0.6925280910706421,0.9532360643471753,0.12862574551387315,1.0,0.029002340414413044,0.4217038218575521,0.7956490990823121,0.40697744208442704,0.7236692678861996,0.8684210526315789,0.49022003730262087,0.48484848424548516,0.6209411735104576,0.47724769446701987,0.4768137517055869,0.9999999999999999,0.5434782608695653,0.4282199179143231,0.6096093175943985,0.629590687194893,0.4001512913818697,0.7293514360634695,0.8520754716981133
