feature,score,rank
Global Relative Change in Avg Clustering,0.07630798498191736,1
Clustering Coefficient,0.04961746412364241,2
Leverage Centrality,0.032618900146408426,3
Closeness Centrality,0.02861604856309143,4
Volume Centrality,0.028408085850416504,5
DIL Centrality,0.02514446001841617,6
P Value,0.021038547275470217,7
Betweenness Centrality,0.016328839006527297,8
PageRank Centrality,0.01374748402239619,9
HCC Value,0.012774797100643909,10
Global Relative Change in Avg Degree,0.01202996705649053,11
Clustered Local Degree,0.010484811663843106,12
Node H-Index,0.010389398338716297,13
DNC Scores,0.009623866019877875,14
Degree Centrality,0.008723731721415214,15
Eigenvector Centrality,0.00804036307762212,16
Centrality Values,0.00792463361325314,17
PE Values,0.007855346732648427,18
K-Shell Value,0.007749724877297397,19
MDD Value,0.007549253053072679,20
CLC Values,0.007222641101916495,21
EIGSM Values,0.007166174862057771,22
Extended Coreness,0.007041547865513325,23
Local-Global Centrality,0.007021596132756568,24
Improved Gravity Index Values,0.0070012095028216936,25
Extended Improved Gravity Index Values,0.00699790519510427,26
Semi local centrality,0.0069889497436875095,27
Subgraph centrality,0.006880286880385576,28
Societal Capital Scores,0.006781633735894265,29
Density Centrality,0.006768728798690941,30
Extended Degree,0.0067426899755620735,31
GGC Values,0.006663333054537203,32
HVGc Index,0.0064750231712486445,33
Coreness Centrality,0.006430732108233876,34
GIN Values,0.00638151719639645,35
GSM,0.006370879128538803,36
EHCC Value,0.006272617396545277,37
Eccentricity Centrality,0.005851713268094879,38
I-GSM Values,0.005808392396122853,39
Gravity Index Centrality,0.005747247824854196,40
Gravity Model Centrality,0.0056703027436092405,41
Laplacian Centrality,0.005445325339868133,42
H Values,0.005160614366809125,43
MCGM Values,0.004899677826771447,44
Local Gravity Model Centrality,0.004719348339449074,45
LGC Scores,0.004529141991402009,46
Second order centrality,0.0036185206535124725,47
Constraint Coefficients,0.0023545317233459764,48
Isolating Centrality,0.00012572921601585013,49
H-GSM_1,0.00010129833675039077,50
