Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.5714285714285714,1.0,0.6666666666666666,0.7142857142857143,0.6666666666666666
10,0.4166666666666667,0.6153846153846154,0.9090909090909091,0.43478260869565216,0.75
15,0.41025641025641024,0.631578947368421,0.7222222222222222,0.41025641025641024,0.7222222222222222
20,0.5384615384615384,0.64,0.782608695652174,0.5384615384615384,0.64
25,0.6666666666666666,0.7,0.7333333333333333,0.6666666666666666,0.7931034482758621
30,0.8461538461538461,0.8285714285714286,0.8823529411764706,0.8461538461538461,0.8823529411764706
35,0.9743589743589743,0.9230769230769231,0.9473684210526315,0.9743589743589743,0.9736842105263158
40,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
