Global Relative Change in Avg Clustering,Degree Centrality,Local Gravity Model Centrality,LGC Scores,Betweenness Centrality,I-GSM Values,H-GSM_1,Centrality Values,Subgraph centrality,DIL Centrality,Extended Degree,Extended Improved Gravity Index Values,Improved Gravity Index Values,EHCC Value,Second order centrality,DNC Scores,Closeness Centrality,HCC Value,Local-Global Centrality,K-Shell Value,Semi local centrality,H Values,Node H-Index,MDD Value,Leverage Centrality
0.000284276,0.003101737,130,65764,0.002479849,58.51417439,214.8280741,61.99606061,17.28555698,9.294017094,13.4,888.0,154.0,1.14874064,-11597.92738,7.711111111,7.3e-05,0.204345957,1.529807963,4,513,0.000103117,4,4.1,0.045310245
0.000940858,0.00248139,100,55930,0.0,57.63786545,213.6244817,57.62272727,15.83877509,4.0,12.4,879.0,151.0,1.12369675,-11602.04331,6.311111111,7.3e-05,0.200297374,1.221934886,4,503,9.64e-05,4,4.0,-0.184920635
0.000109851,0.003722084,240,167384,0.005206185,87.90645167,243.5216435,95.42396643,26.46718973,28.67162698,19.6,1404.75,248.0,1.677353015,-10150.94309,9.280808081,8.19e-05,0.236480241,2.084640766,4,945,0.000511675,4,4.8,-0.000252525
0.00073583,0.006203474,560,405039,0.003027408,102.3176104,239.2622687,190.0547036,52.18409537,72.87242757,28.4,2505.0,326.0,2.706492064,-8717.438996,14.97316017,7.7e-05,0.282275805,3.368111619,4,1504,0.001433558,5,7.3,0.307640399
0.001145613,0.001240695,12,3762,0.001240695,26.84603398,185.458274,12.10619048,2.709836228,2.8,3.6,157.25,12.0,0.237232632,-18071.11998,2.6,6.54e-05,0.02504389,0.533035374,1,83,2.52e-06,1,1.7,-0.047619048
0.000940858,0.00248139,100,55930,0.0,57.63786545,213.6244817,57.62272727,15.83877509,4.0,12.4,879.0,151.0,1.12369675,-11602.04331,6.311111111,7.3e-05,0.200297374,1.221934886,4,503,9.64e-05,4,4.0,-0.184920635
6.54e-05,0.003101737,120,62322,0.001241593,56.82549884,214.0775453,68.36924242,13.78680807,12.91306471,12.6,848.0,111.75,1.003597148,-11022.23861,6.377777778,7.3e-05,0.159589409,1.528700638,3,518,0.000110502,3,4.1,0.120707071
0.000494053,0.007444169,912,966966,0.011730084,157.0553612,292.2428025,322.8005938,76.3885393,190.0485011,37.6,4427.5,511.0,4.103604314,-6888.525588,16.08679654,9.4e-05,0.394066855,4.944265442,4,2648,0.009454164,6,8.4,0.331953979
0.000627916,0.007444169,1116,1163484,0.004777956,166.1884096,279.0675338,335.5105433,94.88091596,176.1247791,44.4,4175.0,577.0,3.974773387,-6785.725336,14.68102453,8.75e-05,0.423170076,4.713523299,4,3072,0.006107168,7,8.7,0.242015117
0.000419667,0.004342432,497,576972,0.000943587,139.7889174,265.9676993,234.7402115,58.72863522,30.66271082,32.6,3336.0,480.0,2.946884741,-7674.707555,8.396825397,8.62e-05,0.370284117,2.661654627,4,2383,0.003267457,6,6.7,-0.168272869
0.000253685,0.003722084,294,322980,0.002615182,115.9203046,261.9137885,173.892681,30.95259529,36.76204004,23.2,2451.0,369.0,2.172125685,-8205.103303,7.111544012,8.59e-05,0.325495324,2.249121134,4,1695,0.002831282,5,5.4,-0.082264957
0.001145613,0.001861042,54,33888,3.7e-06,51.74577501,212.2720869,43.10744589,7.284552728,6.636363636,9.0,557.75,99.75,0.709440722,-11875.66032,3.877777778,7.3e-05,0.127465874,0.914359886,3,396,5.39e-05,3,3.0,-0.262820513
0.000155613,0.00248139,120,99920,0.000947482,79.07858892,240.4473592,77.41567638,13.54537766,12.03809524,14.4,1068.75,163.5,1.152832217,-10428.93551,5.014141414,8.18e-05,0.176790513,1.383536083,3,800,0.000312742,3,3.7,-0.224206349
0.000620347,0.000620347,2,231,0.0,15.08241462,164.8602753,5.193333333,1.600731114,1.0,1.4,12.0,3.25,0.032886676,-22778.44506,1.0,5.91e-05,0.007842786,0.236878978,1,15,4.15e-08,1,1.0,-0.333333333
0.000795436,0.001240695,18,11592,3.22e-05,47.12646259,219.3532436,31.41130536,3.077683446,3.5,4.8,395.0,44.0,0.398093941,-13108.23652,2.266666667,7.55e-05,0.03819641,0.63287564,2,250,6.68e-05,2,2.0,-0.35
0.000620347,0.001861042,21,5941,5.18e-05,40.50411983,217.6640252,25.24222944,3.24518677,7.666666667,4.6,150.5,26.0,0.195019885,-12666.72284,3.0,7.53e-05,0.034402207,0.938243257,2,133,3.82e-05,2,2.4,0.133333333
0.001089903,0.001861042,57,53175,0.001285732,76.65541076,251.2908794,59.57363793,5.634246688,10.78461538,9.4,720.5,89.5,0.647769697,-10913.3938,3.454545455,8.53e-05,0.097631758,1.089173198,2,603,0.000460851,3,2.7,-0.247619048
0.000620347,0.001240695,10,2120,7.42e-05,40.09264091,223.6716215,13.51925418,2.364247899,3.166666667,3.2,86.0,17.0,0.108516356,-14619.85982,2.0,7.78e-05,0.02478951,0.645289979,2,90,3.41e-05,2,2.0,-0.1
0.001291804,0.007444169,1008,1359504,0.016912828,185.9452972,311.098545,384.7328989,89.60023204,224.3263557,40.8,5758.75,618.0,5.189527426,-6457.656788,15.71277056,9.88e-05,0.415570922,5.281769885,4,3532,0.028696773,6,8.7,0.292248097
0.000694817,0.003722084,324,514350,0.003649438,149.6916243,296.6260985,194.7235545,39.75227682,54.11111111,25.2,3541.0,472.0,3.426613163,-7538.419917,7.042590743,9.78e-05,0.346236251,2.561915895,4,2438,0.013217102,5,5.4,-0.105555556
0.0006264,0.006823821,902,981832,0.002375121,160.4750891,283.3670175,294.2062623,71.57330619,179.5538138,39.4,3674.75,548.0,3.595363835,-6977.599012,14.97640693,8.97e-05,0.397108667,4.409207383,4,2762,0.00589615,7,8.3,0.227397218
0.002735041,0.004962779,464,443586,0.003216211,123.5394762,265.0336403,213.7796799,46.44747351,42.14213172,28.0,2643.5,387.0,2.400075239,-7853.008648,11.28506494,8.61e-05,0.338912973,3.016018928,4,1963,0.002400783,5,6.5,0.130263158
0.000276981,0.004962779,360,303021,0.001770943,104.4107827,252.3907368,181.1493213,31.59686349,56.23034188,22.8,2005.25,235.5,2.071717244,-7944.596366,10.36363636,8.12e-05,0.243570635,2.87280991,3,1497,0.001508468,4,6.5,0.254040404
0.000346619,0.006823821,836,925414,0.003544368,160.658906,294.8110079,302.0644482,69.84826022,117.2231543,37.0,4009.75,516.0,3.755121637,-6900.580446,13.62121212,9.48e-05,0.393812475,4.581712925,4,2780,0.009496153,6,8.6,0.287333538
0.000503338,0.00248139,124,127387,0.001338848,92.6053953,254.7046835,100.6070338,12.73758096,16.00714286,14.8,1145.75,194.25,1.154899502,-10064.82357,4.553318903,8.52e-05,0.198283831,1.466679568,3,966,0.000503012,3,3.7,-0.16547619
0.000696511,0.004962779,464,445748,0.002259084,129.735298,273.5653436,192.9367167,36.39044598,86.99575163,28.0,2077.0,298.5,2.127953137,-7970.557285,10.14877345,8.91e-05,0.268116513,3.12855046,3,1817,0.002439468,6,6.5,0.131453634
0.000562648,0.00248139,112,101080,0.001272759,76.57933973,232.6239798,87.5591342,12.24902669,15.69365079,13.6,1017.5,170.25,1.093429114,-10431.29679,4.732683983,7.75e-05,0.183361399,1.335983117,3,831,0.000246048,3,3.7,-0.126515152
0.001210028,0.004342432,357,420359,0.004771752,136.3671073,284.7373755,202.7832109,29.88106304,43.81344897,24.6,2763.0,303.0,2.569911504,-7473.012764,9.572510823,9.19e-05,0.322718641,2.858687005,3,1960,0.005307242,4,6.1,0.064859117
0.000466861,0.001861042,69,68788,0.000274431,77.64000309,242.5158621,82.37359019,8.99357606,7.258974359,11.0,944.5,98.5,0.957590197,-10287.98576,3.601731602,8.07e-05,0.137587331,1.049848157,2,744,0.000292046,3,3.0,-0.380952381
0.001070006,0.001861042,57,47300,0.000851711,66.54501892,237.8276136,61.28379327,7.492167732,6.558974359,9.4,774.25,120.0,0.838432876,-11387.56071,3.803030303,8.17e-05,0.140109634,1.028332886,3,555,0.000192362,3,3.0,-0.247619048
0.000265739,0.003722084,366,577690,0.001499597,150.060098,284.0104995,236.1417505,53.26309163,37.1517094,28.0,4113.5,485.0,3.726874709,-7408.951673,7.526973027,9.14e-05,0.383415141,2.452115538,4,2685,0.014048694,5,5.7,-0.231090315
0.001833544,0.004962779,368,285606,0.004615366,111.4339313,275.4822693,151.1158679,30.89126939,43.32565359,23.2,1857.5,298.0,1.970767798,-8744.100411,10.66341991,9.19e-05,0.314621475,3.128417951,4,1379,0.002133545,4,6.5,0.245414673
0.000645444,0.00248139,156,164542,1.59e-05,104.9983773,270.1061933,119.8319297,20.43180312,5.714285714,18.0,1694.0,276.0,1.717319336,-9340.297736,4.746753247,9.18e-05,0.292354269,1.554939118,4,1211,0.001380015,4,4.0,-0.408333333
0.000212666,0.00248139,208,398412,0.013151038,158.9692724,314.6816771,175.5118519,23.64244146,18.21631001,23.2,2875.0,452.0,2.369614131,-8497.992643,4.527629234,0.000106417,0.33282935,1.822755921,4,2137,0.008561792,4,4.0,-0.521428571
4.24e-05,0.003101737,230,348920,0.0003739,128.6063355,275.6665765,187.9562816,40.66397894,20.44154277,21.4,3437.5,389.0,3.062720791,-7976.571943,6.520912421,8.99e-05,0.349256566,1.988845789,4,2128,0.01029581,5,4.7,-0.254585327
0.000673583,0.006823821,638,562092,0.004662509,137.9014002,293.2177604,235.1189635,45.66213309,113.1758922,29.8,2498.75,281.25,2.623338469,-7745.98379,16.83275613,9.67e-05,0.272419476,4.594612306,3,1807,0.005662327,5,8.0,0.390494593
0.000213976,0.00248139,132,135063,4.8e-05,100.3702319,265.0458998,109.3354041,14.10405568,9.969093407,15.6,1295.75,196.5,1.294489628,-9439.175348,4.690909091,8.87e-05,0.204102325,1.530736087,3,1025,0.000965342,4,4.0,-0.311111111
0.00061702,0.001240695,36,41958,0.0,65.63313642,231.1512452,59.64714462,6.427584516,2.0,8.4,752.75,83.5,0.749428541,-12044.1395,2.431168831,7.85e-05,0.125441582,0.668916726,2,544,0.000124994,2,2.0,-0.623931624
0.001282982,0.004342432,301,222869,0.000632396,99.58232938,255.4826437,145.4182961,29.00030405,38.36752137,21.4,1599.75,204.75,1.789960947,-8635.195741,9.93989899,8.49e-05,0.226878292,2.55832042,3,1251,0.001200476,4,5.8,0.132798574
0.000201185,0.004962779,392,290870,0.002953279,105.7646446,257.1497928,170.6562181,35.87585854,55.41295249,24.4,1819.75,225.0,1.974626491,-8513.198932,10.25180375,8.5e-05,0.242818244,2.935306515,3,1392,0.001455036,4,6.5,0.189859117
0.001136922,0.003722084,288,463887,0.007522222,160.6007074,312.6394585,216.6488542,24.6434036,43.66224747,22.8,3106.5,339.75,2.418960267,-8118.950921,8.079814956,0.000102543,0.250904661,2.711542661,3,2052,0.010152539,4,5.1,-0.024344283
0.000262212,0.003101737,255,588588,0.011670285,186.9249369,335.2800904,201.0160895,31.52389589,32.45904762,23.4,3452.25,407.25,2.478947368,-8782.111641,7.418181818,0.000112435,0.336369173,2.439625035,3,2521,0.018917307,3,4.4,-0.183278867
0.000268498,0.004962779,720,1512378,0.005174591,227.4933519,344.825302,379.0926665,178.0377056,46.03205038,40.8,8094.25,905.0,7.394267493,-6564.070416,11.56769897,0.00011274,0.842628354,3.95884145,5,5142,0.081129201,6,7.1,-0.105226353
0.001290015,0.006823821,1298,2985952,0.009891776,277.3672985,362.0801902,569.072413,254.3885849,163.4876196,53.8,10969.5,1213.75,8.705058937,-5725.687899,13.92203058,0.000114943,0.907151302,5.671287348,5,6980,0.151154287,7,8.9,0.08136413
0.001444901,0.00248139,120,117120,7.75e-05,90.00584176,254.1221627,97.47506778,13.0311065,8.208791209,14.4,1144.25,179.25,1.193561678,-10034.13198,5.666666667,8.55e-05,0.199799362,1.465425405,3,944,0.000901809,3,3.7,-0.186111111
0.002320343,0.003101737,160,138697,0.001119649,91.69170435,255.0999005,102.5950678,15.26524979,13.19047619,15.8,1175.0,183.0,1.244910609,-9961.37748,7.433333333,8.55e-05,0.205872237,1.833987358,3,978,0.001061436,3,4.1,0.000583567
0.000135284,0.005583127,675,1152840,0.00510106,194.0479078,322.19606,338.0703174,89.9088818,102.9506716,35.4,6026.75,620.0,5.359532084,-6602.272913,11.1763018,0.000103189,0.614288273,4.147945323,4,3787,0.042053835,5,7.2,0.133166644
0.000682879,0.001240695,22,23016,0.001265887,72.93192524,259.0283407,46.40280645,3.8261039,3.388888889,5.6,637.0,60.0,0.688402422,-13220.75444,2.166666667,8.86e-05,0.049324639,0.751542026,2,438,0.000582237,2,2.0,-0.318181818
0.000715754,0.008684864,1582,2808494,0.004284172,233.2147141,330.8040557,550.2503476,272.019268,178.4205543,53.6,10127.5,1007.5,8.95403246,-5730.324067,19.70827096,0.000102208,0.803987675,6.499264867,5,6180,0.12173105,6,10.4,0.324251184
0.000460684,0.008684864,1554,2758752,0.011829304,247.1994432,355.5021616,525.450884,283.8734522,152.009056,52.8,10159.25,977.5,9.431865573,-5899.640533,20.08476523,0.000113135,0.897284225,6.996930996,5,6152,0.141765596,7,10.4,0.335454192
0.000473555,0.003101737,205,281960,0.000130081,121.089249,276.8500399,180.3754627,40.98235032,12.42835596,19.4,3245.5,327.0,3.056827057,-8124.708563,6.542124542,9.09e-05,0.34090502,1.996192637,4,2004,0.010808007,4,4.7,-0.168546366
0.000495284,0.001861042,66,78680,0.000460632,91.21420153,264.9076744,84.19756223,8.679083957,7.711111111,10.6,1182.5,159.0,1.359105729,-9853.781008,3.845238095,8.9e-05,0.160341801,1.15026858,3,871,0.001586076,3,3.0,-0.401515152
0.002260406,0.004962779,528,1045092,0.0048073,194.2802903,326.1408354,302.5078372,66.06619956,60.35833333,31.2,4991.75,621.0,4.212478951,-7624.614437,11.10838638,0.000104537,0.586965712,3.746434797,4,3491,0.045257902,5,6.5,0.16917331
0.001004518,0.003101737,305,781432,0.000134014,183.8039232,317.0191622,284.3787548,67.25520289,26.56825397,27.4,5294.0,596.0,4.527247322,-7577.044251,6.663449438,0.000103284,0.584930672,2.297113243,4,3611,0.030308586,4,4.7,-0.284554151
0.002031849,0.011166253,3060,8210598,0.032254434,370.453828,401.3022865,858.3151346,337.8410278,643.1824164,78.8,15256.0,1793.75,11.56659382,-4989.363786,25.05130701,0.000121065,0.938088926,10.0663001,5,10193,0.385249041,8,13.5,0.382443666
0.000219217,0.006203474,1100,2338545,0.003937935,242.1716303,332.3723112,453.0858355,223.0574034,87.23177448,50.0,8865.0,1070.0,7.314402924,-6169.360653,13.43156433,0.000103842,0.788047723,4.737476244,5,6032,0.109423021,6,8.5,0.046323529
0.000357551,0.001861042,72,110340,1.33e-05,97.36010928,266.3120362,89.11427585,13.13064825,4.828571429,11.4,1489.75,180.0,1.592268281,-10322.16187,4.042124542,8.92e-05,0.217487729,1.160170928,3,1043,0.003272151,3,3.0,-0.374416433
0.002239752,0.00248139,100,129395,0.000280443,98.17234984,267.3109061,94.68554958,15.14272,7.5625,12.4,1534.75,181.5,1.644878363,-9931.726569,6.208791209,8.92e-05,0.221536312,1.548233883,3,1087,0.003995991,3,3.4,-0.06984127
0.000231821,0.006203474,1180,2874222,0.017399939,277.4096516,360.0919622,538.0817865,184.7172193,134.4017474,53.2,10167.25,1255.0,7.558027301,-5942.329917,12.56738537,0.00011422,0.807781878,5.134937209,5,6786,0.138241475,7,8.5,0.010783696
0.00022469,0.00248139,264,798456,5.9e-05,184.0220556,311.0988456,253.0473517,83.60074203,8.75,28.8,4951.0,603.0,4.016018774,-8131.138096,4.845239543,0.000101968,0.598337573,1.812942773,4,3750,0.033948294,4,4.0,-0.540537241
0.000511593,0.003101737,400,1147125,0.000170202,207.1137807,320.5524877,329.945784,125.0479571,9.719638009,35.0,6660.0,870.0,5.116176418,-7432.835574,6.000795099,0.000103306,0.715427609,2.322266275,5,4623,0.052367163,5,5.0,-0.485030584
0.001794892,0.014888337,5016,12233815,0.021688975,386.087031,399.0244915,1184.715881,914.0901185,704.4338513,98.0,20840.25,1792.5,17.15029917,-4658.842914,31.46372255,0.000117855,1.027412131,13.1117269,5,12952,0.650149365,10,16.8,0.51203745
