Global Relative Change in Avg Clustering,Degree Centrality,Local Gravity Model Centrality,LGC Scores,Betweenness Centrality,I-GSM Values,H-GSM_1,Centrality Values,Subgraph centrality,DIL Centrality,Extended Degree,Extended Improved Gravity Index Values,Improved Gravity Index Values,EHCC Value,Second order centrality,DNC Scores,Closeness Centrality,HCC Value,Local-Global Centrality,K-Shell Value,Semi local centrality,H Values,Node H-Index,MDD Value,Leverage Centrality,Average Spreading Ability
0.05876346345373976,0.11111112603703649,0.007764163532694407,0.0009352304421083925,0.007642014768538092,0.0613417894002349,0.15247374444216344,0.021188809950154975,0.0007412721532296542,0.004097364273009621,0.05899705014749263,0.012644689588072857,0.029310761789600966,0.022432753373776516,0.6308563418333745,0.1215975695243208,0.15974624481399324,0.09863838537393665,0.05523936232952126,0.5,0.01236658078763342,1.694986658861189e-06,0.23076923076923078,0.12449799196787148,0.6248536857105959,0.02321135991261606
0.19651769737254815,0.08333336691666546,0.005944437704719155,0.0007951637952244424,0.0,0.06010411543234393,0.14880105434139135,0.019640763785130553,0.0006729395327339829,0.0014820433427754956,0.05408062930186824,0.01251591764318725,0.028730350665054413,0.0219343633988164,0.6306657308065512,0.09623118912644318,0.15974624481399324,0.09660612458068783,0.04208573003477647,0.5,0.012121212121212123,1.584531454786791e-06,0.23076923076923078,0.12048192771084337,0.47972408628053903,0.029765155652648825
0.022168213734301598,0.13888888515740755,0.014436491568603663,0.0023826142794428455,0.01604361501758433,0.10285461071926544,0.24003045242004384,0.03302141848610721,0.0011749277239642157,0.01367018351649193,0.0894788593903638,0.02003834542358816,0.04749697702539299,0.03295248925905065,0.69786699588096,0.1500386627031893,0.2620298116373415,0.11476878099441001,0.0789441524555009,0.5,0.022966507177033496,8.413366481137188e-06,0.23076923076923078,0.15261044176706826,0.5961324882803302,0.04287274713271436
0.15350178302840614,0.250000011194444,0.033846900400339684,0.005767558245804973,0.00932939733281759,0.12320852381213612,0.22703322539913706,0.06651823621769418,0.0023895569404117005,0.03550601760307749,0.1327433628318584,0.035780715685853684,0.06258766626360338,0.05343303700389334,0.7642533744910773,0.25317749730906597,0.20571638720650942,0.13775670768923562,0.13377942361948264,0.5,0.03668261562998405,2.357292802613022e-05,0.3076923076923077,0.25301204819277107,0.7902175594378956,0.06198798470780995
0.23947633493197804,0.027777803898147213,0.0006065752759917505,5.2129746552293816e-05,0.003823381791895945,0.01661460334987587,0.06285355899655543,0.0035290945513939734,5.2849660881966674e-05,0.0008892260056652972,0.010816125860373648,0.002189123063055329,0.001837968561064087,0.004293141145681518,0.3310791618738107,0.02899014902614586,0.07240297426821285,0.008634410918535066,0.012653046419907723,0.0,0.0018157281315176054,4.075676988214907e-08,0.0,0.02811244979919679,0.5662742672224748,0.009284543965046424
0.19651769737254815,0.08333336691666546,0.005944437704719155,0.0007951637952244424,0.0,0.06010411543234393,0.14880105434139135,0.019640763785130553,0.0006729395327339829,0.0014820433427754956,0.05408062930186824,0.01251591764318725,0.028730350665054413,0.0219343633988164,0.6306657308065512,0.09623118912644318,0.15974624481399324,0.09660612458068783,0.04208573003477647,0.5,0.012121212121212123,1.584531454786791e-06,0.23076923076923078,0.12048192771084337,0.47972408628053903,0.019388312397596946
0.012842168469696491,0.11111112603703649,0.007157588256702657,0.0008862056913889949,0.0038261491092858937,0.05895675180327856,0.1501835507735224,0.02344475041774666,0.0005760235534723861,0.0058852260818363965,0.05506391347099311,0.012072369833025712,0.021136638452237,0.019544301885469236,0.6575168116616613,0.09743911200857219,0.15974624481399324,0.07617201189423797,0.05519205274979863,0.33333333333333337,0.01248926512084407,1.8164265400714657e-06,0.15384615384615385,0.12449799196787148,0.6723812422037895,0.03358820316766794
0.10277574208578553,0.30555557421296226,0.055198350115249296,0.013771140784299729,0.03614795705875332,0.2005185752490903,0.3887001501993266,0.11350682598909788,0.0035327514279909216,0.09339269083898033,0.17797443461160276,0.06328783391280708,0.09837968561064087,0.08123649482510134,0.8489513802078352,0.2733553000135886,0.4010894923747025,0.1938722839170463,0.201119341840712,0.5,0.06475279106858055,0.00015546479530770542,0.38461538461538464,0.29718875502008035,0.8055440009913077,0.0726379027853632
0.1308608784664256,0.30555557421296226,0.067572485745481,0.016570166339754284,0.014723965175067185,0.21341783455844784,0.3484966070982718,0.11800581727365636,0.004406160588766904,0.08651417100672809,0.21140609636184854,0.05967506545907198,0.11114873035066504,0.07867267416937979,0.853712117536073,0.2478843374719107,0.3263880109868641,0.2084811816463397,0.19126106734169365,0.5,0.07515642252484359,0.00010042636651267883,0.4615384615384616,0.3092369477911646,0.7488496469791303,0.08492626979792464
0.08716918198470983,0.16666668905555476,0.030025476161591652,0.008216417184049654,0.002907800349698934,0.17613193826086979,0.30852324693921596,0.0823357428559518,0.0026986605869114837,0.014653807699818553,0.15339233038348082,0.04767065859695812,0.09238210399032647,0.05821701027125019,0.8125428523660525,0.13402191911213157,0.3114477147092962,0.18193410060858783,0.10359661063899114,0.5,0.05825052140841615,5.372979691057779e-05,0.38461538461538464,0.22891566265060243,0.4902182633039918,0.0748225013653741
0.052345316489902406,0.13888888515740755,0.017711998058959115,0.004598783690522273,0.008059063058442261,0.14242058446339614,0.29615298100485743,0.06079730091277912,0.0013867768755323588,0.017666964455117572,0.10717797443461159,0.03500808401654004,0.07090689238210399,0.04279879263333676,0.7879799277903209,0.11073410730483085,0.3079999540298576,0.15945154115733357,0.08597144533040306,0.5,0.04136915715863084,4.655727962054496e-05,0.3076923076923077,0.17670682730923695,0.5444346821283284,0.03659202621518296
0.23947633493197804,0.05555556301851825,0.003154191435157103,0.0004812173816983057,1.1402087241437256e-05,0.05178229350268609,0.1446743026318461,0.0145027320076216,0.0002689170367804762,0.0027844450680652288,0.03736479842674533,0.007919474610464867,0.018814993954050785,0.013690394453816342,0.6179943736084402,0.0521420041552193,0.15974624481399324,0.06004701193226209,0.028944832842729605,0.33333333333333337,0.009495767390504234,8.856560382076764e-07,0.15384615384615385,0.08032128514056225,0.4306186922092038,0.03031130529765156
