feature,score,rank
Eccentricity Centrality,0.17038470731686442,1
Betweenness Centrality,0.10464013795561458,2
Eigenvector Centrality,0.07832115897854025,3
Leverage Centrality,0.0730407141461868,4
P Value,0.0679720659011948,5
Global Relative Change in Avg Clustering,0.06624332998246546,6
Closeness Centrality,0.053837717248083235,7
Volume Centrality,0.049816886634104024,8
HCC Value,0.04442905893202736,9
GIN Values,0.04044158166797539,10
Clustered Local Degree,0.039493217563702436,11
H-GSM_1,0.03860968750289944,12
Second order centrality,0.03803971180094497,13
GSM,0.03778264550869621,14
I-GSM Values,0.034632607243348275,15
Extended Coreness,0.033914333459872784,16
CLC Values,0.03242080527342609,17
Centrality Values,0.031241301207326752,18
Societal Capital Scores,0.031086212572580325,19
PE Values,0.030470089349199276,20
Semi local centrality,0.030252512497873755,21
EHCC Value,0.02977375182601343,22
Extended Improved Gravity Index Values,0.02910486420946699,23
Improved Gravity Index Values,0.02732921070479196,24
Extended Degree,0.02637129862696267,25
EIGSM Values,0.01906196150331548,26
PageRank Centrality,0.015634378584378154,27
Laplacian Centrality,0.015026019292750823,28
H Values,0.012082505281401838,29
Gravity Index Centrality,0.01013940927333974,30
GGC Values,0.009803973432629806,31
Gravity Model Centrality,0.009372003237737275,32
Local-Global Centrality,0.008384411890153808,33
Coreness Centrality,0.007855288581728749,34
MCGM Values,0.00754833876049236,35
Local Gravity Model Centrality,0.007267642558640344,36
LGC Scores,0.006614892119591259,37
MDD Value,0.006083875658203998,38
HVGc Index,0.005951197996022011,39
Subgraph centrality,0.0031349290426424302,40
Density Centrality,0.0024711311560345526,41
DNC Scores,0.0016460094394088957,42
Node H-Index,0.0013159609678028233,43
Isolating Centrality,0.0010290488847404012,44
K-Shell Value,0.0006278012112410282,45
DIL Centrality,0.000457047914275423,46
Global Relative Change in Avg Degree,9.075793026026365e-05,47
Degree Centrality,6.615612648939072e-05,48
Constraint Coefficients,1.9861408386524442e-05,49
Clustering Coefficient,1.4829523386671288e-05,50
