Starting Node,Average Spreading Ability,Rank
18,26.89,1.0
39,21.38,2.0
29,20.85,3.0
23,19.66,4.0
28,19.41,5.0
17,18.63,6.0
76,18.47,7.0
37,17.49,8.0
32,17.16,9.0
126,16.65,10.0
16,16.56,11.0
167,15.48,12.0
15,15.21,13.0
27,15.12,14.0
47,14.86,15.0
103,14.5,16.0
26,14.29,17.0
89,14.26,18.0
130,14.07,19.0
63,13.93,20.0
19,13.9,21.0
20,13.11,22.0
5,13.1,23.0
168,12.9,24.0
147,12.65,25.0
33,12.63,26.0
43,12.32,27.0
85,12.07,28.0
162,11.58,29.0
157,11.37,30.0
88,11.16,31.0
30,10.99,32.0
34,10.87,33.0
109,10.65,34.0
215,10.52,35.0
46,10.44,36.0
143,10.37,37.0
22,10.08,38.0
322,10.05,39.0
150,9.68,40.0
82,9.67,41.0
145,9.59,42.0
44,9.45,43.0
90,9.44,44.0
35,9.39,45.0
142,9.38,46.0
125,9.3,47.0
132,9.09,48.0
24,8.93,49.0
107,8.67,50.0
116,8.67,50.0
3,8.67,50.0
45,8.57,51.0
41,8.51,52.0
170,8.5,53.0
201,7.9,54.0
105,7.87,55.0
321,7.79,56.0
118,7.68,57.0
114,7.33,58.0
216,7.33,58.0
14,7.27,59.0
38,7.23,60.0
152,7.19,61.0
166,7.09,62.0
146,7.04,63.0
194,7.02,64.0
70,6.85,65.0
347,6.83,66.0
64,6.65,67.0
218,6.64,68.0
165,6.57,69.0
123,6.51,70.0
304,6.46,71.0
121,6.3,72.0
175,6.3,72.0
232,6.3,72.0
209,6.27,73.0
94,6.18,74.0
196,6.07,75.0
155,6.05,76.0
137,6.03,77.0
78,5.98,78.0
134,5.97,79.0
79,5.92,80.0
92,5.83,81.0
213,5.75,82.0
154,5.72,83.0
110,5.66,84.0
40,5.47,85.0
140,5.39,86.0
97,5.36,87.0
68,5.35,88.0
206,5.34,89.0
74,5.32,90.0
106,5.16,91.0
59,5.12,92.0
349,5.11,93.0
156,5.0,94.0
56,4.98,95.0
72,4.93,96.0
323,4.89,97.0
102,4.83,98.0
127,4.8,99.0
101,4.64,100.0
139,4.54,101.0
