Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.5714285714285714,0.25,0.42857142857142855,0.25,0.42857142857142855
10,0.5,0.3333333333333333,0.5384615384615384,0.4,0.5384615384615384
15,0.5714285714285714,0.42857142857142855,0.5,0.6,0.5789473684210527
20,0.5862068965517241,0.42857142857142855,0.5384615384615384,0.5714285714285714,0.6666666666666666
25,0.7272727272727273,0.42857142857142855,0.5625,0.5833333333333334,0.7857142857142857
30,0.725,0.4634146341463415,0.6216216216216216,0.6585365853658537,0.8181818181818182
35,0.7142857142857143,0.4583333333333333,0.7073170731707317,0.6875,0.8421052631578947
40,0.6349206349206349,0.42857142857142855,0.7391304347826086,0.7037037037037037,0.8604651162790697
45,0.5609756097560976,0.46774193548387094,0.7169811320754716,0.6885245901639344,0.8571428571428571
50,0.45535714285714285,0.44285714285714284,0.8035714285714286,0.7058823529411765,0.9423076923076923
55,0.2857142857142857,0.4605263157894737,0.734375,0.72,0.9137931034482759
60,0.18373493975903615,0.5125,0.7536231884057971,0.7108433734939759,0.8615384615384616
65,0.19879518072289157,0.48863636363636365,0.7012987012987013,0.7386363636363636,0.8714285714285714
70,0.21385542168674698,0.46875,0.6785714285714286,0.7340425531914894,0.8311688311688312
75,0.2319277108433735,0.5,0.7272727272727273,0.7115384615384616,0.8765432098765432
80,0.2469879518072289,0.5233644859813084,0.7608695652173914,0.7363636363636363,0.9058823529411765
