Lambda,Kendall_Tau,P_Value
0.0021,0.7118349178540211,7.206008705955688e-121
0.0026,0.7149132831772351,2.906795115440895e-122
0.003,0.6930751276097931,2.8397569178826554e-115
0.0035,0.6818475015586765,9.455189819627862e-112
0.0039,0.6730627151713767,4.927636174404476e-109
0.0044,0.6628540644816007,7.127041498584286e-106
0.0049,0.6899370591187112,1.4439783346481454e-114
0.0053,0.7164474329484617,1.9909948970828428e-123
0.0058,0.7511905350718205,1.6863008684795918e-135
0.0063,0.7780655695414251,3.10809804642406e-145
