feature,rank
Subgraph centrality,1
GGC Values,2
DIL Centrality,3
H-GSM_1,4
Extended Improved Gravity Index Values,5
Gravity Index Centrality,6
MCGM Values,7
Global Relative Change in Avg Degree,8
Constraint Coefficients,9
GSM,10
I-GSM Values,11
Betweenness Centrality,12
Local Gravity Model Centrality,13
Volume Centrality,14
Second order centrality,15
Semi local centrality,16
Eigenvector Centrality,17
Node H-Index,18
HVGc Index,19
Local-Global Centrality,20
Improved Gravity Index Values,21
MDD Value,22
Closeness Centrality,23
Eccentricity Centrality,24
Isolating Centrality,25
Clustered Local Degree,26
H Values,27
Leverage Centrality,28
K-Shell Value,29
P Value,30
Extended Coreness,31
PageRank Centrality,32
Coreness Centrality,33
EHCC Value,34
Gravity Model Centrality,35
Laplacian Centrality,36
Density Centrality,37
HCC Value,38
Extended Degree,39
Centrality Values,40
PE Values,41
GIN Values,42
LGC Scores,43
DNC Scores,44
EIGSM Values,45
Societal Capital Scores,46
Degree Centrality,47
