Lambda,Kendall_Tau,P_Value
0.1206,0.712323552281462,2.4286587839595825e-24
0.1474,0.7382506934062448,4.058906980655046e-26
0.1742,0.7361788440064877,5.499401330544771e-26
0.201,0.7471345830747429,8.05735131274671e-27
0.2278,0.7418388860889799,1.8274030355262263e-26
0.2546,0.7029924564623858,6.0312471486727225e-24
0.2814,0.7273586007206241,1.4845749980415205e-25
0.3082,0.7207462498049821,4.023298108385399e-25
0.3351,0.7028157588432628,5.681356348199742e-24
0.3619,0.7043584713901122,4.5312510327533734e-24
