HVGc Index,Local Gravity Model Centrality,Extended Improved Gravity Index Values,GIN Values,Laplacian Centrality,MCGM Values,EIGSM Values,Global Relative Change in Avg Degree,Clustered Local Degree,Extended Coreness,DIL Centrality,Constraint Coefficients,Leverage Centrality,Extended Degree,K-Shell Value,H Values,Centrality Values,Semi local centrality,Volume Centrality,Closeness Centrality,Density Centrality,Gravity Model Centrality,I-GSM Values,Coreness Centrality,DNC Scores
6042.925221,250,782.0,128.5225504,130,9.951405102,384.8889685,0.03265857,70.0,94,24.95341991,-0.286783889,-0.287387612,23.0,3,3.556931383,112.7369672,1089,142,0.003717472,21.875,404.8194444,85.29250399,13,5.5970758
3230.167521,160,672.0,109.5426491,94,6.790418997,322.904604,0.03265857,41.6,67,10.61818182,-0.269667993,0.111421911,15.8,3,2.498533499,90.49488923,810,102,0.003257329,15.51136364,303.0597222,63.8524728,11,5.58697479
7251.189368,368,938.25,122.9650781,164,11.97634616,499.6714113,0.058569501,52.57142857,92,70.7705863,-0.185943447,0.281407743,23.2,3,5.683655366,142.8145302,1128,116,0.003472222,35.63636364,585.3244444,79.52393862,18,9.771895425
3793.819291,385,687.75,114.2258901,202,7.295665629,488.9045502,0.084480432,36.90909091,63,112.1465006,-0.131270087,0.577515905,20.6,2,2.93191514,142.5311345,690,101,0.003246753,53.375,674.1608787,68.72801031,20,14.3047619
16939.07395,1020,1490.0,146.3911585,426,28.34337126,997.7794636,0.136302294,62.64705882,131,296.7558182,-0.080551364,0.682081427,34.2,3,15.80680313,301.6958658,1524,136,0.004032258,125.7613636,1472.983889,103.4321113,30,19.36746032
4605.520922,315,686.75,116.0155203,160,8.546262548,449.3695581,0.067206478,36.94444444,68,60.63232323,-0.130781798,0.522111222,19.4,2,3.474623873,123.5588477,844,101,0.003496503,40.09090909,568.315,69.3524355,15,9.77745098
55.18191618,5,148.5,73.0690906,12,0.4101233,63.8524728,0.001889339,5.0,11,1.0,-1.0,-0.666666667,2.6,1,0.128755314,17.45817036,124,36,0.002493766,0.636363636,27.0448356,27.32802502,3,1.3
55.18191618,5,148.5,73.0690906,12,0.4101233,63.8524728,0.001889339,5.0,11,1.0,-1.0,-0.666666667,2.6,1,0.128755314,17.45817036,124,36,0.002493766,0.636363636,27.0448356,27.32802502,3,1.3
1257.570437,95,351.0,94.09435898,68,2.964997744,229.7165948,0.03265857,19.0,38,25.36363636,-0.2,0.307692308,10.6,2,0.89509695,62.65997708,391,76,0.002906977,12.72727273,226.0985261,47.63731017,8,5.178571429
1115.035936,50,427.5,99.94395977,56,3.342296717,182.9560499,0.006747638,50.0,48,2.0,-0.596683067,-0.694736842,11.2,2,0.95532479,53.46310542,607,92,0.00304878,4.295454545,106.4783333,54.35995026,6,2.18697479
300.2326766,22,206.5,83.35429809,28,1.169090821,101.5370806,0.006747638,11.0,23,3.541666667,-0.5,-0.4,5.6,2,0.310392563,26.66959893,216,58,0.002702703,2.704545455,72.16885488,36.84407183,5,2.142857143
120.6644567,8,190.5,79.39175268,18,0.676321628,79.52393862,0.001889339,8.0,18,1.0,-1.0,-0.777777778,3.8,1,0.17898995,23.12674179,195,53,0.002617801,0.875,32.6960941,33.03845847,3,1.142857143
6762.194463,351,779.5,120.8662797,168,9.646293588,515.1655753,0.067206478,40.08333333,75,123.2545455,-0.119822531,0.41631114,21.0,2,4.009717669,150.626836,865,121,0.003508772,42.23863636,616.3525,75.21453244,16,9.35
1518.041618,87,374.0,102.4349246,70,3.725604635,203.9970601,0.015384615,38.66666667,50,7.044444444,-0.372852796,-0.4,13.4,2,1.08616709,56.39776929,635,88,0.003115265,8.113636364,167.2741667,57.52800623,7,3.099673203
250.15802,17,237.0,91.59920603,36,1.457859754,103.4321113,0.001889339,17.0,30,1.0,-1.0,-0.888888889,7.4,1,0.298672445,30.33636364,412,76,0.002923977,1.590909091,44.62305556,45.09030843,3,1.044117647
458.5371787,36,243.25,92.72852661,42,1.822133198,123.919098,0.006747638,18.0,31,2.941176471,-0.5,-0.228070175,8.4,1,0.412974103,31.74959893,430,76,0.002941176,3.818181818,90.52388889,46.21479266,4,2.044117647
1584.967259,84,384.5,104.6703687,68,3.82634283,207.9705355,0.015384615,28.0,50,11.08888889,-0.333333333,-0.333333333,13.0,2,1.068626917,57.88253119,652,99,0.003184713,7.875,171.0658333,58.83201526,7,3.071895425
250.15802,17,237.0,91.59920603,36,1.457859754,103.4321113,0.001889339,17.0,30,1.0,-1.0,-0.888888889,7.4,1,0.298672445,30.33636364,412,76,0.002923977,1.590909091,44.62305556,45.09030843,3,1.044117647
250.15802,17,237.0,91.59920603,36,1.457859754,103.4321113,0.001889339,17.0,30,1.0,-1.0,-0.888888889,7.4,1,0.298672445,30.33636364,412,76,0.002923977,1.590909091,44.62305556,45.09030843,3,1.044117647
250.15802,17,237.0,91.59920603,36,1.457859754,103.4321113,0.001889339,17.0,30,1.0,-1.0,-0.888888889,7.4,1,0.298672445,30.33636364,412,76,0.002923977,1.590909091,44.62305556,45.09030843,3,1.044117647
