Lambda,Kendall_Tau,P_Value
0.0021,0.7082192592077297,1.1545604371747595e-119
0.0026,0.709252483144491,2.294761009229173e-120
0.003,0.6872513225388264,2.2361171067145168e-113
0.0035,0.6766360360712375,4.441903229232844e-110
0.0039,0.6657902011618357,9.866888780737654e-107
0.0044,0.6570885723572725,4.497303424506329e-104
0.0049,0.6861333312895035,2.498750409517086e-113
0.0053,0.7119513606346795,6.585115161424621e-122
0.0058,0.742908576603069,1.426899278366934e-132
0.0063,0.7701219858746324,2.5229651200282087e-142
