Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.006085193,0.057374932,0.022222222,0,93.57075032,60.16846808,0.600823249,0.002499633,5,16,0.003101441,0.002028398,0,10,8.523809524,31.31381229,15,93.37267107,30,32,0.000198177,84,0.052631579,4.534090909,2.4,2.163344408,0.599944629,25,5.8,0.000501622,84,18.2,-0.333333333,157.6368883,0.044205518,0.002508109,27,146.7622992,4832,3,86.39216931,13,28.5,64.75,2,1.350546101,42.75,3.335099937,-2631.230613,2
2,0.012170385,0.040744641,0.447691198,12,93.73984534,61.17470636,1.194298489,0.005079667,9,25,0.008231279,0.002028398,0,15,35.56349206,34.0551015,24.5,201.8638712,90,72,0.000189394,139,0.05,15.75,4.2,4.023255814,0.797895903,26,9.6,0.000243436,139,35.7,-0.166666667,456.2536497,0.088280327,0.002190925,30,144.0869776,14508,6,159.5309262,21,37.5,117,3,3.067240136,112.5,6.445604131,-2468.050674,2
3,0.004056795,0.035917479,-0.1,0,82.72639016,53.02537942,0.355108235,0.001823269,3,7,0.001391495,0.002028398,0,5,3.166666667,22.4095583,4.25,44.6380295,10,16,0.000181159,37,0.05,1.75,2,1.199335548,0.305647841,12,3.2,0.000135954,37,10.5,-0.5,45.48979948,0.026433651,0.000407863,16,129.1805954,1224,2,50.19402614,7,7.75,35.25,2,0.44572561,15.5,2.342608139,-3337.391577,1
4,0.004056795,0.052691959,-0.2,0,98.06603227,62.12393302,0.417203016,0.001653467,4,11,0.001391495,0.002028398,0,6,3.333333333,29.92750951,11.5,59.61318089,12,18,0.00021245,57,0.055555556,1.909090909,2,1.850775194,0.459856035,23,3.6,0.001608134,57,12.6,-0.5,69.14449521,0.031031645,0.006432536,21,153.4476692,1899,2,68.82969214,8,19.5,55.5,2,0.785520944,19.5,2.40433344,-2536.964027,2
5,0.006085193,0.008105345,0.222222222,6,81.30995559,52.16789469,0.519989555,0.002968506,4,11,0.003101441,0.002028398,0,8,5.857142857,23.90373075,6,71.27701886,24,28,0.00017337,67,0.047619048,4.056818182,2.4,1.680232558,0.529623477,23,5,7.04E-05,67,14.7,-0.333333333,97.44825824,0.03593061,0.000281646,20,125.9898479,3430,3,65.96477317,11,11,47,1,0.8403905,33,3.22468911,-3229.639318,1
6,0.002028398,0,-0.714285714,0,79.97392047,50.62040985,0.170678128,0.001022669,2,9,0.000318451,0.002028398,0,6,1,22.52678316,4,22.48122851,6,14,0.00017325,51,0.047619048,0.715909091,1,1.234496124,0.436600221,23,3,6.14E-05,51,10.5,-1,24.28004312,0.023663392,0.000122881,20,125.1467899,1540,1,34.0551015,7,9.5,37.5,1,0.333820874,9.5,1.822141327,-3235.141129,1
7,0.010141988,0.026641555,0.384199134,10,91.11431292,58.78298932,0.961921982,0.00429501,8,22,0.006521333,0.002028398,0,13,22.42222222,31.77306887,22,157.2655055,65,56,0.000183385,118,0.047619048,11.13636364,3.8,3.090531561,0.716223699,25,8.2,0.000140021,118,29.4,-0.2,342.2294548,0.072169503,0.001120172,30,139.7082283,10584,5,129.0540216,18,34.5,101.5,2,2.444242622,86.25,5.265399247,-2528.569469,2
8,0.002028398,0,-0.714285714,0,79.97392047,50.62040985,0.170678128,0.001022669,2,9,0.000318451,0.002028398,0,6,1,22.52678316,4,22.48122851,6,14,0.00017325,51,0.047619048,0.715909091,1,1.234496124,0.436600221,23,3,6.14E-05,51,10.5,-1,24.28004312,0.023663392,0.000122881,20,125.1467899,1540,1,34.0551015,7,9.5,37.5,1,0.333820874,9.5,1.822141327,-3235.141129,1
9,0.004056795,0.014827393,-0.25,0,89.05637168,56.61201779,0.379023694,0.001775201,4,13,0.001391495,0.002028398,0,8,3.333333333,27.48674793,12.5,54.75138103,16,22,0.000190476,66,0.047619048,2.227272727,2,1.69324474,0.506367663,23,4.4,0.000129599,66,14,-0.5,77.63592444,0.033144996,0.000518396,24,138.9129749,2871,2,59.80770261,10,24,53,2,0.902943124,24,2.52504628,-2697.713399,2
10,0.004056795,0.031992612,-0.1,0,74.373927,48.43572805,0.323361273,0.001907981,2,6,0.001391495,0.002028398,0,5,3.166666667,18.88021385,3,37.60786052,10,16,0.000166778,30,0.047619048,1.75,2,0.927740864,0.293743079,11,3.2,3.71E-05,30,7.7,-0.5,30.32653299,0.020542126,7.41E-05,12,117.0074781,904,2,39.66542506,7,6.75,15.25,2,0.361437101,13.5,2.33546308,-3920.557937,1
