Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.081967213,0.016092021,-0.089466089,0,86.05267625,47.48227782,4.626371812,0.015105624,19,117,0.015568615,0.025508671,0.4,43.4,20.97460317,53.30218405,138,363.8728741,155,92,0.005128205,732,0.142857143,14.71590909,4.7,5.76757651,0.797353184,16,15.4,0.075253464,490.6742737,86.70642857,-0.336944444,3851.038223,0.355860378,1.429815823,143,145.4993366,116288,6.483333333,306.1730044,36,236,1242,4,13.31313369,75.07405932,16.37118847,-152.6429871,4
2,0.098360656,0.019082596,-0.077034077,0,94.71787904,55.61423907,6.097314744,0.016962207,24,170,0.021961027,0.007873609,0.333333333,58.66666667,29.68560606,70.87905171,175,534.2683333,264,130,0.005681818,1135,0.166666667,21.47727273,5.1,8.287014061,1.127377998,23,21.2,0.128503519,813.2630375,121.4510606,-0.265225734,8808.604505,0.477247479,3.084084459,180,164.746014,227890,7.879004329,454.2900239,50,312,1854,5,21.9758235,135.8941032,30.42295113,-133.9539686,4
3,0.06557377,0.009072812,-0.042063492,0,74.1800944,36.66226935,3.247217861,0.013335734,13,65,0.009176204,0.026944334,0.166666667,21,15.81428571,34.33470641,66.75,214.6282993,72,56,0.00462963,397,0.142857143,8.272727273,3.7,3.042183623,0.441687345,8,9.6,0.039757133,336.0532448,61.76575758,-0.300069444,1373.381604,0.274908382,0.51684273,86,123.2785093,39116,4.9,191.585269,22,105,708.25,3,5.67526473,61.6472783,7.529611315,-175.5424581,3
4,0.147540984,0.065529282,0.218633121,9,95.56357439,69.05935528,9.271567205,0.026452436,33,213,0.041138262,0.032297428,0.25,71.25,88.35614712,85.65538645,198,856.0386735,513,204,0.005291005,1499,0.142857143,40.09090909,6.9,14.02977667,1.709677419,39,28.2,0.211761095,1167.422374,173.8606494,-0.182979718,16204.33142,0.672205506,6.988116123,173,172.3657739,409632,12.11544012,656.767263,66,344,2633,6,35.45131878,252.1260324,72.12680543,-118.8519071,4
5,0.098360656,0.029157952,0.050815851,0,88.94023064,51.83623758,5.682885169,0.017615864,23,128,0.021961027,0.030331935,0.333333333,44,30.90858586,55.89445649,145,446.6433333,198,108,0.005405405,788,0.166666667,18.13636364,5.1,6.462365591,0.803970223,15,16.8,0.080950683,564.6266727,104.1980952,-0.295285494,4727.170341,0.422989652,1.861865718,136,150.1496603,134514,7.838095238,356.0852867,39,235,1466,5,14.49960891,102.4315653,20.1733887,-139.2605873,4
6,0.098360656,0.023201476,0.012121212,0,91.66016974,52.91503042,5.808662681,0.017337285,24,141,0.021961027,0.040330161,0.4,50.4,21.22948718,59.40940329,154,467.4,216,114,0.005555556,869,0.166666667,18.61363636,5.1,6.580645161,0.887510339,17,18,0.080371958,582.50812,111.9597403,-0.309077503,5576.404922,0.450516881,1.928926983,138,154.0420213,146148,7.805555556,374.1099202,42,246,1590,5,14.90522954,97.22979465,21.42347996,-136.295611,4
7,0.196721311,0.061972005,0.297705654,0,108.762009,93.75437236,13.97764528,0.03213703,46,306,0.060315496,0.005078307,0.257575758,101.8636364,130.3830517,118.7533061,253,1419.703333,972,318,0.00617284,2235,0.166666667,65.86363636,8.4,18.99421009,1.871794872,34,39.6,0.315781076,1727.48306,261.0748918,-0.166878797,35212.0948,1.002496826,14.52592952,195,204.7457911,815829,16.01493506,969.4756742,93,438,3905.75,6,59.98165283,438.1333745,144.1630873,-97.85577675,4
8,0.114754098,0.033292221,0.083882784,0,93.38457557,58.65222494,7.016311788,0.019878694,26,178,0.028353438,0.019083692,0.238095238,55.71428571,45.06908092,71.27416854,170,610.5283333,315,146,0.005555556,1229,0.166666667,25.05681818,5.8,10.63110008,1.277088503,28,22.2,0.164174911,968.6088545,143.1614069,-0.208146057,11453.69503,0.554740619,4.268547696,164,164.1594753,256668,9.2495671,531.9815752,52,299,2132,5,25.2271848,177.0462076,44.36032837,-129.0340944,4
9,0.131147541,0.143149518,0.046410899,0,106.3442854,71.28269512,9.140099682,0.021963069,32,233,0.03474585,0.005212238,0.25,77.5,72.32188028,95.65650547,223,876.5977778,496,196,0.006622517,1673,0.2,37.54545455,6.5,12.57320099,1.521918941,30,29.6,0.207872631,1302.93371,181.2080303,-0.186723035,17633.0508,0.719727338,6.651924202,214,191.2708413,451094,9.97965368,678.034942,70,400,2773,6,37.28820135,287.6077452,64.66219575,-107.7135293,4
10,0.049180328,0.002373797,-0.394444444,0,80.30262611,37.97538461,2.645231008,0.009627335,12,88,0.002783792,0.0027732,0.333333333,30.66666667,7.813186813,44.04127896,83.25,199.8020578,69,58,0.005050505,632,0.142857143,6.681818182,3,4.698097601,0.5872622,12,11,0.079334476,452.8477883,63.21331169,-0.422345679,2125.810515,0.25149955,0.952013713,140,137.0672415,72123,3.824242424,248.3814199,26,156.75,1005,3,9.315968409,46.87745374,11.4973877,-190.2736973,3
