P Value,Node H-Index,Laplacian Centrality,Closeness Centrality,PageRank Centrality,GIN Values,Gravity Index Centrality,MCGM Values,Gravity Model Centrality,Global Relative Change in Avg Degree,Subgraph centrality,EIGSM Values,Eccentricity Centrality,Centrality Values,MDD Value,Societal Capital Scores,GGC Values,Extended Coreness,Betweenness Centrality,DNC Scores,Constraint Coefficients,Local-Global Centrality,Degree Centrality,Coreness Centrality,CLC Values,Average Spreading Ability
0.8493150684931506,0.5,0.15018315018315018,0.5662379800979812,0.17263573205007973,0.3787194359513231,0.29467449630454595,0.1605547019347627,0.1103528969194271,0.08139645913008743,0.08789869133138685,0.3051413476812297,0.39999999760000016,0.21321043426274053,0.2855072463768116,0.29180418041804174,0.04207768233373722,0.2993365878082363,0.0038157730402695145,0.1926618889657853,0.9431443680224338,0.14370970415741777,0.20202020276390162,0.24202626641651032,0.18505937378739837,0.42716981132075466
0.8287671232876712,0.5,0.1456930166607586,0.4914973756032267,0.19976054033471438,0.3535262972073329,0.27013697045083096,0.14648085419720913,0.11122162380869988,0.10465224136092215,0.07727831749661404,0.2766744435047768,0.39999999760000016,0.21748710961657336,0.2971014492753623,0.2695269526952695,0.04730497041976747,0.28024784078107395,0.005635930595717405,0.21252678755035737,0.9430442450177938,0.15047480892134465,0.2222222224433221,0.24530956848030017,0.18230552171681258,0.4264150943396226
1.0,0.7894736842105263,0.3124187640316673,0.5662379800979812,0.3733900159354311,0.4922534970327815,0.6223947410289417,0.35473716144806394,0.27227081375404627,0.3372100953919229,0.25949158857607263,0.4870646818875786,0.39999999760000016,0.3977023522032075,0.49565217391304356,0.4788228822882288,0.11403392966715639,0.5228188759544373,0.01461676298206295,0.4351266098384095,0.9598480783039626,0.32182459134833996,0.4242424252072237,0.5089118198874296,0.3265134966968815,0.5524528301886793
0.8424657534246575,0.5,0.1475835991965024,0.4958622148205861,0.19760548003968073,0.3560260319546739,0.2753438724887546,0.14967612710822728,0.11219954835414929,0.10465224136092215,0.08056009319847475,0.2799926338768145,0.39999999760000016,0.21692335816304903,0.2971014492753623,0.2739273927392739,0.04826764813911722,0.28737013393415944,0.005328534976469745,0.21416221630646634,0.9451852785984096,0.1511665484772986,0.2222222224433221,0.2528142589118199,0.1867639951524123,0.41283018867924526
1.0,0.9999999999999999,0.9684509039347748,0.8647462900011077,0.870416518447687,0.9797722134131894,1.0,0.9999999999999998,0.9731734510351756,0.9534884038156769,1.0,1.0,0.39999999760000016,0.941950780061104,0.963768115942029,1.0,0.82018707497796,1.0,0.38091078368114684,0.9677343011606963,0.9946461851546615,0.946077284976348,0.9595959606411592,1.0,0.9704144357200932,0.9999999999999999
0.6095890410958904,0.42105263157894735,0.11745244003308519,0.6134194429668639,0.14209714720378372,0.36021253469987385,0.265877435311474,0.12549276742784615,0.08476881993642202,0.034884862945764344,0.04777607449763419,0.24150074081940848,0.39999999760000016,0.18010932340961688,0.2318840579710145,0.23597359735973597,0.037644909579746255,0.22086619101264238,0.003918873771935171,0.14977528992509404,0.9353780827722308,0.11565419211955949,0.1616161614151617,0.1697936210131332,0.16193546036141926,0.43396226415094336
0.9863013698630136,0.7105263157894737,0.30568356374807987,0.6649446876221675,0.34636132896407434,0.5156102214400355,0.45019815154977655,0.3275086299934247,0.2697707791819818,0.30232640618434403,0.2500439250220046,0.5117262273912621,0.39999999760000016,0.40275409434141873,0.49130434782608695,0.49697469746974693,0.1618126477314752,0.499574414820378,0.028558598148871184,0.3838852966977683,0.9732415192948138,0.3115249530333401,0.39393939369819403,0.4352720450281426,0.39644266391145777,0.6158490566037735
1.0,0.8684210526315789,0.3688999172870141,0.6831904937601337,0.3907632402954862,0.5661282262831573,0.7018795469995227,0.44634918194742984,0.33475990629705754,0.37209375287684815,0.3645383175776798,0.5924564168325018,0.39999999760000016,0.44763572354517445,0.5260869565217391,0.5739823982398239,0.1486118772751165,0.6128301414444861,0.02262540061757431,0.4606518850852144,0.9656390439480033,0.37134633661105343,0.45454545472635444,0.5553470919324578,0.39713270417848545,0.7358490566037735
1.0,0.9210526315789473,0.5030131159163417,0.7415072176633392,0.5320058409036325,0.6673358629151389,0.781678936634895,0.5740598074213411,0.4830327248455214,0.5348842602153449,0.4964691587364065,0.6996833637681926,0.39999999760000016,0.585050341897155,0.6202898550724638,0.683993399339934,0.3055043958390118,0.713819001126549,0.09320425303559629,0.6032969287915065,0.9787866350359536,0.515561782296738,0.5959595964620957,0.6636960600375235,0.5647645531754976,0.7569811320754717
1.0,0.8684210526315789,0.3934774902516838,0.6925280910706421,0.4217038218575521,0.5842774910427881,0.71666497924471,0.468896096185661,0.3626104854473491,0.40697744208442704,0.3859579437519488,0.6096093175943985,0.39999999760000016,0.47724769446701987,0.5434782608695653,0.5924092409240923,0.17624153997214687,0.629590687194893,0.029002340414413044,0.49022003730262087,0.9687663492257537,0.4001512913818697,0.48484848424548516,0.5773921200750469,0.4282199179143231,0.8520754716981133
1.0,0.8684210526315789,0.39099610067352003,0.6925280910706421,0.4215895499771393,0.5820604280866564,0.715406644585545,0.46652278296752675,0.36063177469002805,0.40697744208442704,0.38261121477904175,0.6057439454931999,0.39999999760000016,0.4717097598301615,0.5434782608695653,0.5866336633663366,0.17507667320430592,0.6267492802603579,0.03172700928159471,0.4952353974558511,0.9676418823808564,0.3994534664007343,0.48484848424548516,0.5755159474671669,0.42521563329951495,0.8935849056603773
1.0,0.8421052631578947,0.337350821221789,0.6831904937601337,0.36835400048086225,0.5441479115521639,0.6837385556632292,0.4073172161531853,0.30325380779448663,0.3372100953919229,0.3051794390562556,0.5497200545415734,0.39999999760000016,0.41672393745786246,0.5043478260869565,0.5368536853685368,0.137732521512546,0.5725122042808862,0.038371750150609556,0.42716922288443754,0.9657844646691635,0.34281968388682904,0.4242424252072237,0.5196998123827392,0.3728570376082917,0.6943396226415095
0.8767123287671232,0.6578947368421052,0.28335105754460593,0.7116505272139829,0.3824825553237595,0.501108599399839,0.4304553146559829,0.28605620092874157,0.260643006328895,0.3139543131610882,0.16821495303629538,0.4401393251410205,1.0,0.41921967716370734,0.46666666666666673,0.43399339933993397,0.19356280361230954,0.4090499436725497,0.061820513449587756,0.3953611458564501,0.9723382514880603,0.3181140811194481,0.40404040353790427,0.3775797373358349,0.38691147920573876,0.6135849056603774
0.8630136986301369,0.6842105263157895,0.271653078104691,0.7052092421979931,0.3602378210014078,0.49244789475299927,0.4245324635878448,0.2766530483955257,0.24656725999771714,0.2906985309302535,0.1623168221935094,0.4325845113625837,1.0,0.4016341272611916,0.45507246376811594,0.4284928492849284,0.17144677973190398,0.40212792589810986,0.04718404256472729,0.3737468548917654,0.969096588547734,0.30070470469009575,0.3838383838584838,0.3653846153846154,0.3686329200704598,0.6747169811320755
1.0,0.9210526315789473,0.47335460238686045,0.7148974915106511,0.48242501035668817,0.6451240175315804,0.7641671126281838,0.5506243898888602,0.4471848557434088,0.48837269575367537,0.4857112148081369,0.6912510170236447,0.39999999760000016,0.550394668943512,0.5927536231884059,0.6782178217821782,0.25854004841791894,0.7079859807234947,0.057200390524969946,0.555721535673121,0.9774022537286087,0.47463665439855035,0.5555555551133559,0.648217636022514,0.5353969052343981,0.6490566037735849
