Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.42857142857142855,0.1111111111111111,0.25,0.1111111111111111,0.42857142857142855
10,0.4375,0.4,0.5,0.375,0.23529411764705882
15,0.4782608695652174,0.4090909090909091,0.47619047619047616,0.45454545454545453,0.2916666666666667
20,0.5,0.41379310344827586,0.4642857142857143,0.5555555555555556,0.41379310344827586
25,0.5,0.4166666666666667,0.5,0.5588235294117647,0.5454545454545454
30,0.5531914893617021,0.38636363636363635,0.525,0.4772727272727273,0.525
35,0.5087719298245614,0.33962264150943394,0.4791666666666667,0.49019607843137253,0.5434782608695652
40,0.44594594594594594,0.35,0.4727272727272727,0.5254237288135594,0.5576923076923077
45,0.42528735632183906,0.35294117647058826,0.4375,0.4927536231884058,0.5081967213114754
50,0.46236559139784944,0.3246753246753247,0.4782608695652174,0.48717948717948717,0.5223880597014925
55,0.45794392523364486,0.3333333333333333,0.47368421052631576,0.47191011235955055,0.5555555555555556
60,0.4263565891472868,0.35555555555555557,0.46987951807228917,0.43,0.5443037974683544
65,0.4178082191780822,0.3469387755102041,0.48314606741573035,0.4444444444444444,0.5529411764705883
70,0.43209876543209874,0.36538461538461536,0.49473684210526314,0.452991452991453,0.6136363636363636
75,0.39790575916230364,0.4074074074074074,0.49019607843137253,0.47619047619047616,0.6521739130434783
80,0.36936936936936937,0.44642857142857145,0.5428571428571428,0.4852941176470588,0.6363636363636364
