Starting Node,Average Spreading Ability,Rank
7,10.63,1.0
15,9.12,2.0
21,8.63,3.0
13,8.42,4.0
25,7.97,5.0
20,7.7,6.0
27,7.63,7.0
49,7.45,8.0
18,7.34,9.0
4,7.21,10.0
9,7.07,11.0
8,6.55,12.0
43,6.53,13.0
17,6.47,14.0
12,6.45,15.0
16,6.19,16.0
19,6.13,17.0
11,5.91,18.0
52,5.83,19.0
38,5.64,20.0
14,5.58,21.0
42,5.48,22.0
29,5.44,23.0
23,5.42,24.0
2,5.36,25.0
30,5.34,26.0
28,5.25,27.0
26,4.79,28.0
39,4.6,29.0
6,4.46,30.0
5,4.46,30.0
41,4.44,31.0
1,4.41,32.0
31,4.3,33.0
33,4.3,33.0
32,4.12,34.0
24,4.11,35.0
10,3.57,36.0
46,3.57,36.0
3,3.41,37.0
36,3.26,38.0
53,3.23,39.0
44,3.19,40.0
47,3.05,41.0
48,3.03,42.0
35,2.81,43.0
62,2.77,44.0
61,2.55,45.0
22,2.5,46.0
51,2.46,47.0
40,2.43,48.0
60,2.42,49.0
45,2.38,50.0
54,2.24,51.0
55,2.15,52.0
58,2.04,53.0
37,2.03,54.0
34,1.91,55.0
59,1.87,56.0
50,1.66,57.0
56,1.55,58.0
57,1.33,59.0
