Lambda,Kendall_Tau,P_Value
0.0927,0.6216619184994144,2.476434462659562e-94
0.1132,0.6070243746922273,3.1531741346181638e-90
0.1338,0.5890401687050079,3.3816566581413376e-85
0.1544,0.5728025851302806,9.188757637228166e-81
0.175,0.565362137731729,8.342900249410855e-79
0.1956,0.5504103627350876,8.105383375900168e-75
0.2162,0.5394098995180379,5.732597677555892e-72
0.2368,0.515793514819283,5.400255437002864e-66
0.2574,0.5075395754166567,5.756984539931286e-64
0.278,0.49761592484082234,1.4561620068614875e-61
