Lambda,Kendall_Tau,P_Value
0.0292,0.7330594926953001,4.8779336504493065e-231
0.0357,0.7306012088815782,1.3264441574918903e-230
0.0422,0.7268867149548259,5.0135737197333465e-229
0.0486,0.7199054575717768,2.914427572156721e-225
0.0551,0.7140121914095081,5.948653698665124e-222
0.0616,0.7116446814219035,7.864379310456016e-221
0.0681,0.7119642693732273,3.33831419086552e-221
0.0746,0.7209705190386679,6.254501995482002e-227
0.0811,0.7201290130814479,1.8451785384301946e-226
0.0876,0.7247845296705515,1.8364770325425818e-229
