Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.11904761904761904,0.42857142857142855,0.1111111111111111,0.3333333333333333,0.25
10,0.23809523809523808,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.3333333333333333
15,0.38095238095238093,0.4,0.25925925925925924,0.44,0.47619047619047616
20,0.5,0.45161290322580644,0.41935483870967744,0.5333333333333333,0.5769230769230769
25,0.6190476190476191,0.6666666666666666,0.5882352941176471,0.7352941176470589,0.7586206896551724
30,0.7380952380952381,0.7837837837837838,0.625,0.7948717948717948,0.75
35,0.8571428571428571,0.8536585365853658,0.8292682926829268,0.8571428571428571,0.9230769230769231
40,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
45,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
