feature,score,rank
Eccentricity Centrality,0.13935585594540706,1
Global Relative Change in Avg Clustering,0.10346894056033346,2
Second order centrality,0.07209730622495225,3
Leverage Centrality,0.06798012778600111,4
Closeness Centrality,0.060524283534735906,5
GSM,0.03791975658898157,6
GIN Values,0.036332362972566125,7
H-GSM_1,0.03412726451400673,8
Volume Centrality,0.029909697816094257,9
Isolating Centrality,0.020879539517728182,10
Betweenness Centrality,0.01938979183652387,11
I-GSM Values,0.018522006622335045,12
P Value,0.01745802686306589,13
PageRank Centrality,0.014261891866570146,14
HCC Value,0.011604650423895028,15
Eigenvector Centrality,0.009455766706360029,16
Clustering Coefficient,0.006441695136421136,17
PE Values,0.006408307149037539,18
CLC Values,0.005956639662067209,19
Node H-Index,0.005471178004290722,20
K-Shell Value,0.00523779910034202,21
Constraint Coefficients,0.005106808109909192,22
Centrality Values,0.005106082198656392,23
Global Relative Change in Avg Degree,0.004294380919663558,24
DNC Scores,0.004130075321833874,25
EHCC Value,0.0038251203437061005,26
Extended Improved Gravity Index Values,0.0037659618858484887,27
Semi local centrality,0.0036963361424204957,28
Societal Capital Scores,0.00368901859186955,29
Extended Degree,0.0034704985162725705,30
Clustered Local Degree,0.003147943062452237,31
Coreness Centrality,0.00314057480226083,32
MDD Value,0.00273627037550915,33
Extended Coreness,0.00259683658951924,34
Degree Centrality,0.002583200478581571,35
DIL Centrality,0.0023376737446878146,36
Laplacian Centrality,0.002269639013002903,37
EIGSM Values,0.002243460520633017,38
Local-Global Centrality,0.0020160169485760227,39
GGC Values,0.001676585771079185,40
Density Centrality,0.0013819054455434642,41
Improved Gravity Index Values,0.0012488830266701807,42
Gravity Model Centrality,0.0012094689023661631,43
Gravity Index Centrality,0.0009315582016145906,44
Local Gravity Model Centrality,0.0008540448119031878,45
MCGM Values,0.0006800288019352054,46
Subgraph centrality,0.0005152052881679621,47
LGC Scores,0.00045793672490815584,48
HVGc Index,0.00028765016274657986,49
H Values,0.00023620315285651555,50
