Eigenvector Centrality,EHCC Value,Coreness Centrality,Closeness Centrality,DNC Scores,PE Values,Extended Coreness,MDD Value,Gravity Model Centrality,I-GSM Values,H-GSM_1,Isolating Centrality,Eccentricity Centrality,Node H-Index,H Values,K-Shell Value,Subgraph centrality,Societal Capital Scores,Global Relative Change in Avg Clustering,GIN Values,Clustered Local Degree,Leverage Centrality,Extended Improved Gravity Index Values,Global Relative Change in Avg Degree,LGC Scores
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.077800841,316.6046009,24283,0.006024096,318.219752,4.975681278,3912786,153.1,4148520.0,68522.87878,9.96e+131,0,0.5,155,1889.237826,152,5.28e+67,25989,2.17e-05,69045.34257,51493.52288,-0.004365634,632732555.3,0.006067077,972463000000.0
0.078628487,318.8031532,24555,0.006097561,322.2079138,5.037746558,3954300,146.1,4233586.5,70096.52603,6.33e+132,0,0.5,155,1930.722491,152,5.4e+67,26265,8.66e-05,70257.71946,51943.78905,0.002855517,639039530.3,0.006219602,994887000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078205915,317.6859888,24416,0.006060606,320.2156525,5.00669113,3933094,150.2,4190588.5,69298.2174,2.5100000000000002e+132,0,0.5,155,1909.475629,152,5.34e+67,26124,2.84e-05,69645.12604,51706.28207,-0.000671983,635772793.5,0.00614334,983458000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.07737827,315.4874365,24144,0.005988024,316.2274023,4.94462689,3891580,154.5,4105936.5,67738.64772,3.94e+131,0,0.5,155,1868.220946,152,5.2299999999999997e+67,25848,7.68e-05,68442.36761,51257.33676,-0.00794429,629465818.5,0.005990814,961198000000.0
0.078051961,316.0375641,24374,0.006060606,320.2152942,5.006695476,3925291,150.2,4184430.25,69162.62965,2.5100000000000002e+132,161,0.5,155,1902.438509,152,5.3199999999999997e+67,26073,2.06e-05,69577.06631,51502.1118,0.000443526,633923940.5,0.00614334,980366000000.0
0.078545308,318.2161689,24532,0.006097561,322.2143395,5.037665926,3950090,146.1,4230184.5,70021.63041,6.33e+132,162,0.5,155,1926.873496,152,5.39e+67,26237,5.89e-05,70220.12479,51832.08535,0.003491786,638073175.5,0.006219602,993209000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078193953,317.5781349,24413,0.006060606,320.2159331,5.006687611,3932492,150.2,4190105.5,69287.58307,2.5100000000000002e+132,0,0.5,155,1908.948964,152,5.34e+67,26120,2.45e-05,69639.78802,51690.25411,-0.000585414,635634063.3,0.00614334,983215000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078628487,318.8031532,24555,0.006097561,322.2079138,5.037746558,3954300,146.1,4233586.5,70096.52603,6.33e+132,0,0.5,155,1930.722491,152,5.4e+67,26265,8.66e-05,70257.71946,51943.78905,0.002855517,639039530.3,0.006219602,994887000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.077771381,316.4609705,24274,0.006024096,318.223635,4.975632621,3911286,153.1,4147320.0,68496.45456,9.96e+131,0,0.5,155,1887.822507,152,5.28e+67,25979,3.22e-05,69032.07865,51453.2886,-0.0041373,632367326.5,0.006067077,971871000000.0
0.078529179,317.9332348,24526,0.006097561,322.2094767,5.037726849,3949273,146.1,4229577.0,70008.25619,6.33e+132,162,0.5,155,1926.006632,152,5.38e+67,26232,5.5e-05,70213.41146,51812.15091,0.00359354,637829314.5,0.006219602,992892000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078628487,318.8031532,24555,0.006097561,322.2079138,5.037746558,3954300,146.1,4233586.5,70096.52603,6.33e+132,0,0.5,155,1930.722491,152,5.4e+67,26265,8.66e-05,70257.71946,51943.78905,0.002855517,639039530.3,0.006219602,994887000000.0
0.076358439,311.6455317,23821,0.00591716,312.2569181,4.882339825,3840290,155.2,4014450.75,66038.05994,6.170000000000001e+130,157,0.5,154,1818.934381,152,5.09e+67,25507,0.00024527,67173.88161,50546.81529,-0.013862925,620892195.3,0.005838288,935441000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
0.078991622,319.6319197,24676,0.006134969,324.2049111,5.068742531,3972504,138.4,4274349.0,70848.18351,1.5899999999999997e+133,163,1.0,155,1949.197253,152,5.45e+67,26386,0.000126824,70848.18351,52102.39786,0.006821626,641594385.5,0.006295865,1005200000000.0
