Clustering Coefficient,Leverage Centrality,Eccentricity Centrality,Isolating Centrality,Constraint Coefficients,Closeness Centrality,PageRank Centrality,Second order centrality,GSM,Betweenness Centrality,GIN Values,Global Relative Change in Avg Clustering,H-GSM_1,Volume Centrality,P Value,K-Shell Value,Node H-Index,LGC Scores,DIL Centrality,H Values,HCC Value,DNC Scores,Clustered Local Degree,Density Centrality,Subgraph centrality,Average Spreading Ability
0.266666667,0.40707733675481605,0.4687499988046875,0.0,0.8083948134500356,0.6092073270376404,0.044479441496008965,0.8444718804498905,0.4577769104042133,0.08118680086305968,0.38701698950687097,0.013673705338511522,0.04238948321594606,0.42096964919195895,0.2752613240418118,0.4,0.19047619047619047,0.001732973695081367,0.0027881890530841837,0.0013236950388829437,0.16136912154929023,0.03743834778455048,0.0585881441999675,0.004965243297521076,0.0007633538351181848,0.03632148377125193
0.361111111,0.6208734540985094,0.3461538535096156,0.007575757575757575,0.8059948847634368,0.4472979196482071,0.08701824784461847,0.7998135569462834,0.3248955557117733,0.01729520838791797,0.2679123625773355,0.0034318517203994307,0.0321478627155692,0.07016160819865984,0.24390243902439024,0.4,0.19047619047619047,0.00024608793379275333,0.0027984056247144957,8.237536317905315e-05,0.14395758615243853,0.06502473979536647,0.055727109721647794,0.005366925900806919,2.9046136532169196e-06,0.02511591962905719
0.342857143,0.46300887168163074,0.613636369721591,0.0,0.9226760219110909,0.7686382386585915,0.0956875424505113,0.9395861245940869,0.6288008899154707,0.0983530152208783,0.5579588433696574,0.016752117589235452,0.07558655718119713,0.8301143082380764,0.9303135888501742,1.0,0.5238095238095237,0.03127453432671036,0.019636185763790323,0.04155716880088789,0.6044091039473275,0.10011547970299477,0.3742654120752821,0.036263012836272694,0.059227096990510604,0.29598145285935085
0.0,0.16376417579097824,0.4687499988046875,0.0,0.5095736199908887,0.5838058404353833,0.008340321424630585,0.7461426670385338,0.4286542225055041,0.0007577084635807894,0.3623819523406529,0.03170945270129777,0.03741017334932205,0.3441072132439889,0.21951219512195122,0.1,0.047619047619047616,0.0005613185218299697,0.0001904962540641481,0.0004005660964753401,0.11955314946117979,0.00897860362646219,0.019715249061268723,0.0008368387579209102,0.0004153127763032025,0.03245749613601236
0.250712251,0.6387559295506954,0.613636369721591,0.0,0.9537783155958179,0.7529130372343851,0.15664323899393273,0.9658898894061173,0.6778611756410396,0.04798310706345028,0.5981664034808529,0.001018353230030987,0.09844833588620709,0.8360268033109972,0.9616724738675958,1.0,0.7142857142857142,0.05262113864449098,0.07104385686508151,0.11846109209912983,0.6631355312739065,0.19448075072890236,0.4501231524682532,0.07104203162641239,0.14188197987728532,0.4671561051004637
0.416666667,0.5914640503519711,0.3461538535096156,0.0,0.7915001854404649,0.4519082684203489,0.08232378360310358,0.8035100384954953,0.32686940822953603,0.03337718528293118,0.2697331549278452,0.020150122116267523,0.03233170925205421,0.07094994087504927,0.24390243902439024,0.4,0.23809523809523808,0.0002576329341225058,0.002902663487469504,8.395840808054364e-05,0.14512138581213638,0.06554559439871749,0.06143590235787754,0.005366925900806919,2.8808060075385142e-06,0.02125193199381762
0.183823529,0.8039156833738539,0.3461538535096156,0.0,0.890415163682247,0.5012256297756231,0.1717001970651832,0.8360712251344772,0.38127226400013414,0.15920953558073803,0.3162564638112496,0.0548483420756784,0.04090762479674068,0.12179739850216792,0.24738675958188153,0.4,0.2857142857142857,0.0011811052870711217,0.01950684533720835,0.0006611213127151773,0.15879098215070298,0.12607730876436948,0.07448129405250302,0.016446671059208967,5.93050361995915e-05,0.11089644513137556
0.4,0.635450100432585,0.24107142686383942,0.0,0.7835718212102782,0.36709963998672857,0.09610676741083703,0.7927041378357365,0.2664947177051988,0.0159503421682679,0.2184988194270756,0.08221654173892352,0.027131084899425697,0.05321245565628695,0.24041811846689895,0.4,0.23809523809523808,0.0002277299925399958,0.002471793280211698,2.815826545214158e-05,0.1454173868938641,0.08078430037388548,0.06571749687089573,0.006081028307427695,4.2178351763039533e-07,0.0258887171561051
0.7,0.3364224401637973,0.24107142686383942,0.0,0.6986559809268795,0.3621005561140356,0.04197696179106007,0.7659229197797821,0.25748841614196166,0.00036105810839823097,0.21118783216087672,0.017509253268560707,0.024327034406818705,0.05321245565628695,0.23344947735191637,0.4,0.19047619047619047,0.00010204852704937036,0.0006573582292010913,1.384197030067927e-05,0.13378949162787876,0.03271444709298294,0.056696276845890965,0.0020642022689584616,2.582880389056831e-07,0.012364760432766617
0.0,0.10114319535757804,0.24107142686383942,0.0,0.0,0.3223406309888728,0.004273544790925118,0.5720829262049277,0.21453969654697758,0.0,0.1745055193137398,0.028268735286067593,0.019106899017336903,0.029168309026409142,0.07665505226480836,0.0,0.0,4.659754555188549e-06,0.0,4.367182891199403e-07,0.04033091551266859,0.002062402945574096,0.0041820225281479105,7.810495076359842e-05,6.617182793175319e-09,0.003477588871715613
