Lambda,Kendall_Tau,P_Value
0.1389,0.3987275878990687,1.332959961440852e-54
0.1697,0.38277625958760947,1.4096298083859337e-50
0.2006,0.3484527166733388,2.8022186821279435e-42
0.2314,0.31880593224874876,1.0725195030792426e-35
0.2623,0.29121803199121166,4.395071779798873e-30
0.2932,0.28269553093619615,1.8649829776418562e-28
0.324,0.25863545995542797,4.297873216474565e-24
0.3549,0.2408054215172542,4.2042674846462316e-21
0.3857,0.23288478389574616,7.641739045064828e-20
0.4166,0.22703210449545352,6.157773095165606e-19
