Clustering Coefficient,K-Shell Value,Eigenvector Centrality,Centrality Values,Constraint Coefficients,MDD Value,Leverage Centrality,Local Gravity Model Centrality,Density Centrality,Extended Coreness,LGC Scores,Betweenness Centrality,EIGSM Values,Degree Centrality,CLC Values,Second order centrality,DNC Scores,H-GSM_1,Coreness Centrality,PE Values,Societal Capital Scores,DIL Centrality,PageRank Centrality,Global Relative Change in Avg Clustering,Node H-Index
0.031109204,10,0.379995045,60584.90347,-0.016078037,165.9,0.916136535,634686,21510.44318,19298,22241638797,0.478305267,167390.961,0.524336283,752316.1981,-560.0545305,386.9822014,82118.04095,1298,4.302277857,2915,17199.80493,0.055040849,0.078072587,23
0.714285714,6,0.038891047,2050.097182,-0.206259914,6.7,-0.617459465,3654,169.2727273,3201,193355250,0.000761198,12133.46694,0.015486726,68763.46921,-3820.551836,8.457965672,486.7682847,63,0.181434208,529,23.28571429,0.001685681,0.000785215,6
1.0,3,0.025204085,1019.445047,-0.420060338,3.0,-0.751587302,1056,68.25,2069,119572358,0.0,7914.846281,0.006637168,36993.58872,-5860.775585,3.647690923,447.6496241,25,0.087880434,355,3.0,0.000929406,0.000976956,3
0.533333333,5,0.030099627,1764.837703,-0.246599993,5.7,-0.457843851,2370,146.0454545,2350,142249952,0.000263749,10128.88205,0.013274336,65063.17227,-4237.001152,8.028643304,473.0419935,44,0.147080959,401,23.42561371,0.001582393,0.000611315,5
1.0,2,0.015014162,595.1518518,-0.814614155,2.0,-0.491631799,478,38.65909091,1310,70837030,0.0,5053.73688,0.004424779,25291.71158,-8045.511859,3.031109204,429.2922919,12,0.048227418,241,2.0,0.000919439,0.004631424,2
0.714285714,6,0.039219092,2099.437997,-0.195863328,6.7,-0.586504614,3346,176.5113636,2961,176283822,0.000231705,12655.24821,0.015486726,64962.17822,-3822.971429,8.676751795,487.5270299,62,0.180689097,485,21.26272096,0.001655352,0.000204046,6
0.6,5,0.027700982,1350.568364,-0.254878536,5.0,-0.559917355,1990,112.5568182,2357,135754339,0.000330449,8855.601991,0.011061947,59748.57401,-4595.772963,6.334532627,461.9839151,40,0.11981684,403,13.79948718,0.001320491,0.001194581,5
0.6,5,0.027701399,1350.559793,-0.254878536,5.0,-0.559917355,1990,112.5568182,2357,135755165,0.000330687,8855.703637,0.011061947,59748.57401,-4595.673409,6.334532627,461.9839151,40,0.11981684,403,13.79948718,0.001320045,0.001194581,5
0.6,5,0.027700982,1350.568364,-0.254878536,5.0,-0.559917355,1990,112.5568182,2357,135754339,0.000330449,8855.601991,0.011061947,59748.57401,-4595.772868,6.334532627,461.9839151,40,0.11981684,403,13.79948718,0.00132049,0.001194581,5
0.523809524,7,0.038817522,2087.576016,-0.179952611,7.0,-0.644321492,3682,170.9431818,3226,195228492,0.000226766,12113.90484,0.015486726,83703.51584,-3794.818725,8.289867104,494.9233061,64,0.186944474,533,47.08960925,0.001623253,0.000407659,7
0.523809524,5,0.03761643,1997.882535,-0.190794592,6.4,-0.56190391,3612,169.8295455,3143,190695392,0.00036733,11737.599,0.015486726,81873.43239,-3842.605576,8.403420218,479.3360467,60,0.178995124,523,40.155,0.001673046,0.000554329,6
0.6,4,0.027463019,1347.51115,-0.275078817,4.7,-0.491735537,1975,112.1590909,2328,134563230,0.000385736,8763.794602,0.011061947,59317.75688,-4687.034488,6.467865961,456.6989347,37,0.118812232,400,11.79948718,0.001391783,0.001536811,4
