Lambda,Kendall_Tau,P_Value
0.1206,0.6702153890255105,1.0415463385862562e-21
0.1474,0.6842983934019979,1.2115050670353695e-22
0.1742,0.6671835931655078,1.313197912615618e-21
0.201,0.6730004461484413,4.823270902729888e-22
0.2278,0.6646100206387167,1.548609747453958e-21
0.2546,0.6187001239016591,6.930010106468431e-19
0.2814,0.6449120784935409,2.0676392834560896e-20
0.3082,0.627708541515943,2.026952751696993e-19
0.3351,0.6084531951129407,2.4092019074402237e-18
0.3619,0.613525476188547,1.2614894142239445e-18
