Lambda,Kendall_Tau,P_Value
0.0693,0.6514124786032774,8.69847022569945e-156
0.0847,0.6762681748903162,6.87827306757058e-169
0.1001,0.6647539081777342,6.455836266545569e-164
0.1155,0.6531613654610637,9.968402230243834e-159
0.1309,0.6541206137128868,1.6485120161983726e-159
0.1463,0.6346557937769991,1.840540673427314e-150
0.1617,0.6301906042525316,1.4392081529530986e-148
0.1771,0.620503111615294,3.5265605694298223e-144
0.1925,0.6197347420722642,6.696141893336594e-144
0.2079,0.6239068406765642,7.523310940900191e-146
