Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.042105263157894736,0.1111111111111111,0.25,0.1111111111111111,0.0
10,0.015105740181268883,0.25,0.1111111111111111,0.17647058823529413,0.05263157894736842
15,0.022658610271903322,0.42857142857142855,0.1111111111111111,0.42857142857142855,0.07142857142857142
20,0.030211480362537766,0.3333333333333333,0.1111111111111111,0.3793103448275862,0.08108108108108109
25,0.0377643504531722,0.35135135135135137,0.1111111111111111,0.35135135135135137,0.16279069767441862
30,0.04682779456193353,0.32608695652173914,0.10909090909090909,0.32608695652173914,0.19607843137254902
35,0.054380664652567974,0.33962264150943394,0.109375,0.2631578947368421,0.22413793103448276
40,0.061933534743202415,0.35,0.1095890410958904,0.3387096774193548,0.24615384615384617
45,0.06948640483383686,0.3188405797101449,0.12345679012345678,0.323943661971831,0.22972972972972974
50,0.0770392749244713,0.3466666666666667,0.16091954022988506,0.3125,0.24691358024691357
55,0.08459214501510574,0.37037037037037035,0.14432989690721648,0.35294117647058826,0.24719101123595505
60,0.09214501510574018,0.3595505617977528,0.1523809523809524,0.4044943820224719,0.28421052631578947
65,0.09969788519637462,0.35051546391752575,0.16964285714285715,0.43617021276595747,0.29411764705882354
70,0.10725075528700906,0.34285714285714286,0.21551724137931033,0.43137254901960786,0.27927927927927926
75,0.1163141993957704,0.35714285714285715,0.22580645161290322,0.4672897196261682,0.34210526315789475
80,0.12386706948640483,0.36134453781512604,0.24615384615384617,0.5,0.3360655737704918
