Lambda,Kendall_Tau,P_Value
0.1967,0.6076864644157676,3.610224521470151e-120
0.2404,0.6108474849684751,1.0900554177993741e-121
0.2841,0.5823495670735567,6.121802106488497e-111
0.3278,0.5489317789213541,6.845522807402674e-99
0.3715,0.5113377289924678,3.886798536810889e-86
0.4153,0.4800856251503225,3.480755039007862e-76
0.459,0.45610803752018353,5.809879037753689e-69
0.5027,0.4216699773361604,3.1450473057691433e-59
0.5464,0.43154651717464954,5.944235767197461e-62
0.5901,0.43512343626574607,5.873663786846812e-63
