feature,score,rank
Leverage Centrality,0.15973816169389252,1
Global Relative Change in Avg Clustering,0.08332824952762308,2
Betweenness Centrality,0.06073612169524048,3
Volume Centrality,0.05727329835517906,4
Isolating Centrality,0.05161679992126365,5
Closeness Centrality,0.04834709302264745,6
Eccentricity Centrality,0.04279518346306017,7
Constraint Coefficients,0.04268056728186223,8
GSM,0.040015965475386675,9
Clustering Coefficient,0.03284777850503737,10
P Value,0.03254080587958552,11
GIN Values,0.02870169541663096,12
Second order centrality,0.02793574055377993,13
PageRank Centrality,0.02063023731367154,14
HCC Value,0.019460665563821884,15
DIL Centrality,0.005565817495937447,16
Centrality Values,0.005188962714686909,17
Node H-Index,0.0047040144623102164,18
DNC Scores,0.004699953519055408,19
K-Shell Value,0.004647927508053481,20
Global Relative Change in Avg Degree,0.004636993704020974,21
Degree Centrality,0.004406795891286013,22
PE Values,0.004378860733555219,23
I-GSM Values,0.004214486433969463,24
MDD Value,0.004182481063791431,25
Local-Global Centrality,0.003237043584742119,26
Clustered Local Degree,0.003175766299764005,27
Societal Capital Scores,0.0026828169872010394,28
Extended Degree,0.002665999010291153,29
Density Centrality,0.0026383149941239907,30
Eigenvector Centrality,0.002372963871477264,31
GGC Values,0.00222497764051851,32
CLC Values,0.0020912884424884974,33
EHCC Value,0.00198642222031707,34
Semi local centrality,0.001793849973022979,35
Extended Improved Gravity Index Values,0.001724110882670537,36
Laplacian Centrality,0.0017113141644727265,37
Gravity Model Centrality,0.0015884496398802606,38
Extended Coreness,0.0014650141486328323,39
H-GSM_1,0.0014094082437586994,40
EIGSM Values,0.0012530350741530877,41
Coreness Centrality,0.001243740811497888,42
Improved Gravity Index Values,0.0009333378166859145,43
Gravity Index Centrality,0.0008442935084188097,44
LGC Scores,0.0007851762352704181,45
Local Gravity Model Centrality,0.0005720873974001388,46
MCGM Values,0.0005627661276518699,47
HVGc Index,0.00021876835404077604,48
H Values,0.00013198246525507603,49
Subgraph centrality,0.00013114279725545314,50
