feature,rank
Second order centrality,1
Node H-Index,2
Centrality Values,3
DNC Scores,4
Degree Centrality,5
PE Values,6
Local-Global Centrality,7
GGC Values,8
GIN Values,9
PageRank Centrality,10
Leverage Centrality,11
Isolating Centrality,12
Betweenness Centrality,13
Global Relative Change in Avg Clustering,14
Clustering Coefficient,15
Eccentricity Centrality,16
Constraint Coefficients,17
Volume Centrality,18
DIL Centrality,19
GSM,20
P Value,21
Clustered Local Degree,22
Closeness Centrality,23
H-GSM_1,24
I-GSM Values,25
Global Relative Change in Avg Degree,26
K-Shell Value,27
HCC Value,28
Gravity Model Centrality,29
MDD Value,30
Density Centrality,31
Laplacian Centrality,32
EIGSM Values,33
Extended Degree,34
EHCC Value,35
CLC Values,36
Societal Capital Scores,37
Improved Gravity Index Values,38
Gravity Index Centrality,39
Local Gravity Model Centrality,40
Semi local centrality,41
Coreness Centrality,42
MCGM Values,43
Extended Coreness,44
LGC Scores,45
Extended Improved Gravity Index Values,46
Eigenvector Centrality,47
HVGc Index,48
Subgraph centrality,49
H Values,50
