feature,score,rank
Local Gravity Model Centrality,0.0011727216128980533,1
LGC Scores,0.0012495979254513179,2
H Values,0.0015469707179124326,3
MCGM Values,0.0018031182028610537,4
Density Centrality,0.0021485173033536364,5
Laplacian Centrality,0.002172980080738518,6
Gravity Model Centrality,0.0022188308880085605,7
Subgraph centrality,0.0023778028736853862,8
HVGc Index,0.002641014264439856,9
EIGSM Values,0.003278020440393492,10
GGC Values,0.003368655377623986,11
H-GSM_1,0.00397467862389822,12
Local-Global Centrality,0.0043872866647893805,13
Extended Coreness,0.0044750931174589725,14
EHCC Value,0.004523262855028021,15
Eigenvector Centrality,0.0045394337794718576,16
Extended Improved Gravity Index Values,0.004671083149783484,17
Semi local centrality,0.0048396667472507815,18
Improved Gravity Index Values,0.005054576227732421,19
Gravity Index Centrality,0.005129992506910486,20
PE Values,0.005365259958213686,21
I-GSM Values,0.005506756731483153,22
Centrality Values,0.005625707243793854,23
Extended Degree,0.005757476258046346,24
Societal Capital Scores,0.005863679313919179,25
CLC Values,0.005981316824967831,26
Coreness Centrality,0.006251977766895123,27
DIL Centrality,0.007202921697404552,28
MDD Value,0.007724771014962162,29
HCC Value,0.007900665813356689,30
Isolating Centrality,0.008270697469589638,31
Degree Centrality,0.008312695946288251,32
P Value,0.00957926111254237,33
Volume Centrality,0.009674116496324325,34
Constraint Coefficients,0.009730074571747571,35
Clustered Local Degree,0.0100715761798571,36
Global Relative Change in Avg Degree,0.010156258093226955,37
DNC Scores,0.010482236750071983,38
GIN Values,0.011295455540878074,39
GSM,0.012317752628050016,40
Node H-Index,0.017168737150225932,41
K-Shell Value,0.017482705733280923,42
PageRank Centrality,0.020682750343000156,43
Second order centrality,0.0216661130181669,44
Closeness Centrality,0.02250857203468315,45
Clustering Coefficient,0.026318650759906803,46
Eccentricity Centrality,0.04586570682003477,47
Leverage Centrality,0.04724915996368617,48
Betweenness Centrality,0.0684514134473907,49
Global Relative Change in Avg Clustering,0.09815139547041074,50
