LGC Scores,Extended Improved Gravity Index Values,GSM,Node H-Index,Density Centrality,Clustering Coefficient,Societal Capital Scores,Constraint Coefficients,HCC Value,PE Values,Global Relative Change in Avg Degree,Degree Centrality,H Values,CLC Values,HVGc Index,DIL Centrality,Second order centrality,Global Relative Change in Avg Clustering,Local-Global Centrality,Improved Gravity Index Values,Leverage Centrality,Clustered Local Degree,P Value,Subgraph centrality,EHCC Value
3029,67.5,170.1156072,2,3.818181818,0.0,10,-0.333333333,0.180704874,0.021331247,0.000881526,0.004385965,7.79e-09,63.0,103.1805087,7.0,-4042.654845,0.001461988,0.640278696,21.5,0.166666667,7.0,19,3.15202042,0.723264085
8550,107.0,178.344687,3,5.25,0.0,16,-0.333333333,0.294883195,0.027591988,0.000881526,0.004385965,4.43e-08,124.0,279.4472111,10.33333333,-3730.075427,0.002027078,0.672527129,40.0,-0.166666667,13.0,32,3.585137027,1.166033465
340,21.5,150.5753991,1,0.477272727,0.0,4,-1.0,0.052138065,0.006475614,0.000680817,0.001461988,4.78e-10,24.0,6.621829941,1.0,-5250.864519,0.001461988,0.188118286,4.5,-0.5,3.0,2,1.644935425,0.232842939
3220,71.5,176.293456,2,4.056818182,0.0,11,-0.333333333,0.195537952,0.020927046,0.000881526,0.004385965,1.53e-08,71.0,126.1095107,8.333333333,-3783.919449,0.001461988,0.662353154,23.0,0.066666667,8.0,20,3.200128672,0.756082774
14460,162.0,168.4971009,3,10.73863636,0.1,20,-0.281111111,0.354215504,0.035515791,0.00244387,0.007309942,1.8e-07,125.7724011,549.5995582,23.85714286,-3841.749857,0.007861999,1.052384687,41.5,0.257936508,16.5,36,6.29112229,1.807533748
15420,171.0,190.7607317,3,11.53409091,0.0,20,-0.2,0.336229892,0.04577023,0.00244387,0.007309942,2.83e-07,165.0,468.3139908,30.06666667,-3379.205966,0.001461988,1.194480624,44.0,0.271428571,15.0,31,5.584571307,1.677148169
5600,98.5,183.1376276,3,4.534090909,0.0,13,-0.333333333,0.221606984,0.026880249,0.000881526,0.004385965,7.66e-08,101.0,229.2900194,9.4,-3862.24678,0.001461988,0.687215695,31.5,-0.047619048,10.0,21,3.338545501,1.164740118
1647,48.5,177.0983321,2,1.909090909,0.0,8,-0.5,0.158232964,0.014518376,0.000100355,0.002923977,1.12e-08,49.0,61.86612729,3.333333333,-3947.043841,0.001461988,0.444049253,18.5,-0.2,6.0,19,2.400781279,0.571336189
3178,69.5,182.0914608,2,4.056818182,0.0,11,-0.333333333,0.159566729,0.020927046,0.000881526,0.004385965,1.58e-08,67.0,126.1095107,8.333333333,-4013.824823,0.001461988,0.683534938,23.0,0.066666667,8.0,10,3.203602881,0.640974861
1824,46.25,165.0900886,2,3.579545455,0.0,9,-0.333333333,0.119109207,0.016044235,0.000881526,0.004385965,3.57e-09,46.0,60.9051614,6.333333333,-4657.446201,0.001461988,0.618025897,16.0,0.233333333,6.0,5,3.087603397,0.438687252
2300,59.0,189.0486307,2,2.068181818,0.0,9,-0.5,0.140691941,0.01677652,0.000100355,0.002923977,1.66e-08,63.0,76.42286312,3.416666667,-3880.907181,0.001461988,0.475393089,22.0,-0.266666667,7.0,11,2.460669524,0.569962008
284,16.0,147.0357067,1,0.477272727,0.0,4,-1.0,0.052138065,0.005673051,0.000680817,0.001461988,2.13e-10,17.0,5.518191618,1.0,-5737.623647,0.001461988,0.1831168,4.25,-0.5,3.0,2,1.64317184,0.171247272
1890,57.0,163.2836532,2,1.909090909,0.0,8,-0.5,0.107873252,0.015190383,0.000100355,0.002923977,8.14e-09,55.0,61.86612729,3.333333333,-4797.83689,0.001461988,0.406342921,19.0,-0.2,6.0,5,2.408735817,0.744442648
