Improved Gravity Index Values,CLC Values,DIL Centrality,PE Values,Laplacian Centrality,I-GSM Values,Local Gravity Model Centrality,EIGSM Values,Constraint Coefficients,Clustering Coefficient,Leverage Centrality,Volume Centrality,Centrality Values,Betweenness Centrality,Gravity Index Centrality,Eccentricity Centrality,MDD Value,Degree Centrality,Closeness Centrality,Local-Global Centrality,P Value,PageRank Centrality,HVGc Index,Density Centrality,Coreness Centrality,Average Spreading Ability
0.846153846153846,0.9531520515017567,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,0.1999999994,1.0,0.6666666666666665,0.9333333333333332,0.9495717599788199,0.875,0.5555555555555557,1.0,1.0,0.9755516225439287,1.0000000000000002,0.6538461538461539,0.9999999999999998,0.9774892716024437,0.9166666670449735,1.0,0.7857142857142857
0.5999999999999999,0.6156442217643368,0.36057121613662896,0.49057234056366233,0.37037037037037046,0.6874840792109963,0.3333333333333333,0.48337351719492816,0.7760243497589578,0.250000000375,0.4863657379877327,0.7333333333333334,0.3959677419354837,0.48285652797061557,0.5,0.7500000000000001,0.33333333333333304,0.33333333788888875,1.0,0.463133035505052,0.5384615384615385,0.3630639625143708,0.44156527647415506,0.3333333333915343,0.33333333333333326,0.7266009852216749
0.6461538461538461,0.5920671598643571,0.368053140885198,0.49090797407031744,0.37037037037037046,0.6823697634015354,0.3333333333333333,0.49164237180848835,0.7998737098054506,0.250000000375,0.4575566165626492,0.8333333333333333,0.38198924731182793,0.9999999999999999,0.5625,1.0,0.08333333333333304,0.33333333788888875,0.9877039219426722,0.459678309638503,0.5000000000000001,0.3573948729995666,0.5060483818102313,0.3611111112469135,0.33333333333333326,1.0
0.5076923076923077,0.5732055102329615,0.3333772976004252,0.5212776056004567,0.33333333333333337,0.6266909752892681,0.29523809523809524,0.4948931783117758,0.7760243497589578,0.250000000375,0.562625172657998,0.6333333333333333,0.4419354838709676,0.5723795205885523,0.4375,0.7500000000000001,0.33333333333333304,0.33333333788888875,0.9877039219426722,0.449960481659326,0.576923076923077,0.37072196241782174,0.38908188586302844,0.30555555562345676,0.33333333333333326,0.8374384236453202
0.5846153846153845,0.6925301879698056,0.7479047013477353,0.7537043783550832,0.6296296296296295,0.7049476435909573,0.5904761904761906,0.6268032438973636,0.9891628162318894,0.149999999925,0.8134339861865231,0.5,0.5368279569892472,0.9965536922730983,0.625,0.7500000000000001,0.4166666666666665,0.6666666757777777,0.9055222309360802,0.6706790539341443,0.3846153846153847,0.7111932632133058,0.6409489429493065,0.5694444445074955,0.6666666666666665,0.8201970443349752
0.0461538461538461,0.0,0.0,0.02497026304111233,0.03703703703703709,0.03816176426578555,0.028571428571428525,0.021880410340173073,0.0,0.9999999999999999,0.2372515790374945,0.033333333333333326,0.0026881720430107503,0.0002445650174147109,0.0,0.0,0.0,0.0,0.0,0.002831149481552664,0.038461538461538464,0.10033364768145447,0.007456188578086276,0.0,0.0,0.0714285714285714
0.41538461538461524,0.40383928486915077,0.5579789209653893,0.4411704173169178,0.5925925925925926,0.40293873884623566,0.5428571428571429,0.40063116142792565,0.7723328005563382,0.29999999985,0.8727468814797128,0.2333333333333334,0.4161290322580644,0.2651085221949095,0.5,0.0769230833846154,0.4166666666666665,0.6666666757777777,0.13629015734401606,0.4388655667864737,0.11538461538461539,0.772397242141015,0.6169355460915806,0.5000000000873015,0.6666666666666665,0.4285714285714285
0.4769230769230768,0.46946643753881534,0.3759667150048469,0.30269354544417887,0.37037037037037046,0.441734130723601,0.3333333333333333,0.31055158514705916,0.7784530026116966,0.250000000375,0.4575566165626492,0.46666666666666656,0.2543010752688172,0.299592194463424,0.4375,0.16666666666666663,0.583333333333333,0.33333333788888875,0.2842475819043784,0.30519010600026364,0.15384615384615385,0.3957549781949816,0.4653737131082651,0.30555555562345676,0.33333333333333326,0.44827586206896564
0.24615384615384617,0.16874248967634659,0.010071821670003617,0.3204961706341449,0.11111111111111116,0.37333315925986577,0.08571428571428569,0.3303944889915573,0.12572859641538292,0.9999999999999999,0.05931289529318967,0.2666666666666666,0.3026881720430107,0.0004891300348294218,0.0625,0.27272727781818185,0.0,0.0,0.5681963020270318,0.1426879694369958,0.6923076923076924,0.007066713854757545,0.17341951507614306,0.020833333369708995,0.0,0.4581280788177341
0.6461538461538461,0.704853589697473,0.5622954161869607,0.812404657313355,0.6296296296296295,0.7596056085891395,0.5904761904761906,0.7705279499723086,0.8175950954897008,0.29999999985,0.8252965639640025,0.6333333333333333,0.7881720430107525,0.381570402258652,0.625,0.27272727781818185,0.6666666666666661,0.6666666757777777,0.6585115552823644,0.6676557175990063,0.7692307692307693,0.6526180627279778,0.8651538029927384,0.5694444445074955,0.6666666666666665,0.9556650246305417
0.4307692307692308,0.2805868094042461,0.10906344046270405,0.3009674164679584,0.37037037037037046,0.42564126177821937,0.3333333333333333,0.38304846464781017,0.330852510712522,0.749999999625,0.47450315807498905,0.3666666666666667,0.3419354838709676,0.008070647981205617,0.3125,0.0,0.583333333333333,0.33333333788888875,0.16238828009637074,0.27810761998911704,0.9615384615384616,0.3286695018468846,0.4067700228256859,0.25000000008730155,0.33333333333333326,0.3990147783251231
0.6615384615384614,0.5822177179902822,0.3085814318643763,0.43220782729325374,0.6666666666666667,0.6711413941842482,0.638095238095238,0.62613901610723,0.6992789604603893,0.449999999775,0.7864735786527284,0.5666666666666667,0.5513440860215052,0.18484226952158442,0.625,0.0769230833846154,0.6666666666666661,0.6666666757777777,0.31710577446180155,0.5651709036762158,1.0,0.6439427310404879,0.809062455401633,0.5694444445074955,0.6666666666666665,0.6822660098522167
0.3076923076923077,0.2825188349573977,0.20093284260815142,0.4192612371947548,0.2962962962962963,0.3849391225563842,0.2571428571428572,0.328434980913036,0.5598743577774716,0.49999999925,0.5931289486613684,0.30000000000000004,0.33037634408602146,0.3785867071209764,0.3125,0.27272727781818185,0.583333333333333,0.33333333788888875,0.4389608370956004,0.3247393477467947,0.19230769230769232,0.4044501731579502,0.3120414236204932,0.25000000008730155,0.33333333333333326,0.46798029556650256
0.18461538461538463,0.3659056441483789,0.1913646119113615,0.2037107433886392,0.03703703703703709,0.2826673328605701,0.028571428571428525,0.14303247550282527,0.7420232294052613,0.0,0.21183176676898463,0.33333333333333326,0.08602150537634401,0.44021710113556417,0.125,0.40000000280000025,0.0,0.0,0.5918893999448909,0.13534711329856808,0.2307692307692308,0.07007437658986904,0.09836289970101658,0.041666666652116435,0.0,0.32512315270935954
0.3538461538461537,0.5497354952405737,0.5129434897531546,0.4670574688813662,0.2962962962962963,0.4656609338992458,0.2571428571428572,0.3485848803050027,0.975173782962499,0.0,0.6100754901737083,0.3999999999999999,0.2559139784946236,0.49451054462771066,0.375,0.5555555555555557,0.33333333333333304,0.33333333788888875,0.7592297420462493,0.38652973675880675,0.2692307692307693,0.40699587022209016,0.3385509077221532,0.2777777778553791,0.33333333333333326,0.41871921182266003
