Improved Gravity Index Values,CLC Values,DIL Centrality,PE Values,Laplacian Centrality,I-GSM Values,Local Gravity Model Centrality,EIGSM Values,Constraint Coefficients,Clustering Coefficient,Leverage Centrality,Volume Centrality,Centrality Values,Betweenness Centrality,Gravity Index Centrality,Eccentricity Centrality,MDD Value,Degree Centrality,Closeness Centrality,Local-Global Centrality,P Value,PageRank Centrality,HVGc Index,Density Centrality,Coreness Centrality
86.25,221.4188497,36.96230159,0.589695332,88,40.31734743,138,197.1091111,-0.241126543,0.133333333,0.226262626,46,52.79,0.394887802,67.5,0.111111111,4.2,0.146341463,0.005847953,4.564514487,18,0.034587047,1322.404105,14.31818182,18
74.25,160.8315277,15.8,0.389286827,54,33.7206586,68,129.7715099,-0.321180556,0.166666667,-0.014285714,48,32.8,0.200949999,54.0,0.125,3.4,0.097560976,0.00591716,2.868072026,15,0.024229725,752.1280981,7.636363636,12
76.5,156.5991191,16.04761905,0.389418865,54,33.61270394,68,130.8492805,-0.31265625,0.166666667,-0.027777778,51,32.28,0.41584264,56.25,0.142857143,3.1,0.097560976,0.005882353,2.85715546,14,0.024137539,820.7444843,7.954545455,12
69.75,153.2131922,14.9,0.401366258,52,32.43741777,64,131.2729938,-0.321180556,0.166666667,0.021428571,45,34.51,0.238150183,51.75,0.125,3.4,0.097560976,0.005882353,2.826448158,16,0.024354253,696.2805923,7.318181818,12
73.5,174.6336217,28.61904762,0.492802797,68,34.08928526,95,148.4662808,-0.245,0.1,0.138888889,41,38.04,0.414410569,58.5,0.125,3.5,0.12195122,0.005649718,3.523895352,11,0.029890713,964.2919911,10.34090909,15
47.25,50.31487767,3.866666667,0.206119277,36,20.01454964,36,69.62004686,-0.598549383,0.666666667,-0.130952381,27,18.17,0.000406504,36.0,0.071428571,3.0,0.073170732,0.00308642,1.413567063,2,0.019957424,290.1931979,3.818181818,9
65.25,122.809613,22.33333333,0.369852143,66,27.71438198,90,118.9867903,-0.3225,0.2,0.166666667,33,33.55,0.11046748,54.0,0.076923077,3.5,0.12195122,0.003472222,2.791389408,4,0.030885961,938.7393676,9.545454545,15
68.25,134.5905943,16.30952381,0.315375433,54,28.53328787,68,107.2457302,-0.3203125,0.166666667,-0.027777778,40,27.53,0.124796748,51.75,0.083333333,3.7,0.097560976,0.003891051,2.368989181,5,0.024761319,777.4626237,7.318181818,12
57.0,80.60648769,4.2,0.322378974,40,27.08945767,42,109.8320737,-0.553611111,0.666666667,-0.214285714,34,29.33,0.00050813,38.25,0.090909091,3.0,0.073170732,0.004694836,1.855499727,19,0.018440795,466.7945518,4.056818182,9
76.5,176.8458427,22.47619048,0.515895448,68,35.24302356,95,167.1994996,-0.306322222,0.2,0.144444444,45,47.39,0.158861789,58.5,0.090909091,3.8,0.12195122,0.004950495,3.514341931,21,0.028938212,1202.868083,10.34090909,15
66.0,100.6840895,7.476190476,0.314696375,54,28.1935943,68,116.6950444,-0.480295139,0.5,-0.01984127,37,30.79,0.003658537,47.25,0.071428571,3.7,0.097560976,0.003546099,2.283411408,26,0.023670431,715.1025152,6.681818182,12
77.25,154.8310081,14.07936508,0.366326266,70,33.37569183,100,148.3797047,-0.348611111,0.3,0.126262626,43,38.58,0.077113821,58.5,0.076923077,3.8,0.12195122,0.003984064,3.190500828,27,0.028797141,1143.181355,10.34090909,15
60.0,101.0309148,10.51666667,0.361233086,50,27.33444016,60,109.5766695,-0.3984375,0.333333333,0.035714286,35,30.36,0.157621951,47.25,0.090909091,3.7,0.097560976,0.004329004,2.430762704,6,0.024902713,614.3019394,6.681818182,12
54.0,116.0,10.2,0.276435664,36,25.17565359,36,85.41112556,-0.333333333,0.0,-0.142857143,36,21.27,0.183231707,40.5,0.1,3.0,0.073170732,0.004761905,1.832303403,7,0.019465373,386.9269077,4.295454545,9
62.25,149.0,20.84285714,0.380036092,50,29.0383427,60,112.2030271,-0.25,0.0,0.043650794,38,27.59,0.205792683,49.5,0.111111111,3.4,0.097560976,0.005235602,2.626013756,8,0.024944109,642.510646,7.0,12
68.25,134.5905943,16.30952381,0.315375433,54,28.53328787,68,107.2457302,-0.3203125,0.166666667,-0.027777778,40,27.53,0.124796748,51.75,0.083333333,3.7,0.097560976,0.003891051,2.368989181,5,0.024761319,777.4626237,7.318181818,12
