Eccentricity Centrality,Laplacian Centrality,Volume Centrality,Constraint Coefficients,Semi local centrality,PE Values,GIN Values,MCGM Values,Extended Coreness,GGC Values,Clustering Coefficient,MDD Value,H-GSM_1,Closeness Centrality,GSM,H Values,Leverage Centrality,Extended Improved Gravity Index Values,EIGSM Values,HCC Value,Local Gravity Model Centrality,CLC Values,LGC Scores,EHCC Value,Degree Centrality
0.058823529,36,27,-0.62867284,79,0.360419599,31.07971361,7.052607783,36,4.579476881,0.666666667,3.0,15.09220204,0.003921569,27.13986101,0.057976049,-0.130952381,137.25,58.01685065,1.057692308,36,40.5599524,6534,5.146153846,0.096774194
0.058823529,36,27,-0.62867284,79,0.360419599,31.07971361,7.052607783,36,4.579476881,0.666666667,3.0,15.09220204,0.003921569,27.13986101,0.057976049,-0.130952381,137.25,58.01685065,1.057692308,36,40.5599524,6534,5.146153846,0.096774194
0.055555556,60,19,-0.475555556,88,0.484966691,31.18017638,10.48356665,45,7.4431736,0.4,3.5,18.30238094,0.003597122,28.14858362,0.135321921,0.25,207.0,83.82277767,2.0,75,58.98816405,11100,9.215384615,0.161290323
0.066666667,32,19,-0.673611111,64,0.341440799,30.50974007,5.805653875,30,4.084571927,0.666666667,3.0,15.27557019,0.004608295,27.89647914,0.049595629,-0.047619048,113.25,50.78179576,0.803846154,30,32.85869562,4208,3.315384615,0.096774194
0.071428571,30,19,-0.50617284,52,0.323935776,30.2974342,5.670440907,27,6.20820953,0.333333333,3.0,15.40029948,0.004950495,28.32109087,0.060540622,0.0,107.25,48.44227872,0.676923077,27,37.25962815,3600,2.961538462,0.096774194
0.0625,44,20,-0.444444444,76,0.454582388,31.73722854,7.925711783,36,8.440350921,0.333333333,2.8,17.26022413,0.004273504,28.95553981,0.082662861,0.142857143,168.0,70.54788994,1.030769231,48,54.4563796,6974,4.753846154,0.129032258
0.066666667,32,19,-0.673611111,64,0.341440799,30.50974007,5.805653875,30,4.084571927,0.666666667,3.0,15.27557019,0.004608295,27.89647914,0.049595629,-0.047619048,113.25,50.78179576,0.803846154,30,32.85869562,4208,3.315384615,0.096774194
0.055555556,46,16,-0.661024306,65,0.354908356,29.2623269,16.09268186,39,3.997940308,0.666666667,3.1,15.56168204,0.003584229,25.86103682,2.750387032,0.107142857,154.5,65.31581038,1.85,52,33.37211274,7176,8.723076923,0.129032258
0.052631579,34,14,-0.807098765,54,0.245136579,25.40390499,10.9996886,33,1.177354356,1.0,3.0,12.2711675,0.003257329,22.04520085,1.668884646,-0.095238095,117.75,50.66715571,1.7,33,19.86548982,4573,7.1,0.096774194
0.058823529,34,24,-0.458333333,59,0.312105805,30.83695603,14.02048554,33,6.804227767,0.333333333,3.0,14.92259786,0.003937008,26.83213771,1.761568935,-0.095238095,123.75,53.593412,1.623076923,33,42.27534732,5474,6.819230769,0.096774194
0.055555556,46,16,-0.661024306,65,0.354908356,29.2623269,16.09268186,39,3.997940308,0.666666667,3.1,15.56168204,0.003584229,25.86103682,2.750387032,0.107142857,154.5,65.31581038,1.85,52,33.37211274,7176,8.723076923,0.129032258
0.071428571,48,24,-0.523003472,96,0.471982095,36.47595626,24.39887863,42,8.913585251,0.5,3.1,19.06288147,0.005076142,31.42394755,4.116304702,0.071428571,183.0,81.23454308,1.592307692,56,58.22694333,9240,7.484615385,0.129032258
0.066666667,46,20,-0.5390625,87,0.471973378,34.62830733,21.54011747,39,8.081328214,0.5,3.1,18.28782725,0.004694836,30.29420054,3.81746477,0.107142857,177.0,77.86252671,1.619230769,52,52.76816739,7843,7.542307692,0.129032258
0.1,30,19,-0.50617284,54,0.323935776,31.89559512,7.815013016,27,6.20820953,0.333333333,3.0,16.13007767,0.005882353,29.6013995,0.683504732,0.0,108.75,50.36089727,0.676923077,27,38.69269077,3615,2.961538462,0.096774194
0.1,32,20,-0.673611111,63,0.354909754,33.17431282,9.696960531,30,4.219150065,0.666666667,3.0,16.47702383,0.00591716,29.99102922,1.041390018,-0.047619048,118.5,54.3696063,0.803846154,30,32.3452785,4352,3.442307692,0.096774194
0.1,32,20,-0.673611111,63,0.354909754,33.17431282,9.696960531,30,4.219150065,0.666666667,3.0,16.47702383,0.00591716,29.99102922,1.041390018,-0.047619048,118.5,54.3696063,0.803846154,30,32.3452785,4352,3.442307692,0.096774194
0.090909091,46,23,-0.430989583,86,0.440989555,36.2813532,17.2039711,39,10.14526566,0.333333333,3.1,19.35349752,0.005882353,32.20626084,2.52115841,0.107142857,167.25,75.26045614,1.157692308,52,61.62169271,8004,5.211538462,0.129032258
0.083333333,48,27,-0.535590278,97,0.483131412,37.67873944,22.28585546,42,9.785435363,0.5,3.1,19.79882806,0.005714286,32.71986367,3.434461503,0.071428571,180.75,79.92078818,1.361538462,56,58.83347399,9552,6.203846154,0.129032258
0.083333333,30,15,-0.703703704,49,0.328791336,30.33608569,5.565066025,27,3.670394934,0.666666667,3.0,15.4812732,0.005524862,28.5242718,0.162358874,0.0,99.0,46.24277785,0.676923077,27,25.15743883,3150,2.707692308,0.096774194
0.083333333,30,15,-0.703703704,49,0.328791336,30.33608569,5.565066025,27,3.670394934,0.666666667,3.0,15.4812732,0.005524862,28.5242718,0.162358874,0.0,99.0,46.24277785,0.676923077,27,25.15743883,3150,2.707692308,0.096774194
0.076923077,30,18,-0.50617284,52,0.29863685,30.37165896,5.754970304,27,6.010511677,0.333333333,3.0,15.50245372,0.005263158,28.56428258,0.110965265,0.0,97.5,45.95018837,0.676923077,27,37.25962815,3405,2.707692308,0.096774194
0.076923077,34,22,-0.625771605,76,0.382429067,33.22145228,15.24201147,33,4.266297593,0.666666667,3.0,16.07473447,0.005181347,28.90153073,2.153027472,-0.095238095,144.75,63.21170423,1.161538462,33,39.01970105,5525,5.046153846,0.096774194
0.076923077,48,28,-0.417534722,97,0.473414617,37.64848001,25.09438895,42,11.91396875,0.333333333,2.8,19.68771237,0.005434783,32.46311254,3.990681536,0.071428571,188.25,82.65742406,1.438461538,56,69.50353713,9888,6.919230769,0.129032258
0.066666667,34,21,-0.625771605,73,0.36596256,33.01376375,15.75145421,33,4.41219278,0.666666667,3.0,15.94622466,0.004672897,28.64677283,2.287121241,-0.095238095,135.0,59.98667493,1.469230769,33,37.47944969,5287,6.176923077,0.096774194
0.052631579,34,17,-0.831111111,63,0.27207103,26.00202363,5.689384975,33,1.402365409,1.0,3.0,12.69835865,0.003267974,22.88980734,0.055251876,-0.083333333,123.0,51.44262052,1.7,33,23.17640479,4964,7.1,0.096774194
0.052631579,34,17,-0.831111111,63,0.27207103,26.00202363,5.689384975,33,1.402365409,1.0,3.0,12.69835865,0.003267974,22.88980734,0.055251876,-0.083333333,123.0,51.44262052,1.7,33,23.17640479,4964,7.1,0.096774194
0.052631579,34,14,-0.807098765,54,0.245136579,25.40390499,10.9996886,33,1.177354356,1.0,3.0,12.2711675,0.003257329,22.04520085,1.668884646,-0.095238095,117.75,50.66715571,1.7,33,19.86548982,4573,7.1,0.096774194
0.090909091,30,18,-0.50617284,52,0.29863685,31.12877656,6.475766728,27,6.010511677,0.333333333,3.0,15.8499358,0.005747126,29.17539799,0.290384039,0.0,97.5,46.38607296,0.676923077,27,37.25962815,3405,2.707692308,0.096774194
0.052631579,34,17,-0.831111111,63,0.27207103,26.00202363,5.689384975,33,1.402365409,1.0,3.0,12.69835865,0.003267974,22.88980734,0.055251876,-0.083333333,123.0,51.44262052,1.7,33,23.17640479,4964,7.1,0.096774194
