CLC Values,Local Gravity Model Centrality,Constraint Coefficients,Closeness Centrality,Centrality Values,Laplacian Centrality,I-GSM Values,Eigenvector Centrality,Local-Global Centrality,Subgraph centrality,Global Relative Change in Avg Clustering,Improved Gravity Index Values,Gravity Model Centrality,Clustering Coefficient,HVGc Index,Volume Centrality,EHCC Value,HCC Value,MDD Value,Global Relative Change in Avg Degree,GGC Values,Degree Centrality,Density Centrality,MCGM Values,Betweenness Centrality
84.0,30,-0.333333333,0.000198177,18.2,32,31.31381229,0.000501622,0.600823249,3.335099937,0.002028398,28.5,93.37267107,0.0,157.6368883,27,2.163344408,0.599944629,2.4,0.003101441,42.75,0.006085193,4.534090909,1.350546101,0.057374932
139.0,90,-0.166666667,0.000189394,35.7,72,34.0551015,0.000243436,1.194298489,6.445604131,0.002028398,37.5,201.8638712,0.0,456.2536497,30,4.023255814,0.797895903,4.2,0.008231279,112.5,0.012170385,15.75,3.067240136,0.040744641
37.0,10,-0.5,0.000181159,10.5,16,22.4095583,0.000135954,0.355108235,2.342608139,0.002028398,7.75,44.6380295,0.0,45.48979948,16,1.199335548,0.305647841,2.0,0.001391495,15.5,0.004056795,1.75,0.44572561,0.035917479
57.0,12,-0.5,0.00021245,12.6,18,29.92750951,0.001608134,0.417203016,2.40433344,0.002028398,19.5,59.61318089,0.0,69.14449521,21,1.850775194,0.459856035,2.0,0.001391495,19.5,0.004056795,1.909090909,0.785520944,0.052691959
67.0,24,-0.333333333,0.00017337,14.7,28,23.90373075,7.04e-05,0.519989555,3.22468911,0.002028398,11.0,71.27701886,0.0,97.44825824,20,1.680232558,0.529623477,2.4,0.003101441,33.0,0.006085193,4.056818182,0.8403905,0.008105345
51.0,6,-1.0,0.00017325,10.5,14,22.52678316,6.14e-05,0.170678128,1.822141327,0.002028398,9.5,22.48122851,0.0,24.28004312,20,1.234496124,0.436600221,1.0,0.000318451,9.5,0.002028398,0.715909091,0.333820874,0.0
118.0,65,-0.2,0.000183385,29.4,56,31.77306887,0.000140021,0.961921982,5.265399247,0.002028398,34.5,157.2655055,0.0,342.2294548,30,3.090531561,0.716223699,3.8,0.006521333,86.25,0.010141988,11.13636364,2.444242622,0.026641555
51.0,6,-1.0,0.00017325,10.5,14,22.52678316,6.14e-05,0.170678128,1.822141327,0.002028398,9.5,22.48122851,0.0,24.28004312,20,1.234496124,0.436600221,1.0,0.000318451,9.5,0.002028398,0.715909091,0.333820874,0.0
66.0,16,-0.5,0.000190476,14.0,22,27.48674793,0.000129599,0.379023694,2.52504628,0.002028398,24.0,54.75138103,0.0,77.63592444,24,1.69324474,0.506367663,2.0,0.001391495,24.0,0.004056795,2.227272727,0.902943124,0.014827393
30.0,10,-0.5,0.000166778,7.7,16,18.88021385,3.71e-05,0.323361273,2.33546308,0.002028398,6.75,37.60786052,0.0,30.32653299,12,0.927740864,0.293743079,2.0,0.001391495,13.5,0.004056795,1.75,0.361437101,0.031992612
93.0,27,-0.333333333,0.000233973,21.7,30,37.51587985,0.005870204,0.695280028,3.411479096,0.002028398,27.0,111.866223,0.0,199.9122357,27,3.148671096,0.790974529,2.7,0.003101441,40.5,0.006085193,4.056818182,1.443838947,0.058898097
64.0,6,-1.0,0.000234687,8.764285714,14,33.51321508,0.024666461,0.225445638,1.846758774,0.003639252,9.25,33.44544318,0.0,26.48731976,19,1.758859358,0.436600221,1.0,0.000318451,7.881467534,0.002028398,0.715909091,0.557645344,0.0
