Lambda,Kendall_Tau,P_Value
0.0128,0.5159385432623927,1.179722315523265e-58
0.0156,0.5095250778702392,9.8933526355853e-58
0.0185,0.5291232997168168,1.8471651623684703e-62
0.0213,0.5281570969866647,2.102314720574899e-62
0.0242,0.5333115296183071,7.707570120036381e-64
0.027,0.5550844410708478,3.884715970634487e-69
0.0298,0.5580880341933997,5.498646841231403e-70
0.0327,0.531903344212442,7.898347929145538e-64
0.0355,0.5592637391000069,1.984538143963007e-70
0.0384,0.5436516192099079,1.067860462876558e-66
