Lambda,Kendall_Tau,P_Value
0.0133,0.6529002087497766,3.192445844194914e-42
0.0162,0.6425003030301614,4.980563747342042e-41
0.0192,0.6425200402448371,4.2658718526063287e-41
0.0221,0.632435307348307,6.746354895253243e-40
0.0251,0.6149702571516028,7.634606207374424e-38
0.028,0.6280334720009985,2.166953525451907e-39
0.031,0.6192869974805452,2.3061768726834548e-38
0.0339,0.6397373755021327,7.973694915870676e-41
0.0369,0.6468506360279032,1.06082363454765e-41
0.0399,0.6580668327248037,4.226796223505969e-43
