Lambda,Kendall_Tau,P_Value
0.1627,0.5649138262428753,1.6220283125053692e-07
0.1989,0.5859665154196285,5.5239639652609866e-08
0.235,0.5744309209971495,9.564540676360601e-08
0.2712,0.6141273667571152,1.1723588878608432e-08
0.3073,0.6087464591703305,1.516720608832208e-08
0.3435,0.5754231264409064,8.544221041091258e-08
0.3796,0.514585764294049,1.7396573419778282e-06
0.4158,0.5341108779693705,6.85024493111205e-07
0.4519,0.5040758715200816,2.683175926812072e-06
0.4881,0.483121216352965,6.841097635802525e-06
