Starting Node,Average Spreading Ability,Rank
2,55.07,1.0
7,53.8,2.0
9,52.17,3.0
97,52.0,4.0
23,51.25,5.0
8,50.31,6.0
4,49.38,7.0
84,49.2,8.0
387,48.94,9.0
164,48.78,10.0
334,48.65,11.0
101,46.86,12.0
153,46.71,13.0
325,46.32,14.0
250,45.78,15.0
92,45.69,16.0
379,45.5,17.0
173,45.4,18.0
151,45.33,19.0
244,45.1,20.0
333,44.61,21.0
401,44.41,22.0
245,44.41,22.0
20,44.02,23.0
169,43.11,24.0
161,42.77,25.0
102,42.62,26.0
5,42.55,27.0
81,42.47,28.0
11,41.99,29.0
69,41.8,30.0
339,41.52,31.0
90,40.97,32.0
329,40.79,33.0
109,40.62,34.0
254,40.44,35.0
26,40.29,36.0
95,40.21,37.0
105,39.84,38.0
99,39.84,38.0
268,39.24,39.0
261,38.92,40.0
124,38.64,41.0
340,38.61,42.0
149,38.54,43.0
158,38.47,44.0
318,38.36,45.0
508,37.79,46.0
15,37.48,47.0
12,37.31,48.0
6,37.1,49.0
154,37.02,50.0
380,36.59,51.0
160,36.33,52.0
17,36.27,53.0
347,36.16,54.0
24,36.07,55.0
93,35.9,56.0
171,35.71,57.0
383,35.57,58.0
91,35.45,59.0
130,35.34,60.0
235,35.2,61.0
260,35.13,62.0
330,34.82,63.0
114,34.44,64.0
507,34.36,65.0
402,34.34,66.0
395,34.3,67.0
1,34.2,68.0
249,34.17,69.0
152,34.14,70.0
172,34.14,70.0
77,34.12,71.0
237,33.95,72.0
28,33.77,73.0
145,33.28,74.0
229,33.24,75.0
106,33.18,76.0
506,33.12,77.0
263,33.06,78.0
16,33.04,79.0
520,32.95,80.0
540,32.93,81.0
388,32.91,82.0
399,32.89,83.0
394,32.7,84.0
157,32.65,85.0
10,32.65,85.0
324,32.61,86.0
344,32.57,87.0
544,32.49,88.0
25,32.47,89.0
13,32.46,90.0
253,32.45,91.0
31,32.18,92.0
30,32.18,92.0
27,32.07,93.0
328,32.05,94.0
19,32.05,94.0
86,31.86,95.0
332,31.84,96.0
411,31.8,97.0
416,31.46,98.0
509,31.38,99.0
111,31.34,100.0
313,31.14,101.0
239,31.11,102.0
397,30.95,103.0
539,30.61,104.0
89,30.61,104.0
505,30.28,105.0
80,30.17,106.0
418,30.11,107.0
409,30.09,108.0
112,30.09,108.0
3,30.01,109.0
563,29.97,110.0
390,29.94,111.0
247,29.71,112.0
107,29.59,113.0
264,29.5,114.0
236,29.42,115.0
341,29.32,116.0
118,29.17,117.0
246,29.14,118.0
125,28.96,119.0
404,28.88,120.0
18,28.83,121.0
331,28.8,122.0
625,28.62,123.0
502,28.58,124.0
317,28.54,125.0
262,28.54,125.0
516,28.42,126.0
115,28.38,127.0
834,28.37,128.0
108,28.22,129.0
580,28.18,130.0
419,28.07,131.0
134,28.03,132.0
82,27.85,133.0
320,27.75,134.0
574,27.68,135.0
608,27.6,136.0
393,27.44,137.0
132,27.32,138.0
156,27.32,138.0
519,27.17,139.0
265,27.17,139.0
634,27.14,140.0
103,27.11,141.0
251,27.0,142.0
168,26.98,143.0
439,26.92,144.0
29,26.65,145.0
131,26.55,146.0
589,26.49,147.0
100,26.38,148.0
338,26.35,149.0
255,26.34,150.0
230,26.31,151.0
116,26.27,152.0
546,26.13,153.0
321,26.03,154.0
621,26.03,154.0
144,26.0,155.0
243,25.93,156.0
500,25.91,157.0
352,25.77,158.0
527,25.64,159.0
549,25.58,160.0
521,25.56,161.0
801,25.51,162.0
314,25.37,163.0
378,25.3,164.0
327,25.28,165.0
104,25.12,166.0
162,25.1,167.0
607,25.06,168.0
39,25.01,169.0
384,24.98,170.0
232,24.98,170.0
252,24.98,170.0
415,24.96,171.0
123,24.94,172.0
553,24.92,173.0
70,24.89,174.0
165,24.88,175.0
43,24.88,175.0
410,24.82,176.0
498,24.75,177.0
14,24.71,178.0
64,24.57,179.0
525,24.55,180.0
541,24.47,181.0
66,24.42,182.0
135,24.38,183.0
412,24.36,184.0
511,24.36,184.0
234,24.33,185.0
612,24.31,186.0
336,24.29,187.0
351,24.24,188.0
796,24.18,189.0
542,24.01,190.0
396,23.97,191.0
526,23.95,192.0
335,23.8,193.0
35,23.67,194.0
258,23.55,195.0
128,23.55,195.0
337,23.53,196.0
119,23.52,197.0
148,23.42,198.0
266,23.41,199.0
550,23.34,200.0
143,23.26,201.0
623,23.24,202.0
248,23.2,203.0
36,23.14,204.0
326,23.13,205.0
414,23.07,206.0
68,23.04,207.0
33,23.0,208.0
584,22.94,209.0
619,22.82,210.0
346,22.71,211.0
513,22.7,212.0
794,22.68,213.0
259,22.67,214.0
554,22.58,215.0
389,22.54,216.0
547,22.46,217.0
518,22.45,218.0
65,22.4,219.0
117,22.39,220.0
150,22.28,221.0
21,22.2,222.0
159,22.16,223.0
83,22.13,224.0
231,22.08,225.0
348,21.96,226.0
323,21.94,227.0
319,21.91,228.0
240,21.9,229.0
537,21.89,230.0
238,21.86,231.0
624,21.8,232.0
269,21.79,233.0
391,21.79,233.0
622,21.78,234.0
270,21.76,235.0
34,21.51,236.0
817,21.45,237.0
167,21.43,238.0
392,21.42,239.0
837,21.34,240.0
432,21.34,240.0
836,21.26,241.0
626,21.24,242.0
146,21.23,243.0
184,21.16,244.0
823,21.15,245.0
406,21.09,246.0
517,20.98,247.0
322,20.9,248.0
570,20.76,249.0
228,20.75,250.0
94,20.73,251.0
110,20.71,252.0
349,20.71,252.0
822,20.67,253.0
514,20.65,254.0
343,20.62,255.0
166,20.59,256.0
38,20.52,257.0
628,20.51,258.0
398,20.49,259.0
529,20.42,260.0
