Lambda,Centrality,Kendall_Tau,P_Value
0.2252,Degree_Centrality,0.7037207007065506,2.6128835433691633e-97
0.2252,Betweenness_Centrality,0.5585328369499392,1.0814827344397127e-70
0.2252,PageRank_Centrality,0.4766298377497861,4.1325990439124115e-56
0.2252,Closeness_Centrality,0.38334878100872444,6.6410541400768904e-37
0.2252,Eigenvector_Centrality,0.36121002472078356,5.740127471469881e-33
0.2753,Degree_Centrality,0.659098723073716,9.07372040278406e-86
0.2753,Betweenness_Centrality,0.5317299567174766,2.257724446284546e-64
0.2753,PageRank_Centrality,0.42015521903278447,4.373384756874829e-44
0.2753,Closeness_Centrality,0.4340031707568612,6.646286562386508e-47
0.2753,Eigenvector_Centrality,0.4180021120273026,1.1864363800293832e-43
0.3253,Degree_Centrality,0.5966477618644872,1.0306739896627061e-70
0.3253,Betweenness_Centrality,0.4898323011079129,5.680524287548995e-55
0.3253,PageRank_Centrality,0.34870322305566,6.15775188614528e-31
0.3253,Closeness_Centrality,0.48588831048272474,2.084143242865531e-58
0.3253,Eigenvector_Centrality,0.4714507629790717,4.096411036233606e-55
0.3754,Degree_Centrality,0.5329339368789596,7.525670352079922e-57
0.3754,Betweenness_Centrality,0.44715798522671624,3.702052166430012e-46
0.3754,PageRank_Centrality,0.2893139547208012,7.904926133641013e-22
0.3754,Closeness_Centrality,0.5566067118949168,3.7419781398079806e-76
0.3754,Eigenvector_Centrality,0.5376587892244636,3.301180668380984e-71
0.4254,Degree_Centrality,0.46550528054887097,8.007265553742621e-44
0.4254,Betweenness_Centrality,0.4017622874122586,1.2777021962827209e-37
0.4254,PageRank_Centrality,0.23173458304009975,1.4401608967135024e-14
0.4254,Closeness_Centrality,0.6164614398419589,4.866328123673016e-93
0.4254,Eigenvector_Centrality,0.6086524276620314,8.870206407285921e-91
0.4754,Degree_Centrality,0.42928398251996824,1.5273071087538997e-37
0.4754,Betweenness_Centrality,0.3820296850698262,3.4225654630564e-34
0.4754,PageRank_Centrality,0.20630636182668308,7.386001425063838e-12
0.4754,Closeness_Centrality,0.6567635325089756,2.2095256731044776e-105
0.4754,Eigenvector_Centrality,0.6401071474111449,3.0745472272921053e-100
0.5255,Degree_Centrality,0.39883803253733074,1.2005197984918338e-32
0.5255,Betweenness_Centrality,0.3575478216418337,3.631074124900641e-30
0.5255,PageRank_Centrality,0.18660346187475582,5.770793981788183e-10
0.5255,Closeness_Centrality,0.685103655738207,1.5757263158513278e-114
0.5255,Eigenvector_Centrality,0.6706787113164059,7.038794756490347e-110
0.5755,Degree_Centrality,0.39456428352409345,5.452674561553859e-32
0.5755,Betweenness_Centrality,0.3584797283624016,2.5629351658092974e-30
0.5755,PageRank_Centrality,0.18537094579104532,7.464549024351923e-10
0.5755,Closeness_Centrality,0.7106685383413258,4.2641130138895404e-123
0.5755,Eigenvector_Centrality,0.6909979774656075,1.5820767577889226e-116
0.6256,Degree_Centrality,0.3829222715006277,3.1363841172099647e-30
0.6256,Betweenness_Centrality,0.3487833230799915,8.615964102210591e-29
0.6256,PageRank_Centrality,0.17501992529282887,6.1572035416850586e-09
0.6256,Closeness_Centrality,0.7029703563536722,1.6942698584211023e-120
0.6256,Eigenvector_Centrality,0.6904820753447553,2.2908548831966714e-116
0.6756,Degree_Centrality,0.3921693406161655,1.253965886636255e-31
0.6756,Betweenness_Centrality,0.3523173961999013,2.401633568887531e-29
0.6756,PageRank_Centrality,0.18031939073507977,2.115631430143917e-09
0.6756,Closeness_Centrality,0.7005094791330894,1.1162500884640667e-119
0.6756,Eigenvector_Centrality,0.6719213592538721,2.6242343784313656e-110
