Lambda,Kendall_Tau,P_Value
0.3309,0.6012413455704727,1.1198246668764955e-15
0.4044,0.6404364424949509,1.2616615043665408e-17
0.4779,0.7080328012735243,3.453473335346205e-21
0.5515,0.6830560945497525,7.18621663214617e-20
0.625,0.6438033837976398,7.858474242372916e-18
0.6985,0.6143888671310774,2.1739749713439637e-16
0.7721,0.5917856681228458,2.6676036860027845e-15
0.8456,0.5553760849069276,1.1247051012495932e-13
0.9191,0.530078233581718,1.3691977042539921e-12
0.9926,0.28457802159800194,0.00014498864708793792
