feature,score,rank
H-GSM_1,0.0003287894142580683,1
Isolating Centrality,0.003877563927585981,2
Constraint Coefficients,0.004981342580921089,3
LGC Scores,0.005103470466298665,4
MCGM Values,0.005226300891260749,5
Local Gravity Model Centrality,0.005434189056664707,6
Laplacian Centrality,0.005589809138094148,7
I-GSM Values,0.0056169318426874115,8
Gravity Model Centrality,0.006032331513545985,9
Extended Degree,0.0062322244608363775,10
Societal Capital Scores,0.006270769539360566,11
Gravity Index Centrality,0.006381588548355022,12
Semi local centrality,0.0065176884256737955,13
H Values,0.006544525534855294,14
EHCC Value,0.00655093870883916,15
EIGSM Values,0.006638365013243441,16
Extended Coreness,0.0066846566880902625,17
CLC Values,0.0068336805402573475,18
GIN Values,0.006848265628621397,19
Coreness Centrality,0.006880739559381066,20
Second order centrality,0.007061304821642023,21
Extended Improved Gravity Index Values,0.007154502762121817,22
HVGc Index,0.007269644659658625,23
Improved Gravity Index Values,0.007311149308035336,24
Local-Global Centrality,0.0074713909989923,25
PE Values,0.007644700817000194,26
Density Centrality,0.00767828065036702,27
GSM,0.007834809084785732,28
Centrality Values,0.007870248251956147,29
MDD Value,0.007883310484846251,30
GGC Values,0.008539412243341982,31
Subgraph centrality,0.008684924165117902,32
Eigenvector Centrality,0.008978223718754563,33
Degree Centrality,0.009315864118997652,34
Clustered Local Degree,0.010046428065117685,35
K-Shell Value,0.010081901130035154,36
DNC Scores,0.010945328785045172,37
Node H-Index,0.0114231308821926,38
Global Relative Change in Avg Degree,0.01262102647665575,39
HCC Value,0.012689582014416279,40
Eccentricity Centrality,0.016190113219528346,41
PageRank Centrality,0.016842820207343845,42
P Value,0.02173309497953002,43
Closeness Centrality,0.03384016028292647,44
Betweenness Centrality,0.035358074794535566,45
Volume Centrality,0.03732460029106177,46
DIL Centrality,0.03765218701268369,47
Leverage Centrality,0.04051081449558458,48
Clustering Coefficient,0.06130866482177244,49
Global Relative Change in Avg Clustering,0.11905873339534967,50
