feature,score,rank
H-GSM_1,0.0009587504319520379,1
Betweenness Centrality,0.0012723306039432725,2
H Values,0.0028234760156603533,3
LGC Scores,0.0029329443371547415,4
DIL Centrality,0.0029430424996196303,5
Isolating Centrality,0.003041103962004521,6
Density Centrality,0.0033320973739036086,7
Laplacian Centrality,0.003433854591766039,8
Local Gravity Model Centrality,0.003619825595049586,9
Closeness Centrality,0.004384281759056918,10
GIN Values,0.004565801745324061,11
Subgraph centrality,0.004587872076282196,12
MCGM Values,0.004712481800927648,13
Gravity Model Centrality,0.004797989178776607,14
GGC Values,0.005136147839160277,15
Local-Global Centrality,0.005341353514562885,16
I-GSM Values,0.006272332667626057,17
Volume Centrality,0.006723495610597263,18
MDD Value,0.007052594578657589,19
GSM,0.00738189829104452,20
PE Values,0.008034217894836604,21
Extended Improved Gravity Index Values,0.00824580785018414,22
Coreness Centrality,0.008428311219962348,23
Degree Centrality,0.008758039805669582,24
Global Relative Change in Avg Degree,0.009006480727572153,25
Centrality Values,0.009019410281945084,26
Gravity Index Centrality,0.009040459914688936,27
Eigenvector Centrality,0.009586610525317285,28
PageRank Centrality,0.00970973312030543,29
EHCC Value,0.009995121257637796,30
DNC Scores,0.010234626955778148,31
HVGc Index,0.01023960584329009,32
EIGSM Values,0.01038093351481506,33
Eccentricity Centrality,0.013307224151273722,34
Improved Gravity Index Values,0.013941915406697758,35
Extended Degree,0.014356688877930401,36
Societal Capital Scores,0.015556695317945124,37
K-Shell Value,0.015908389784559662,38
Extended Coreness,0.017656795940260372,39
Second order centrality,0.017680675610362018,40
Semi local centrality,0.01911500269829136,41
CLC Values,0.020451136141599435,42
Constraint Coefficients,0.02420060794232426,43
HCC Value,0.032728975929516624,44
Clustered Local Degree,0.03640228656860889,45
Node H-Index,0.04429192793669623,46
P Value,0.046631509425978046,47
Leverage Centrality,0.050692392749889015,48
Global Relative Change in Avg Clustering,0.06932022876869237,49
Clustering Coefficient,0.10444775099789327,50
