feature,rank
GIN Values,1
GSM,2
LGC Scores,3
Local Gravity Model Centrality,4
H Values,5
Centrality Values,6
I-GSM Values,7
Improved Gravity Index Values,8
Extended Coreness,9
Density Centrality,10
EIGSM Values,11
Degree Centrality,12
Eccentricity Centrality,13
Global Relative Change in Avg Clustering,14
Clustering Coefficient,15
Betweenness Centrality,16
Leverage Centrality,17
K-Shell Value,18
Closeness Centrality,19
DIL Centrality,20
Gravity Index Centrality,21
P Value,22
Node H-Index,23
GGC Values,24
CLC Values,25
Global Relative Change in Avg Degree,26
Subgraph centrality,27
Volume Centrality,28
PageRank Centrality,29
HVGc Index,30
Second order centrality,31
HCC Value,32
Coreness Centrality,33
MDD Value,34
Local-Global Centrality,35
DNC Scores,36
Clustered Local Degree,37
Eigenvector Centrality,38
Gravity Model Centrality,39
Constraint Coefficients,40
Societal Capital Scores,41
Laplacian Centrality,42
Semi local centrality,43
Extended Improved Gravity Index Values,44
EHCC Value,45
Extended Degree,46
PE Values,47
MCGM Values,48
Isolating Centrality,49
H-GSM_1,50
