Societal Capital Scores,Node H-Index,Eigenvector Centrality,Eccentricity Centrality,Extended Degree,Laplacian Centrality,PageRank Centrality,Degree Centrality,Second order centrality,Improved Gravity Index Values,Closeness Centrality,DNC Scores,Semi local centrality,LGC Scores,Local Gravity Model Centrality,Gravity Model Centrality,Clustered Local Degree,GIN Values,EIGSM Values,EHCC Value,MCGM Values,Constraint Coefficients,Gravity Index Centrality,P Value,H-GSM_1,Average Spreading Ability
0.75,0.5,0.04292089705277716,0.21739130434782594,0.7777777777777775,0.8181818181818182,0.8125641659881401,0.9999999999999999,0.36890919112826603,0.75,0.37001672004995867,1.0,0.6739130434782609,0.6795981988223069,0.75,0.7600642001607574,0.6666666666666665,0.575128541826389,0.7282751150040905,0.49180327868852447,0.32162895573141426,1.0,0.7704918032786886,0.3333333333333333,0.6599080659816945,0.4692082111436951
0.0,0.0,0.01394316852790315,0.16666667133333335,0.0,0.0,0.005497954732042509,0.0,0.1782874331195412,0.024999999999999994,0.24705384661872265,0.0,0.10869565217391303,0.024939383443020435,0.0,0.03095837205594093,0.0,0.2007527208941542,0.10251471352874031,0.060109289672131166,0.017752266294756812,0.0,0.08196721311475409,0.0,0.16148573091605312,0.241446725317693
0.875,0.5,0.03413032750223726,0.16666667133333335,0.8888888888888886,0.9090909090909091,0.7445162883286097,0.9999999999999999,0.3151039425250224,0.875,0.2921514938799039,1.0,0.8043478260869565,0.8160720471077243,0.875,0.8177900711662679,0.8333333333333333,0.5739150724103093,0.7534975593536537,0.6147540983606556,0.37861040772411686,1.0,0.9672131147540984,0.4444444444444445,0.6305752979684087,0.5347018572825024
0.875,0.5,0.05978400794446708,0.2727272574545452,0.8888888888888886,0.9090909090909091,0.8190214052981343,0.9999999999999999,0.44192870721686073,0.8250000000000002,0.46348939229823993,1.0,0.7173913043478259,0.7384828541738829,0.875,0.8195418217894609,0.8333333333333333,0.6532997992191414,0.7124416001375973,0.48907103819672126,0.3460376013394016,1.0,0.7704918032786886,0.2222222222222222,0.7275338457413603,0.6129032258064515
0.75,0.5,0.029716385408670387,0.21739130434782594,0.7777777777777775,0.8181818181818182,0.8125512783513568,0.9999999999999999,0.35979936164414617,0.75,0.35795937911124964,1.0,0.6739130434782609,0.6795981988223069,0.75,0.758188736563747,0.6666666666666665,0.5665516780396358,0.7261557490565773,0.49180327868852447,0.31576692975052917,1.0,0.7704918032786886,0.3333333333333333,0.6512975853223617,0.5835777126099706
0.0,0.0,0.008787455788365334,0.16666667133333335,0.0,0.0,0.005493955120627003,0.0,0.17006311976671484,0.024999999999999994,0.236845163659692,0.0,0.10869565217391303,0.024939383443020435,0.0,0.03048435578101677,0.0,0.19375869076378183,0.10177344161443341,0.060109289672131166,0.01670080544889021,0.0,0.08196721311475409,0.0,0.15463449592114697,0.2805474095796677
0.875,0.5,0.02339629794237782,0.16666667133333335,0.8888888888888886,0.9090909090909091,0.7445105111121205,0.9999999999999999,0.3062627613880178,0.875,0.2812826866129581,1.0,0.8043478260869565,0.8160720471077243,0.875,0.816368022294199,0.8333333333333333,0.5667638797341421,0.7518875784158168,0.6147540983606556,0.3734850794105765,1.0,0.9672131147540984,0.4444444444444445,0.6233326676118134,0.4848484848484849
0.875,0.5,0.04185525354459188,0.2727272574545452,0.8888888888888886,0.9090909090909091,0.8189899416883321,0.9999999999999999,0.4324271340504642,0.8250000000000002,0.44992585223442805,1.0,0.7173913043478259,0.7384828541738829,0.875,0.8169925408463082,0.8333333333333333,0.6428137413965878,0.7095518324995891,0.48907103819672126,0.33783544751961403,1.0,0.7704918032786886,0.2222222222222222,0.717120730227367,0.6256109481915932
0.75,0.5,0.017016389400109414,0.07692305753846118,0.7777777777777775,0.8181818181818182,0.835422034108153,0.9999999999999999,0.2533305845948035,0.7,0.15232910760801022,1.0,0.6304347826086956,0.6120540353307933,0.75,0.6979560632542726,0.6666666666666665,0.41012861958895086,0.6261976175967379,0.4644808742622951,0.2992138083064037,1.0,0.7704918032786886,0.3333333333333333,0.513311995674588,0.4574780058651026
0.0,0.0,0.0038272920672255796,0.03703702874074066,0.0,0.0,0.011980080513066649,0.0,0.07339033794874172,0.024999999999999994,0.06074228344126209,0.0,0.06521739130434778,0.02216834083824039,0.0,0.019776560522763276,0.0,0.07804535188389439,0.07796664065223557,0.060109289672131166,0.01569709356305691,0.0,0.08196721311475409,0.0,0.05160376536635147,0.15444770283479964
