Betweenness Centrality,Local Gravity Model Centrality,Extended Improved Gravity Index Values,I-GSM Values,Constraint Coefficients,Eccentricity Centrality,Density Centrality,Degree Centrality,LGC Scores,Global Relative Change in Avg Clustering,HVGc Index,DNC Scores,DIL Centrality,P Value,Local-Global Centrality,HCC Value,Second order centrality,Subgraph centrality,Gravity Model Centrality,K-Shell Value,PageRank Centrality,Closeness Centrality,Coreness Centrality,Isolating Centrality,Extended Degree
0.168905977,10,33.0,12.46151427,-0.5,0.055555556,1.75,0.016129032,984,0.008064516,36.39183958,2.0,3.166666667,16,0.471388467,0.88961039,-537.1966337,2.341248947,24.52743328,2,0.006962645,0.000790514,4,0,3.2
0.15824071,8,24.0,9.96010729,-0.5,0.052631579,1.590909091,0.016129032,567,0.008064516,21.83510375,2.0,3.0,15,0.429517716,0.808441558,-611.2843801,2.281367104,19.60402739,2,0.007420839,0.000742942,4,0,2.8
0.179899071,24,70.0,17.20964549,-0.333333333,0.058823529,3.818181818,0.024193548,3164,0.008064516,143.3062621,3.0,8.333333333,24,0.802858019,1.357142857,-438.8337659,3.346458604,50.40459289,2,0.009206641,0.000846024,6,0,5.0
0.147837702,8,20.5,8.960103229,-0.5,0.05,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.401451059,0.808441558,-669.2086256,2.279614935,17.63576476,2,0.007675264,0.000701754,4,0,2.8
0.137696956,8,20.0,8.405423225,-0.5,0.047619048,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.380872484,0.808441558,-714.9090828,2.279585618,16.54401326,2,0.007814557,0.000665779,4,0,2.8
0.069101216,27,74.5,18.5088093,-0.333333333,0.058823529,4.056818182,0.024193548,3690,0.008064516,167.6683267,3.0,9.0,26,0.824189401,1.474025974,-421.6370261,3.42505109,54.20965807,2,0.008982722,0.000859107,6,0,5.4
0.202006294,24,63.0,17.19483796,-0.333333333,0.055555556,3.818181818,0.024193548,3164,0.008064516,143.3062621,3.0,8.333333333,24,0.80113262,1.357142857,-447.3993824,3.346458604,50.36122374,2,0.009207438,0.000838926,5,0,5.0
0.07912176,30,79.5,21.21372719,-0.333333333,0.058823529,4.534090909,0.024193548,4832,0.008064516,186.2981407,3.0,9.0,27,0.885744146,1.555194805,-398.0039192,3.378299408,62.13197612,2,0.009053685,0.000900901,6,0,5.8
0.294030655,33,84.5,21.98775384,-0.333333333,0.058823529,4.534090909,0.024193548,5389,0.008064516,220.6916437,3.0,9.666666667,27,0.891427304,1.600649351,-402.1918238,3.55166793,64.39898959,2,0.008833333,0.000905797,6,0,6.2
0.392097107,70,140.5,26.69957636,-0.2,0.058823529,11.53409091,0.040322581,11716,0.008064516,471.5889138,5.0,29.53333333,28,1.655959397,1.863636364,-328.9860841,5.368700836,128.263355,2,0.014211096,0.000954198,10,0,8.6
0.189221086,10,27.75,12.42806242,-0.5,0.052631579,1.75,0.016129032,984,0.008064516,36.39183958,2.0,3.166666667,14,0.468708737,0.818181818,-566.9358053,2.341248947,24.46159153,1,0.006964347,0.000775795,3,0,3.2
0.063451684,10,40.0,14.19131369,-0.5,0.055555556,1.75,0.016129032,1144,0.008064516,42.45714618,2.0,3.166666667,16,0.517415782,0.88961039,-486.543086,2.341889366,27.93211903,2,0.006806789,0.000858369,4,0,3.2
0.122772762,12,37.0,14.05012231,-0.5,0.045454545,1.909090909,0.016129032,1368,0.008064516,50.94857542,2.0,3.25,17,0.49366089,0.970779221,-530.7300632,2.394709568,27.65421843,2,0.007027859,0.000763942,4,0,3.6
0.153785088,40,77.0,18.85325598,-0.25,0.047619048,7.0,0.032258065,4600,0.008064516,218.0642193,4.0,15.7,18,1.114946964,1.279220779,-433.8428557,4.114548118,73.03801004,2,0.012791575,0.000808407,8,0,6.4
0.113899608,8,27.0,11.05984517,-0.5,0.043478261,1.590909091,0.016129032,637,0.008064516,24.26122639,2.0,3.0,15,0.458344582,0.808441558,-587.6861851,2.283017248,21.76859157,2,0.007316006,0.000726216,4,0,2.8
0.050185664,12,37.0,14.04007896,-0.5,0.047619048,1.909090909,0.016129032,1368,0.008064516,50.94857542,2.0,3.25,17,0.494766891,0.970779221,-504.5906032,2.39470994,27.63445057,2,0.006982126,0.000783699,4,0,3.6
0.152983528,24,54.0,16.53242209,-0.333333333,0.047619048,4.056818182,0.024193548,2660,0.008064516,114.6450097,3.0,8.066666667,17,0.796876525,1.107142857,-469.0276763,3.197067027,48.42110232,2,0.00996079,0.00081367,6,0,5.0
0.156234103,24,54.0,16.73721566,-0.333333333,0.047619048,4.056818182,0.024193548,2660,0.008064516,114.6450097,3.0,8.066666667,17,0.805731803,1.107142857,-467.3785644,3.197067716,49.02091341,2,0.009937161,0.000821018,6,0,5.0
0.053223517,8,27.5,11.43859837,-0.5,0.05,1.590909091,0.016129032,644,0.008064516,24.26122639,2.0,3.0,15,0.476656509,0.808441558,-533.6913463,2.283046315,22.51407432,2,0.007208874,0.000804505,4,0,2.8
0.089538296,10,32.0,12.39517115,-0.5,0.045454545,1.75,0.016129032,952,0.008064516,36.39183958,2.0,3.166666667,16,0.475326985,0.88961039,-556.4117103,2.337147435,24.39685313,2,0.007194935,0.000766871,4,0,3.2
0.145443533,10,32.5,13.18216281,-0.5,0.05,1.75,0.016129032,960,0.008064516,36.39183958,2.0,3.166666667,16,0.50309602,0.88961039,-507.9080634,2.337177095,25.94585311,2,0.007022381,0.00083612,4,0,3.2
