Lambda,Kendall_Tau,P_Value
0.2396,0.7436933511562981,1.0962166596931913e-280
0.2929,0.7556966382481043,2.4985527976305595e-290
0.3461,0.7474962036405872,1.641720739842674e-284
0.3994,0.7141732928188812,3.930996274776053e-260
0.4526,0.6862333139854631,1.932310856365738e-240
0.5059,0.659945589107802,1.3380092218340326e-222
0.5591,0.6428170053172468,2.435049339846978e-211
0.6124,0.6360798933934269,5.3962999160181116e-207
0.6656,0.649985395821734,4.6747460394777113e-216
0.7189,0.6638335988927883,2.861459346131281e-225
