EHCC Value,Improved Gravity Index Values,Eigenvector Centrality,PageRank Centrality,Global Relative Change in Avg Degree,Node H-Index,Closeness Centrality,Coreness Centrality,I-GSM Values,Volume Centrality,Laplacian Centrality,EIGSM Values,HCC Value,Clustering Coefficient,Local Gravity Model Centrality,CLC Values,Global Relative Change in Avg Clustering,MCGM Values,Leverage Centrality,GSM,Eccentricity Centrality,Extended Improved Gravity Index Values,Extended Degree,Societal Capital Scores,DNC Scores
3.587804878,37.5,0.109500067,0.000666655,0.000570652,2,7.02e-05,4,60.15089098,45,26,147.5805335,0.96601626,0.0,20,168.0,0.000963391,3.452994693,-0.3,196.5846137,0.023255814,128.0,5.2,12,2.0
13.65414634,103.0,0.365131882,0.002215271,0.005172783,5,7.56e-05,16,98.52198245,107,138,601.5871776,1.966666667,0.0,264,552.0,0.007757809,26.49933541,0.34005994,232.825789,0.023809524,512.0,18.0,41,8.2
3.146504065,25.0,0.07401432,0.000675081,0.000570652,2,6.61e-05,4,49.05855107,32,18,129.9737732,0.655121951,0.0,12,102.0,0.000963391,2.03513327,-0.166666667,180.9318507,0.022727273,103.0,3.6,8,2.0
8.485203252,74.5,0.201648595,0.001444375,0.002871718,4,7.23e-05,10,80.29053716,77,78,351.1209275,1.63398374,0.1,120,329.3608202,0.000963391,11.08891697,0.061782662,213.2507593,0.023255814,299.5,12.6,29,5.566666667
5.679349593,52.0,0.151574731,0.000919646,0.001337674,3,7.05e-05,6,66.82820182,56,44,219.7589615,1.423414634,0.0,48,238.0,0.000963391,5.894034232,-0.246753247,200.8602965,0.023255814,186.5,8.2,19,3.0
7.552682927,67.5,0.176090144,0.001951992,0.003638739,3,7.16e-05,10,75.18374587,69,86,364.0259615,1.476260163,0.0,132,317.0,0.000963391,10.51148764,0.300793651,208.2703162,0.023255814,252.25,12.4,28,6.0
8.618211382,84.5,0.23626122,0.001420638,0.002871718,3,7.18e-05,10,87.86330155,97,78,376.4331005,1.660650407,0.0,120,397.0,0.010427045,13.90260811,0.078449328,219.9524648,0.023255814,328.5,12.6,29,5.214285714
8.686178862,62.0,0.204108887,0.001438681,0.002871718,3,7.77e-05,10,78.01607594,61,72,350.4815545,1.594146341,0.1,105,287.7382989,0.029611491,9.885338996,0.134004884,221.195967,0.024390244,270.5,11.4,26,5.5
9.526504065,86.5,0.280768476,0.001422193,0.002871718,4,7.13e-05,10,85.97055832,92,84,378.9574654,1.740487805,0.0,135,430.0,0.001934022,15.94374326,-0.012820513,213.9786502,0.023255814,344.5,13.8,32,5.047619048
4.435934959,47.5,0.104396409,0.000652228,0.000570652,2,7.17e-05,4,67.283866,56,32,160.0917168,1.192520325,0.0,26,194.0,0.000963391,3.740520702,-0.514285714,204.6816199,0.023255814,145.5,6.4,15,2.0
7.188943089,65.5,0.187331696,0.001164421,0.002104696,3,6.69e-05,8,69.82288222,71,60,272.5456784,1.525365854,0.0,80,312.0,0.001570036,9.00018165,-0.055555556,195.1475264,0.022727273,244.5,10.4,24,4.035714286
7.444065041,61.5,0.13155801,0.001524669,0.002871718,4,6.86e-05,10,68.10505821,60,72,311.3361479,1.467479675,0.2,105,231.7008031,0.0330087,7.116244019,0.094444444,196.9091512,0.022727273,257.5,11.4,26,5.466666667
