Starting Node,Average Spreading Ability,Node,Rank
379,2.73,379,39.0
380,1.92,380,52.0
340,6.15,340,10.0
361,4.37,361,19.0
371,3.3,371,34.0
376,1.65,376,55.0
211,5.18,211,13.0
332,4.7,332,15.0
322,4.57,322,17.0
350,7.32,350,5.0
356,8.04,356,2.0
341,8.07,341,1.0
353,4.83,353,14.0
329,7.95,329,3.0
333,4.57,333,17.0
335,4.61,335,16.0
367,2.1,367,48.0
352,6.56,352,7.0
362,5.35,362,12.0
369,2.02,369,49.0
378,1.58,378,56.0
339,6.25,339,9.0
355,7.79,355,4.0
331,7.12,331,6.0
351,6.45,351,8.0
343,3.11,343,36.0
220,3.93,220,24.0
324,5.49,324,11.0
377,2.22,377,45.0
330,4.44,330,18.0
373,1.15,373,61.0
364,2.44,364,42.0
347,3.69,347,27.0
325,2.96,325,38.0
323,2.1,323,48.0
374,2.24,374,44.0
328,3.98,328,22.0
357,3.12,357,35.0
337,3.64,337,28.0
344,2.39,344,43.0
334,3.02,334,37.0
336,3.4,336,32.0
349,2.44,349,42.0
359,4.08,359,21.0
375,2.7,375,40.0
348,3.94,348,23.0
326,2.13,326,47.0
126,3.32,126,33.0
346,3.52,346,29.0
360,3.89,360,25.0
321,1.83,321,54.0
345,3.44,345,30.0
366,1.96,366,50.0
327,2.15,327,46.0
370,1.86,370,53.0
372,2.55,372,41.0
365,1.38,365,57.0
338,3.83,338,26.0
354,4.2,354,20.0
363,1.93,363,51.0
368,3.43,368,31.0
381,1.36,381,58.0
358,1.3,358,59.0
342,1.26,342,60.0
