Node,Spreading Ability,Rank
135,13.54,1
34,12.17,2
153,14.54,3
47,12.12,4
61,12.07,5
7,12.0,6
11,11.83,7
90,12.87,8
8,11.8,9
121,11.63,10
137,11.55,11
68,11.38,12
52,11.32,13
20,11.17,14
18,11.15,15
26,11.08,16
53,11.46,17
128,11.0,18
17,10.99,19
117,10.99,19
62,10.91,20
66,10.91,20
95,10.87,21
84,10.85,22
132,10.8,23
105,10.71,24
25,10.69,25
38,10.63,26
16,10.57,27
147,10.54,28
127,10.51,29
110,10.49,30
104,10.45,31
100,10.41,32
151,12.58,33
41,10.38,34
82,10.22,35
33,10.21,36
102,10.2,37
79,10.15,38
161,10.1,39
131,10.09,40
144,10.07,41
65,10.06,42
159,9.98,43
28,9.96,44
158,10.91,45
19,9.95,46
109,9.95,46
103,9.92,47
140,10.33,48
149,9.91,49
89,9.89,50
150,10.07,51
32,9.84,52
134,10.56,53
130,10.06,54
114,9.82,55
124,9.82,55
107,9.75,56
75,9.74,57
78,9.71,58
112,9.7,59
54,9.68,60
138,9.65,61
71,9.64,62
37,9.61,63
155,9.57,64
60,9.56,65
30,9.55,66
160,9.52,67
73,9.5,68
27,9.47,69
23,9.46,70
9,9.45,71
97,9.44,72
81,9.43,73
74,9.42,74
58,9.4,75
154,9.4,75
93,9.36,76
36,9.32,77
4,9.26,78
39,9.25,79
43,9.18,80
92,9.15,81
125,9.15,81
77,9.13,82
15,9.11,83
118,9.11,83
116,9.1,84
101,9.07,85
12,9.02,86
50,8.95,87
56,8.94,88
51,8.86,89
143,8.85,90
63,8.82,91
123,8.79,92
129,8.79,92
146,8.79,92
148,8.79,92
55,8.78,93
115,8.78,93
69,8.76,94
108,8.75,95
13,8.74,96
113,8.74,96
141,8.69,97
42,8.67,98
99,8.61,99
88,8.57,100
70,8.5,101
122,8.48,102
83,8.43,103
22,8.38,104
76,8.33,105
14,8.31,106
164,8.3,107
6,8.27,108
94,8.2,109
163,8.19,110
3,8.18,111
49,8.16,112
44,8.1,113
91,8.1,113
162,8.04,114
1,7.98,115
87,7.97,116
21,7.96,117
57,7.92,118
142,7.9,119
35,7.84,120
40,7.83,121
86,7.81,122
5,7.79,123
126,7.78,124
24,7.77,125
152,7.73,126
111,7.69,127
96,7.64,128
156,7.63,129
85,7.59,130
2,7.58,131
139,7.56,132
48,7.55,133
80,7.44,134
10,7.42,135
45,7.38,136
106,7.35,137
120,7.24,138
98,7.21,139
119,7.2,140
59,7.19,141
46,7.11,142
31,7.03,143
67,7.0,144
29,6.97,145
136,6.83,146
133,6.66,147
145,6.56,148
72,6.48,149
157,6.17,150
64,6.01,151
